OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
6587,Angelo Hugues,Monaco,1990,Kaleci,Fransa
108761,Jean-Luc Ettori,Monaco,1990,Kaleci,Fransa
117497,Albert Rust,Monaco,1990,Kaleci,Fransa
108770,Roger Mendy,Monaco,1990,Libero,Senegal
3521,Lilian Thuram,Monaco,1990,Stoper,Fransa
108774,Luc Sonor,Monaco,1990,Stoper,Fransa
5395,Philippe Raschke,Monaco,1990,Sağ Bek,Fransa
25883,Patrick Blondeau,Monaco,1990,Sağ Bek,Fransa
107238,Patrick Valéry,Monaco,1990,Sağ Bek,Fransa
3166,Emmanuel Petit,Monaco,1990,Ön Libero,Fransa
5727,Cyril Granon,Monaco,1990,Ön Libero,Fransa
15297,Gilles Grimandi,Monaco,1990,Ön Libero,Fransa
108758,Benjamin Clément,Monaco,1990,Ön Libero,Fransa
149999,Anthony Garcia,Monaco,1990,Orta Saha,Fransa
177715,Claude Puel,Monaco,1990,Ön Libero,Fransa
216340,Dominique Bijotat,Monaco,1990,Ön Libero,Fransa
483180,Christophe Métais,Monaco,1990,Orta Saha,Fransa
101119,Franck Sauzée,Monaco,1990,Merkez Orta Saha,Fransa
108760,Marcel Dib,Monaco,1990,Merkez Orta Saha,Fransa
215107,Jean-Marc Ferratge,Monaco,1990,Orta Saha Sağ,Fransa
4,Youri Djorkaeff,Monaco,1990,On Numara,Fransa
108757,Rui Barros,Monaco,1990,On Numara,Portekiz
108771,Gérald Passi,Monaco,1990,On Numara,Fransa
117193,Glenn Hoddle,Monaco,1990,On Numara,İngiltere
108763,Youssouf Fofana,Monaco,1990,Sol Kanat,Fildişi Sahili
8542,George Weah,Monaco,1990,Santrafor,Liberya
112591,Ramón Díaz,Monaco,1990,Santrafor,Arjantin
405947,Mass Sarr Jr,Monaco,1990,Forvet,Liberya
6587,Angelo Hugues,Monaco,1991,Kaleci,Fransa
108761,Jean-Luc Ettori,Monaco,1991,Kaleci,Fransa
152751,Marc Delaroche,Monaco,1991,Kaleci,Fransa
5392,Erwan Manac'h,Monaco,1991,Libero,Fransa
108770,Roger Mendy,Monaco,1991,Libero,Senegal
3521,Lilian Thuram,Monaco,1991,Stoper,Fransa
108774,Luc Sonor,Monaco,1991,Stoper,Fransa
25883,Patrick Blondeau,Monaco,1991,Sağ Bek,Fransa
101305,John Sivebaek,Monaco,1991,Sağ Bek,Danimarka
107238,Patrick Valéry,Monaco,1991,Sağ Bek,Fransa
149945,Jimmy Algérino,Monaco,1991,Sağ Bek,Fransa
3166,Emmanuel Petit,Monaco,1991,Ön Libero,Fransa
5727,Cyril Granon,Monaco,1991,Ön Libero,Fransa
15297,Gilles Grimandi,Monaco,1991,Ön Libero,Fransa
108758,Benjamin Clément,Monaco,1991,Ön Libero,Fransa
149999,Anthony Garcia,Monaco,1991,Orta Saha,Fransa
177715,Claude Puel,Monaco,1991,Ön Libero,Fransa
483180,Christophe Métais,Monaco,1991,Orta Saha,Fransa
108760,Marcel Dib,Monaco,1991,Merkez Orta Saha,Fransa
4,Youri Djorkaeff,Monaco,1991,On Numara,Fransa
108757,Rui Barros,Monaco,1991,On Numara,Portekiz
108765,Jérôme Gnako,Monaco,1991,On Numara,Fransa
108771,Gérald Passi,Monaco,1991,On Numara,Fransa
108763,Youssouf Fofana,Monaco,1991,Sol Kanat,Fildişi Sahili
173713,Christophe Robert,Monaco,1991,Sol Kanat,Fransa
8542,George Weah,Monaco,1991,Santrafor,Liberya
158114,Patrick Revelles,Monaco,1991,Santrafor,Fransa
173636,James Debbah,Monaco,1991,Santrafor,Liberya
6587,Angelo Hugues,Monaco,1992,Kaleci,Fransa
