OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
6806,Giuseppe Taglialatela,Napoli,1990,Kaleci,İtalya
84520,Cristiano Scalabrelli,Napoli,1990,Kaleci,İtalya
116706,Giovanni Galli,Napoli,1990,Kaleci,İtalya
22106,Gaetano De Rosa,Napoli,1990,Libero,İtalya
120385,Alessandro Renica,Napoli,1990,Libero,İtalya
228861,Antonio Telari,Napoli,1990,Defans,İtalya
254988,Gianfranco Germoni,Napoli,1990,Defans,İtalya
300550,Leo Flavio,Napoli,1990,Defans,İtalya
5749,Ciro Ferrara,Napoli,1990,Stoper,İtalya
120379,Marco Baroni,Napoli,1990,Stoper,İtalya
120381,Giancarlo Corradini,Napoli,1990,Stoper,İtalya
223464,Gianluca Francesconi,Napoli,1990,Stoper,İtalya
228852,Ciro Caruso,Napoli,1990,Stoper,İtalya
118252,Giovanni Francini,Napoli,1990,Sol Bek,İtalya
180551,Ivan Rizzardi,Napoli,1990,Sol Bek,İtalya
117634,Alemão,Napoli,1990,Ön Libero,Brezilya
296670,Salvatore Calemme,Napoli,1990,Orta Saha,İtalya
300454,Ernesto Gallo,Napoli,1990,Orta Saha,İtalya
116755,Fernando De Napoli,Napoli,1990,Merkez Orta Saha,İtalya
120377,Massimo Crippa,Napoli,1990,Merkez Orta Saha,İtalya
180554,Giorgio Venturin,Napoli,1990,Merkez Orta Saha,İtalya
228559,Luca Altomare,Napoli,1990,Merkez Orta Saha,İtalya
120383,Massimo Mauro,Napoli,1990,Orta Saha Sağ,İtalya
24323,Fabrizio Ferrigno,Napoli,1990,Orta Saha Sol,İtalya
8024,Diego Maradona,Napoli,1990,On Numara,Arjantin
3177,Gianfranco Zola,Napoli,1990,Forvet Arkası,İtalya
117626,Careca,Napoli,1990,Santrafor,Brezilya
180552,Andrea Silenzi,Napoli,1990,Santrafor,İtalya
180556,Giuseppe Incocciati,Napoli,1990,Santrafor,İtalya
295152,Giuseppe Malafronte,Napoli,1990,Forvet,İtalya
23282,Angelo Pagotto,Napoli,1991,Kaleci,İtalya
32077,Domenico Cecere,Napoli,1991,Kaleci,İtalya
116706,Giovanni Galli,Napoli,1991,Kaleci,İtalya
176434,Marco Sansonetti,Napoli,1991,Kaleci,İtalya
22106,Gaetano De Rosa,Napoli,1991,Libero,İtalya
254988,Gianfranco Germoni,Napoli,1991,Defans,İtalya
5749,Ciro Ferrara,Napoli,1991,Stoper,İtalya
3113,Laurent Blanc,Napoli,1991,Stoper,Fransa
5775,Fabio Cannavaro,Napoli,1991,Stoper,İtalya
120381,Giancarlo Corradini,Napoli,1991,Stoper,İtalya
6815,Salvatore Russo,Napoli,1991,Sol Bek,İtalya
28873,Massimo Tarantino,Napoli,1991,Sol Bek,İtalya
118252,Giovanni Francini,Napoli,1991,Sol Bek,İtalya
223354,Vittorio Pusceddu,Napoli,1991,Sol Bek,İtalya
228856,Massimo Filardi,Napoli,1991,Sol Bek,İtalya
117634,Alemão,Napoli,1991,Ön Libero,Brezilya
223104,Stefano De Agostini,Napoli,1991,Ön Libero,İtalya
116755,Fernando De Napoli,Napoli,1991,Merkez Orta Saha,İtalya
120377,Massimo Crippa,Napoli,1991,Merkez Orta Saha,İtalya
20896,Raffaele Ametrano,Napoli,1991,Orta Saha Sağ,İtalya
120383,Massimo Mauro,Napoli,1991,Orta Saha Sağ,İtalya
226059,Claudio Bonomi,Napoli,1991,Orta Saha Sol,İtalya
24289,Antonio Arcadio,Napoli,1991,Sağ Kanat,İtalya
3177,Gianfranco Zola,Napoli,1991,Forvet Arkası,İtalya
32115,Cristian Baglieri,Napoli,1991,Santrafor,İtalya
117626,Careca,Napoli,1991,Santrafor,Brezilya
158112,Michele Padovano,Napoli,1991,Santrafor,İtalya
180552,Andrea Silenzi,Napoli,1991,Santrafor,İtalya
253609,Firmino Elia,Napoli,1991,Santrafor,İtalya
6806,Giuseppe Taglialatela,Napoli,1992,Kaleci,İtalya
23282,Angelo Pagotto,Napoli,1992,Kaleci,İtalya
116706,Giovanni Galli,Napoli,1992,Kaleci,İtalya
176434,Marco Sansonetti,Napoli,1992,Kaleci,İtalya
22106,Gaetano De Rosa,Napoli,1992,Libero,İtalya
228303,Paolo Ziliani,Napoli,1992,Libero,İtalya
5749,Ciro Ferrara,Napoli,1992,Stoper,İtalya
5775,Fabio Cannavaro,Napoli,1992,Stoper,İtalya
120381,Giancarlo Corradini,Napoli,1992,Stoper,İtalya
28873,Massimo Tarantino,Napoli,1992,Sol Bek,İtalya
116729,Sebastiano Nela,Napoli,1992,Sol Bek,İtalya
118252,Giovanni Francini,Napoli,1992,Sol Bek,İtalya
222760,Roberto Policano,Napoli,1992,Sol Bek,İtalya
223009,Carlo Cornacchia,Napoli,1992,Sağ Bek,İtalya
181052,Fausto Pari,Napoli,1992,Ön Libero,İtalya
34025,Jonas Thern,Napoli,1992,Merkez Orta Saha,İsveç
