OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
5963,Pavel Srnicek,Newcastle United,1990,Kaleci,Çek Cumhuriyeti
206780,Tommy Wright,Newcastle United,1990,Kaleci,Kuzey İrlanda
228060,John Burridge,Newcastle United,1990,Kaleci,İngiltere
3138,Steve Howey,Newcastle United,1990,Stoper,İngiltere
116142,Roy Aitken,Newcastle United,1990,Stoper,İskoçya
118347,Björn Kristensen,Newcastle United,1990,Stoper,Danimarka
175987,Alan Neilson,Newcastle United,1990,Stoper,Galler
222741,Kevin Scott,Newcastle United,1990,Stoper,İngiltere
743768,David Robinson,Newcastle United,1990,Stoper,İngiltere
886723,Darren Bradshaw,Newcastle United,1990,Stoper,İngiltere
3577,Robbie Elliott,Newcastle United,1990,Sol Bek,İngiltere
869254,Paul Sweeney,Newcastle United,1990,Sol Bek,İskoçya
884504,Mark Stimson,Newcastle United,1990,Sol Bek,İngiltere
3309,Steve Watson,Newcastle United,1990,Sağ Bek,İngiltere
118338,John Anderson,Newcastle United,1990,Sağ Bek,İrlanda
176930,Ray Ranson,Newcastle United,1990,Sağ Bek,İngiltere
118342,Liam O'Brien,Newcastle United,1990,Ön Libero,İrlanda
130170,Neil Simpson,Newcastle United,1990,Ön Libero,İskoçya
339441,Kevin Dillon,Newcastle United,1990,Orta Saha,İngiltere
1017133,John Gallacher,Newcastle United,1990,Orta Saha,İskoçya
3477,Lee Clark,Newcastle United,1990,Merkez Orta Saha,İngiltere
13331,Lee Makel,Newcastle United,1990,Merkez Orta Saha,İngiltere
175582,Gavin Peacock,Newcastle United,1990,Merkez Orta Saha,İngiltere
195172,Matty Appleby,Newcastle United,1990,Merkez Orta Saha,İngiltere
466667,Kevin Brock,Newcastle United,1990,Merkez Orta Saha,İngiltere
749383,John Gallacher,Newcastle United,1990,Merkez Orta Saha,İskoçya
954527,David Roche,Newcastle United,1990,Merkez Orta Saha,İngiltere
640455,Billy Askew,Newcastle United,1990,Orta Saha Sol,İngiltere
968719,Archie Gourlay,Newcastle United,1990,On Numara,İskoçya
229830,Paul Moran,Newcastle United,1990,Sağ Kanat,İngiltere
244119,Wayne Fereday,Newcastle United,1990,Sağ Kanat,İngiltere
1017120,John Watson,Newcastle United,1990,Sağ Kanat,İngiltere
110321,Dave Mitchell,Newcastle United,1990,Santrafor,Avustralya
120510,Mark McGhee,Newcastle United,1990,Santrafor,İskoçya
177756,Tommy Gaynor,Newcastle United,1990,Forvet,İrlanda
202555,Andy Hunt,Newcastle United,1990,Santrafor,İngiltere
222530,Micky Quinn,Newcastle United,1990,Santrafor,İngiltere
