OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
4041,Mark Crossley,Nottingham Forest,1990,Kaleci,Galler
10000,Des Walker,Nottingham Forest,1990,Stoper,İngiltere
168569,Steve Chettle,Nottingham Forest,1990,Stoper,İngiltere
223258,Darren Wassall,Nottingham Forest,1990,Stoper,İngiltere
224053,Terry Wilson,Nottingham Forest,1990,Stoper,İskoçya
101317,Stuart Pearce,Nottingham Forest,1990,Sol Bek,İngiltere
222544,Brett Williams,Nottingham Forest,1990,Sol Bek,İngiltere
106810,Gary Charles,Nottingham Forest,1990,Sağ Bek,İngiltere
222516,Brian Laws,Nottingham Forest,1990,Sağ Bek,İngiltere
177517,Brian Rice,Nottingham Forest,1990,Orta Saha,İskoçya
182790,Thorvaldur Örlygsson,Nottingham Forest,1990,Ön Libero,İzlanda
1070397,Tony Loughlan,Nottingham Forest,1990,Orta Saha,İngiltere
3396,Roy Keane,Nottingham Forest,1990,Merkez Orta Saha,İrlanda
3617,Scot Gemmill,Nottingham Forest,1990,Merkez Orta Saha,İskoçya
101390,Steve Hodge,Nottingham Forest,1990,Merkez Orta Saha,İngiltere
107796,Garry Parker,Nottingham Forest,1990,Merkez Orta Saha,İngiltere
101322,Nigel Clough,Nottingham Forest,1990,On Numara,İngiltere
168600,Ian Woan,Nottingham Forest,1990,Sol Kanat,İngiltere
222286,Franz Carr,Nottingham Forest,1990,Sağ Kanat,İngiltere
222495,Gary Crosby,Nottingham Forest,1990,Sağ Kanat,İngiltere
177756,Tommy Gaynor,Nottingham Forest,1990,Forvet,İrlanda
222504,Lee Glover,Nottingham Forest,1990,Santrafor,İskoçya
223302,Nigel Jemson,Nottingham Forest,1990,Santrafor,İngiltere
224188,Phil Starbuck,Nottingham Forest,1990,Santrafor,İngiltere
1015262,Neil Lyne,Nottingham Forest,1990,Santrafor,İngiltere
3738,Andy Marriott,Nottingham Forest,1991,Kaleci,Galler
4041,Mark Crossley,Nottingham Forest,1991,Kaleci,Galler
452991,Steve Sutton,Nottingham Forest,1991,Kaleci,İngiltere
10000,Des Walker,Nottingham Forest,1991,Stoper,İngiltere
14025,Chris Hope,Nottingham Forest,1991,Stoper,İngiltere
