OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
176342,Ilias Talikriadis,Olympiakos,1990,Kaleci,Yunanistan
346253,Alekos Rantos,Olympiakos,1990,Kaleci,Yunanistan
102296,Kyriakos Karataidis,Olympiakos,1990,Stoper,Yunanistan
102304,Alexis Alexiou,Olympiakos,1990,Stoper,Yunanistan
174333,Georgios Christodoulou,Olympiakos,1990,Stoper,Kıbrıs
348654,Nikolaos Nentidis,Olympiakos,1990,Sol Bek,Yunanistan
173998,Theodoros Pachatouridis,Olympiakos,1990,Sağ Bek,Yunanistan
188595,Ilias Savvidis,Olympiakos,1990,Orta Saha,Yunanistan
217582,Vasilios Vouzas,Olympiakos,1990,Orta Saha,Yunanistan
226726,Sotiris Mavromatis,Olympiakos,1990,Orta Saha,Yunanistan
440482,Mattheos Gotzias,Olympiakos,1990,Orta Saha,Yunanistan
88142,Gennadiy Lytovchenko,Olympiakos,1990,Merkez Orta Saha,Ukrayna
102306,Savvas Kofidis,Olympiakos,1990,Orta Saha Sol,Yunanistan
6603,Minas Hantzidis,Olympiakos,1990,On Numara,Yunanistan
102300,Anastasios Mitropoulos,Olympiakos,1990,On Numara,Yunanistan
102302,Panagiotis Tsalouchidis,Olympiakos,1990,On Numara,Yunanistan
102303,Nikolaos Tsiantakis,Olympiakos,1990,Sol Kanat,Yunanistan
84670,Yuriy Savichev,Olympiakos,1990,Santrafor,Rusya
106921,Oleg Protasov,Olympiakos,1990,Santrafor,Ukrayna
188071,Panagiotis Sofianopoulos,Olympiakos,1990,Forvet,Yunanistan
475817,Apostolos Drakopoulos,Olympiakos,1990,Forvet,Yunanistan
789255,Nikolaos Anastopoulos,Olympiakos,1990,Santrafor,Yunanistan
16188,Sokratis Kopsachilis,Olympiakos,1991,Kaleci,Yunanistan
176342,Ilias Talikriadis,Olympiakos,1991,Kaleci,Yunanistan
346253,Alekos Rantos,Olympiakos,1991,Kaleci,Yunanistan
486623,Nikolaos Grigoriadis,Olympiakos,1991,Kaleci,Yunanistan
102296,Kyriakos Karataidis,Olympiakos,1991,Stoper,Yunanistan
167230,Petros Michos,Olympiakos,1991,Stoper,Yunanistan
170651,Michalis Vlachos,Olympiakos,1991,Stoper,Yunanistan
174333,Georgios Christodoulou,Olympiakos,1991,Stoper,Kıbrıs
348654,Nikolaos Nentidis,Olympiakos,1991,Sol Bek,Yunanistan
173998,Theodoros Pachatouridis,Olympiakos,1991,Sağ Bek,Yunanistan
188595,Ilias Savvidis,Olympiakos,1991,Orta Saha,Yunanistan
217582,Vasilios Vouzas,Olympiakos,1991,Orta Saha,Yunanistan
226726,Sotiris Mavromatis,Olympiakos,1991,Orta Saha,Yunanistan
88142,Gennadiy Lytovchenko,Olympiakos,1991,Merkez Orta Saha,Ukrayna
102306,Savvas Kofidis,Olympiakos,1991,Orta Saha Sol,Yunanistan
6603,Minas Hantzidis,Olympiakos,1991,On Numara,Yunanistan
102300,Anastasios Mitropoulos,Olympiakos,1991,On Numara,Yunanistan
102302,Panagiotis Tsalouchidis,Olympiakos,1991,On Numara,Yunanistan
160341,Vasilios Karapialis,Olympiakos,1991,On Numara,Yunanistan
102303,Nikolaos Tsiantakis,Olympiakos,1991,Sol Kanat,Yunanistan
84670,Yuriy Savichev,Olympiakos,1991,Santrafor,Rusya
106921,Oleg Protasov,Olympiakos,1991,Santrafor,Ukrayna
174002,Georgios Vaitsis,Olympiakos,1991,Forvet,Yunanistan
188071,Panagiotis Sofianopoulos,Olympiakos,1991,Forvet,Yunanistan
789255,Nikolaos Anastopoulos,Olympiakos,1991,Santrafor,Yunanistan
173996,Georgios Myrtsos,Olympiakos,1992,Kaleci,Yunanistan
176342,Ilias Talikriadis,Olympiakos,1992,Kaleci,Yunanistan
346253,Alekos Rantos,Olympiakos,1992,Kaleci,Yunanistan
486623,Nikolaos Grigoriadis,Olympiakos,1992,Kaleci,Yunanistan
456943,Michalis Kousoulas,Olympiakos,1992,Defans,Yunanistan
102296,Kyriakos Karataidis,Olympiakos,1992,Stoper,Yunanistan
167408,Georgios Mitsibonas,Olympiakos,1992,Stoper,Yunanistan
170651,Michalis Vlachos,Olympiakos,1992,Stoper,Yunanistan
174333,Georgios Christodoulou,Olympiakos,1992,Stoper,Kıbrıs
348654,Nikolaos Nentidis,Olympiakos,1992,Sol Bek,Yunanistan
173998,Theodoros Pachatouridis,Olympiakos,1992,Sağ Bek,Yunanistan
180723,Chris Kalantzis,Olympiakos,1992,Ön Libero,Avustralya
188595,Ilias Savvidis,Olympiakos,1992,Orta Saha,Yunanistan
226726,Sotiris Mavromatis,Olympiakos,1992,Orta Saha,Yunanistan
438668,Steve Refenes,Olympiakos,1992,Orta Saha,Avustralya
440482,Mattheos Gotzias,Olympiakos,1992,Orta Saha,Yunanistan
443501,Vangelis Kryos,Olympiakos,1992,Orta Saha,Yunanistan
88142,Gennadiy Lytovchenko,Olympiakos,1992,Merkez Orta Saha,Ukrayna
102306,Savvas Kofidis,Olympiakos,1992,Orta Saha Sol,Yunanistan
6603,Minas Hantzidis,Olympiakos,1992,On Numara,Yunanistan
102302,Panagiotis Tsalouchidis,Olympiakos,1992,On Numara,Yunanistan
160341,Vasilios Karapialis,Olympiakos,1992,On Numara,Yunanistan
102303,Nikolaos Tsiantakis,Olympiakos,1992,Sol Kanat,Yunanistan
106921,Oleg Protasov,Olympiakos,1992,Santrafor,Ukrayna
167255,Daniel Batista Lima,Olympiakos,1992,Santrafor,Yunanistan
174002,Georgios Vaitsis,Olympiakos,1992,Forvet,Yunanistan
188071,Panagiotis Sofianopoulos,Olympiakos,1992,Forvet,Yunanistan
19289,Foto Strakosha,Olympiakos,1993,Kaleci,Arnavutluk
176342,Ilias Talikriadis,Olympiakos,1993,Kaleci,Yunanistan
346253,Alekos Rantos,Olympiakos,1993,Kaleci,Yunanistan
170812,Vasilios Ioannidis,Olympiakos,1993,Defans,Yunanistan
20796,Georgios Amanatidis,Olympiakos,1993,Stoper,Yunanistan
102296,Kyriakos Karataidis,Olympiakos,1993,Stoper,Yunanistan
167408,Georgios Mitsibonas,Olympiakos,1993,Stoper,Yunanistan
173998,Theodoros Pachatouridis,Olympiakos,1993,Sağ Bek,Yunanistan
180723,Chris Kalantzis,Olympiakos,1993,Ön Libero,Avustralya
188595,Ilias Savvidis,Olympiakos,1993,Orta Saha,Yunanistan
367648,Stamatis Syrigos,Olympiakos,1993,Orta Saha,Yunanistan
9690,Takis Gonias,Olympiakos,1993,Orta Saha Sağ,Yunanistan
6603,Minas Hantzidis,Olympiakos,1993,On Numara,Yunanistan
102302,Panagiotis Tsalouchidis,Olympiakos,1993,On Numara,Yunanistan
133848,Fabián Estay,Olympiakos,1993,On Numara,Şili
160341,Vasilios Karapialis,Olympiakos,1993,On Numara,Yunanistan
102303,Nikolaos Tsiantakis,Olympiakos,1993,Sol Kanat,Yunanistan
17301,Bent Christensen,Olympiakos,1993,Santrafor,Danimarka
106921,Oleg Protasov,Olympiakos,1993,Santrafor,Ukrayna
167255,Daniel Batista Lima,Olympiakos,1993,Santrafor,Yunanistan
174002,Georgios Vaitsis,Olympiakos,1993,Forvet,Yunanistan
188071,Panagiotis Sofianopoulos,Olympiakos,1993,Forvet,Yunanistan
385347,Vasilios Mouratidis,Olympiakos,1993,Forvet,Yunanistan
789255,Nikolaos Anastopoulos,Olympiakos,1993,Santrafor,Yunanistan
19289,Foto Strakosha,Olympiakos,1994,Kaleci,Arnavutluk
15155,Kyriakos Tochouroglou,Olympiakos,1994,Kaleci,Yunanistan
346253,Alekos Rantos,Olympiakos,1994,Kaleci,Yunanistan
170812,Vasilios Ioannidis,Olympiakos,1994,Defans,Yunanistan
440413,Grigoris Troupkos,Olympiakos,1994,Defans,Yunanistan
456943,Michalis Kousoulas,Olympiakos,1994,Defans,Yunanistan
3581,Nikolaos Dabizas,Olympiakos,1994,Stoper,Yunanistan
20796,Georgios Amanatidis,Olympiakos,1994,Stoper,Yunanistan
102296,Kyriakos Karataidis,Olympiakos,1994,Stoper,Yunanistan
173998,Theodoros Pachatouridis,Olympiakos,1994,Sağ Bek,Yunanistan
12981,Petros Passalis,Olympiakos,1994,Ön Libero,Yunanistan
180723,Chris Kalantzis,Olympiakos,1994,Ön Libero,Avustralya
188086,Petros Marinakis,Olympiakos,1994,Ön Libero,Yunanistan
226726,Sotiris Mavromatis,Olympiakos,1994,Orta Saha,Yunanistan
438668,Steve Refenes,Olympiakos,1994,Orta Saha,Avustralya
9690,Takis Gonias,Olympiakos,1994,Orta Saha Sağ,Yunanistan
6603,Minas Hantzidis,Olympiakos,1994,On Numara,Yunanistan
102302,Panagiotis Tsalouchidis,Olympiakos,1994,On Numara,Yunanistan
133848,Fabián Estay,Olympiakos,1994,On Numara,Şili
160341,Vasilios Karapialis,Olympiakos,1994,On Numara,Yunanistan
173854,Marios Segos,Olympiakos,1994,On Numara,Yunanistan
102303,Nikolaos Tsiantakis,Olympiakos,1994,Sol Kanat,Yunanistan
20866,Alexis Alexandris,Olympiakos,1994,Santrafor,Yunanistan
102320,Rashidi Yekini,Olympiakos,1994,Santrafor,Nijerya
9869,Ilija Ivic,Olympiakos,1994,Santrafor,Sırbistan
109040,Ilias Sapanis,Olympiakos,1994,Santrafor,Yunanistan
167255,Daniel Batista Lima,Olympiakos,1994,Santrafor,Yunanistan
188071,Panagiotis Sofianopoulos,Olympiakos,1994,Forvet,Yunanistan
19289,Foto Strakosha,Olympiakos,1995,Kaleci,Arnavutluk
15155,Kyriakos Tochouroglou,Olympiakos,1995,Kaleci,Yunanistan
346253,Alekos Rantos,Olympiakos,1995,Kaleci,Yunanistan
170812,Vasilios Ioannidis,Olympiakos,1995,Defans,Yunanistan
440413,Grigoris Troupkos,Olympiakos,1995,Defans,Yunanistan
3581,Nikolaos Dabizas,Olympiakos,1995,Stoper,Yunanistan
20796,Georgios Amanatidis,Olympiakos,1995,Stoper,Yunanistan
102296,Kyriakos Karataidis,Olympiakos,1995,Stoper,Yunanistan
9873,Grigoris Georgatos,Olympiakos,1995,Sol Bek,Yunanistan
1340,Emil Kremenliev,Olympiakos,1995,Sağ Bek,Bulgaristan
173998,Theodoros Pachatouridis,Olympiakos,1995,Sağ Bek,Yunanistan
12981,Petros Passalis,Olympiakos,1995,Ön Libero,Yunanistan
180723,Chris Kalantzis,Olympiakos,1995,Ön Libero,Avustralya
188086,Petros Marinakis,Olympiakos,1995,Ön Libero,Yunanistan
9690,Takis Gonias,Olympiakos,1995,Orta Saha Sağ,Yunanistan
169172,Georgios Skartados,Olympiakos,1995,Orta Saha Sağ,Yunanistan
6603,Minas Hantzidis,Olympiakos,1995,On Numara,Yunanistan
160341,Vasilios Karapialis,Olympiakos,1995,On Numara,Yunanistan
173886,Theofilos Karasavvidis,Olympiakos,1995,Forvet Arkası,Yunanistan
20866,Alexis Alexandris,Olympiakos,1995,Santrafor,Yunanistan
658,Andrzej Juskowiak,Olympiakos,1995,Santrafor,Polonya
9869,Ilija Ivic,Olympiakos,1995,Santrafor,Sırbistan
13469,Alexandros Kaklamanos,Olympiakos,1995,Santrafor,Yunanistan
109040,Ilias Sapanis,Olympiakos,1995,Santrafor,Yunanistan
19289,Foto Strakosha,Olympiakos,1996,Kaleci,Arnavutluk
9685,Dimitrios Eleftheropoulos,Olympiakos,1996,Kaleci,Yunanistan
346253,Alekos Rantos,Olympiakos,1996,Kaleci,Yunanistan
7321,Mirza Varesanovic,Olympiakos,1996,Libero,Bosna-Hersek
170812,Vasilios Ioannidis,Olympiakos,1996,Defans,Yunanistan
440413,Grigoris Troupkos,Olympiakos,1996,Defans,Yunanistan
3581,Nikolaos Dabizas,Olympiakos,1996,Stoper,Yunanistan
9704,Georgios Anatolakis,Olympiakos,1996,Stoper,Yunanistan
20796,Georgios Amanatidis,Olympiakos,1996,Stoper,Yunanistan
102296,Kyriakos Karataidis,Olympiakos,1996,Stoper,Yunanistan
9873,Grigoris Georgatos,Olympiakos,1996,Sol Bek,Yunanistan
12981,Petros Passalis,Olympiakos,1996,Ön Libero,Yunanistan
102701,Refik Sabanadzovic,Olympiakos,1996,Ön Libero,Bosna-Hersek
180723,Chris Kalantzis,Olympiakos,1996,Ön Libero,Avustralya
378863,Dimitrios Kalykas,Olympiakos,1996,Orta Saha,Yunanistan
12988,Stelios Sfakianakis,Olympiakos,1996,Merkez Orta Saha,Yunanistan
9690,Takis Gonias,Olympiakos,1996,Orta Saha Sağ,Yunanistan
169172,Georgios Skartados,Olympiakos,1996,Orta Saha Sağ,Yunanistan
9683,Predrag Djordjevic,Olympiakos,1996,Orta Saha Sol,Sırbistan
9714,Andreas Niniadis,Olympiakos,1996,On Numara,Yunanistan
160341,Vasilios Karapialis,Olympiakos,1996,On Numara,Yunanistan
4254,Stelios Giannakopoulos,Olympiakos,1996,Sağ Kanat,Yunanistan
173886,Theofilos Karasavvidis,Olympiakos,1996,Forvet Arkası,Yunanistan
20866,Alexis Alexandris,Olympiakos,1996,Santrafor,Yunanistan
9869,Ilija Ivic,Olympiakos,1996,Santrafor,Sırbistan
13469,Alexandros Kaklamanos,Olympiakos,1996,Santrafor,Yunanistan
109040,Ilias Sapanis,Olympiakos,1996,Santrafor,Yunanistan
154937,Sinisa Gogic,Olympiakos,1996,Santrafor,Kıbrıs
652959,Georgios Dimitropoulos,Olympiakos,1997,Kaleci,Yunanistan
346253,Alekos Rantos,Olympiakos,1997,Kaleci,Yunanistan
15155,Kyriakos Tochouroglou,Olympiakos,1997,Kaleci,Yunanistan
9685,Dimitrios Eleftheropoulos,Olympiakos,1997,Kaleci,Yunanistan
17232,Luigi Cennamo,Olympiakos,1997,Kaleci,İtalya
7321,Mirza Varesanovic,Olympiakos,1997,Libero,Bosna-Hersek
102296,Kyriakos Karataidis,Olympiakos,1997,Stoper,Yunanistan
3581,Nikolaos Dabizas,Olympiakos,1997,Stoper,Yunanistan
9704,Georgios Anatolakis,Olympiakos,1997,Stoper,Yunanistan
20796,Georgios Amanatidis,Olympiakos,1997,Stoper,Yunanistan
9873,Grigoris Georgatos,Olympiakos,1997,Sol Bek,Yunanistan
9708,Dimitrios Mavrogenidis,Olympiakos,1997,Sağ Bek,Yunanistan
172419,Bozidar Bandovic,Olympiakos,1997,Sağ Bek,Karadağ
102701,Refik Sabanadzovic,Olympiakos,1997,Ön Libero,Bosna-Hersek
17227,Ilias Poursanidis,Olympiakos,1997,Ön Libero,Yunanistan
12981,Petros Passalis,Olympiakos,1997,Ön Libero,Yunanistan
12988,Stelios Sfakianakis,Olympiakos,1997,Merkez Orta Saha,Yunanistan
9683,Predrag Djordjevic,Olympiakos,1997,Orta Saha Sol,Sırbistan
9714,Andreas Niniadis,Olympiakos,1997,On Numara,Yunanistan
102300,Anastasios Mitropoulos,Olympiakos,1997,On Numara,Yunanistan
160341,Vasilios Karapialis,Olympiakos,1997,On Numara,Yunanistan
4254,Stelios Giannakopoulos,Olympiakos,1997,Sağ Kanat,Yunanistan
20866,Alexis Alexandris,Olympiakos,1997,Santrafor,Yunanistan
9869,Ilija Ivic,Olympiakos,1997,Santrafor,Sırbistan
154937,Sinisa Gogic,Olympiakos,1997,Santrafor,Kıbrıs
37130,Peter Ofori-Quaye,Olympiakos,1997,Santrafor,Gana
384364,Gus Kartes,Olympiakos,1997,Forvet,Amerika Birleşik Devletleri
15155,Kyriakos Tochouroglou,Olympiakos,1998,Kaleci,Yunanistan
17232,Luigi Cennamo,Olympiakos,1998,Kaleci,İtalya
