OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
12764,Gilles Rousset,Olympique Lyon,1990,Kaleci,Fransa
409347,Alexandre Bès,Olympique Lyon,1990,Defans,Fransa
486319,Mario Corian,Olympique Lyon,1990,Defans,Fransa
3964,Bruno N'Gotty,Olympique Lyon,1990,Stoper,Fransa
173627,Eric Taborda,Olympique Lyon,1990,Stoper,Fransa
205097,Jean-Marc Knapp,Olympique Lyon,1990,Stoper,Fransa
152725,Romarin Billong,Olympique Lyon,1990,Sol Bek,Kamerun
250026,Laurent Lassagne,Olympique Lyon,1990,Sol Bek,Fransa
5694,Pascal Fugier,Olympique Lyon,1990,Sağ Bek,Fransa
101115,Rémi Garde,Olympique Lyon,1990,Ön Libero,Fransa
151341,Laurent Debrosse,Olympique Lyon,1990,Orta Saha,Fransa
160022,Pierre Chavrondier,Olympique Lyon,1990,Orta Saha,Fransa
174485,Olivier Ferez,Olympique Lyon,1990,Orta Saha,Fransa
408410,Bruno Genesio,Olympique Lyon,1990,Orta Saha,Fransa
481477,Jacky Colin,Olympique Lyon,1990,Orta Saha,Fransa
168249,Stéphane Roche,Olympique Lyon,1990,Merkez Orta Saha,Fransa
117201,Aziz Bouderbala,Olympique Lyon,1990,On Numara,Fas
168006,Ali Bouafia,Olympique Lyon,1990,Sol Kanat,Cezayir
107822,Samassi Abou,Olympique Lyon,1990,Santrafor,Fransa
118202,Roberto Cabañas,Olympique Lyon,1990,Santrafor,Paraguay
215176,Milos Bursac,Olympique Lyon,1990,Santrafor,Sırbistan
409181,Guillaume Masson,Olympique Lyon,1990,Forvet,Fransa
484186,Alain Baré,Olympique Lyon,1990,Forvet,Fransa
12764,Gilles Rousset,Olympique Lyon,1991,Kaleci,Fransa
173671,Christophe Breton,Olympique Lyon,1991,Kaleci,Fransa
409347,Alexandre Bès,Olympique Lyon,1991,Defans,Fransa
3964,Bruno N'Gotty,Olympique Lyon,1991,Stoper,Fransa
11854,Thomas Pfannkuch,Olympique Lyon,1991,Stoper,Almanya
205097,Jean-Marc Knapp,Olympique Lyon,1991,Stoper,Fransa
152712,Ghislain Anselmini,Olympique Lyon,1991,Sol Bek,Fransa
152725,Romarin Billong,Olympique Lyon,1991,Sol Bek,Kamerun
250026,Laurent Lassagne,Olympique Lyon,1991,Sol Bek,Fransa
5694,Pascal Fugier,Olympique Lyon,1991,Sağ Bek,Fransa
101115,Rémi Garde,Olympique Lyon,1991,Ön Libero,Fransa
117733,Alim Ben Mabrouk,Olympique Lyon,1991,Ön Libero,Cezayir
151341,Laurent Debrosse,Olympique Lyon,1991,Orta Saha,Fransa
154058,Sylvain Deplace,Olympique Lyon,1991,Ön Libero,Fransa
160022,Pierre Chavrondier,Olympique Lyon,1991,Orta Saha,Fransa
276623,Alfonso Fernández Leal,Olympique Lyon,1991,Orta Saha,İspanya
408410,Bruno Genesio,Olympique Lyon,1991,Orta Saha,Fransa
168249,Stéphane Roche,Olympique Lyon,1991,Merkez Orta Saha,Fransa
12984,Claude-Arnaud Rivenet,Olympique Lyon,1991,Orta Saha Sağ,Fransa
117201,Aziz Bouderbala,Olympique Lyon,1991,On Numara,Fas
168006,Ali Bouafia,Olympique Lyon,1991,Sol Kanat,Cezayir
118202,Roberto Cabañas,Olympique Lyon,1991,Santrafor,Paraguay
215176,Milos Bursac,Olympique Lyon,1991,Santrafor,Sırbistan
409181,Guillaume Masson,Olympique Lyon,1991,Forvet,Fransa
484186,Alain Baré,Olympique Lyon,1991,Forvet,Fransa
12764,Gilles Rousset,Olympique Lyon,1992,Kaleci,Fransa
173671,Christophe Breton,Olympique Lyon,1992,Kaleci,Fransa
409347,Alexandre Bès,Olympique Lyon,1992,Defans,Fransa
216583,Éric Péan,Olympique Lyon,1992,Libero,Fransa
481998,Alain Colacicco,Olympique Lyon,1992,Defans,Fransa
3964,Bruno N'Gotty,Olympique Lyon,1992,Stoper,Fransa
5391,Maxence Flachez,Olympique Lyon,1992,Stoper,Fransa
152822,Jean-Marc Moulin,Olympique Lyon,1992,Stoper,Fransa
405713,Patrice Ferri,Olympique Lyon,1992,Stoper,Fransa
152712,Ghislain Anselmini,Olympique Lyon,1992,Sol Bek,Fransa
152725,Romarin Billong,Olympique Lyon,1992,Sol Bek,Kamerun
5694,Pascal Fugier,Olympique Lyon,1992,Sağ Bek,Fransa
101115,Rémi Garde,Olympique Lyon,1992,Ön Libero,Fransa
117733,Alim Ben Mabrouk,Olympique Lyon,1992,Ön Libero,Cezayir
151341,Laurent Debrosse,Olympique Lyon,1992,Orta Saha,Fransa
154058,Sylvain Deplace,Olympique Lyon,1992,Ön Libero,Fransa
276623,Alfonso Fernández Leal,Olympique Lyon,1992,Orta Saha,İspanya
408410,Bruno Genesio,Olympique Lyon,1992,Orta Saha,Fransa
5464,Cédric Bardon,Olympique Lyon,1992,Merkez Orta Saha,Fransa
