OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
101051,Hans van Breukelen,PSV,1990,Kaleci,Hollanda
150538,Jan Nederburgh,PSV,1990,Kaleci,Hollanda
17280,Luuk Maes,PSV,1990,Stoper,Hollanda
3129,Gheorghe Popescu,PSV,1990,Stoper,Romanya
101756,Stan Valckx,PSV,1990,Stoper,Hollanda
150531,Adick Koot,PSV,1990,Stoper,Hollanda
1539,Jan Heintze,PSV,1990,Sol Bek,Danimarka
1001,Raymond Beerens,PSV,1990,Sağ Bek,Hollanda
150187,Jerry de Jong,PSV,1990,Sağ Bek,Hollanda
20154,Geoffrey Prommayon,PSV,1990,Sağ Bek,Hollanda
101050,Berry van Aerle,PSV,1990,Sağ Bek,Hollanda
118155,Eric Gerets,PSV,1990,Sağ Bek,Belçika
106104,Arno Doomernik,PSV,1990,Ön Libero,Hollanda
107281,Edward Linskens,PSV,1990,Ön Libero,Hollanda
150526,Michel Boerebach,PSV,1990,Orta Saha,Hollanda
150543,Dick Schreuder,PSV,1990,Ön Libero,Hollanda
106962,Jozef Chovanec,PSV,1990,Merkez Orta Saha,Çek Cumhuriyeti
101999,Erwin Koeman,PSV,1990,Orta Saha Sol,Hollanda
13584,Peter Hoekstra,PSV,1990,Sol Kanat,Hollanda
6668,Gerald Vanenburg,PSV,1990,Sağ Kanat,Hollanda
7942,Romário,PSV,1990,Santrafor,Brezilya
22449,John Bosman,PSV,1990,Santrafor,Hollanda
134594,Kalusha Bwalya,PSV,1990,Santrafor,Zambiya
139650,Twan Scheepers,PSV,1990,Santrafor,Hollanda
149984,Juul Ellerman,PSV,1990,Santrafor,Hollanda
4654,Wim de Ron,PSV,1991,Kaleci,Hollanda
101051,Hans van Breukelen,PSV,1991,Kaleci,Hollanda
3129,Gheorghe Popescu,PSV,1991,Stoper,Romanya
101756,Stan Valckx,PSV,1991,Stoper,Hollanda
1539,Jan Heintze,PSV,1991,Sol Bek,Danimarka
4466,Tom Van Mol,PSV,1991,Sol Bek,Belçika
101052,Adri van Tiggelen,PSV,1991,Sol Bek,Hollanda
150187,Jerry de Jong,PSV,1991,Sağ Bek,Hollanda
20154,Geoffrey Prommayon,PSV,1991,Sağ Bek,Hollanda
101050,Berry van Aerle,PSV,1991,Sağ Bek,Hollanda
118155,Eric Gerets,PSV,1991,Sağ Bek,Belçika
107281,Edward Linskens,PSV,1991,Ön Libero,Hollanda
150543,Dick Schreuder,PSV,1991,Ön Libero,Hollanda
106962,Jozef Chovanec,PSV,1991,Merkez Orta Saha,Çek Cumhuriyeti
21597,François Gesthuizen,PSV,1991,Orta Saha Sağ,Hollanda
101999,Erwin Koeman,PSV,1991,Orta Saha Sol,Hollanda
13584,Peter Hoekstra,PSV,1991,Sol Kanat,Hollanda
6668,Gerald Vanenburg,PSV,1991,Sağ Kanat,Hollanda
7942,Romário,PSV,1991,Santrafor,Brezilya
101047,Wim Kieft,PSV,1991,Santrafor,Hollanda
134594,Kalusha Bwalya,PSV,1991,Santrafor,Zambiya
139650,Twan Scheepers,PSV,1991,Santrafor,Hollanda
149984,Juul Ellerman,PSV,1991,Santrafor,Hollanda
4654,Wim de Ron,PSV,1992,Kaleci,Hollanda
101051,Hans van Breukelen,PSV,1992,Kaleci,Hollanda
