OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
117477,Joël Bats,Paris Saint-Germain,1990,Kaleci,Fransa
409175,Thomas Kokkinis,Paris Saint-Germain,1990,Kaleci,Fransa
480616,Stéphane Persol,Paris Saint-Germain,1990,Defans,Fransa
176024,Antoine Kombouaré,Paris Saint-Germain,1990,Stoper,Fransa
480329,Jean-Pierre Bosser,Paris Saint-Germain,1990,Stoper,Fransa
5556,Francis Llacer,Paris Saint-Germain,1990,Sol Bek,Fransa
218104,Philippe Jeannol,Paris Saint-Germain,1990,Sol Bek,Fransa
466604,Franck Tanasi,Paris Saint-Germain,1990,Sol Bek,Fransa
51776,Jocelyn Angloma,Paris Saint-Germain,1990,Sağ Bek,Guadeloupe
117489,Michel Bibard,Paris Saint-Germain,1990,Sağ Bek,Fransa
405711,Jean-Luc Vasseur,Paris Saint-Germain,1990,Sağ Bek,Fransa
466607,Jean-François Charbonnier,Paris Saint-Germain,1990,Ön Libero,Fransa
173698,Thierry Laurey,Paris Saint-Germain,1990,Ön Libero,Fransa
466608,Pierre Reynaud,Paris Saint-Germain,1990,Ön Libero,Fransa
106846,Daniel Bravo,Paris Saint-Germain,1990,Merkez Orta Saha,Fransa
101117,Christian Perez,Paris Saint-Germain,1990,On Numara,Fransa
102705,Safet Susic,Paris Saint-Germain,1990,On Numara,Bosna-Hersek
413192,Oumar Sène,Paris Saint-Germain,1990,On Numara,Senegal
399143,Liazid Sandjak,Paris Saint-Germain,1990,Forvet Arkası,Cezayir
5333,Pascal Nouma,Paris Saint-Germain,1990,Santrafor,Fransa
26415,Patrick Mboma,Paris Saint-Germain,1990,Santrafor,Kamerun
102706,Zlatko Vujovic,Paris Saint-Germain,1990,Santrafor,Hırvatistan
168520,Franck Vandecasteele,Paris Saint-Germain,1990,Santrafor,Fransa
173716,Amara Simba,Paris Saint-Germain,1990,Santrafor,Fransa
174115,David Rinçon,Paris Saint-Germain,1990,Forvet,Fransa
481431,Alboury Lah,Paris Saint-Germain,1990,Forvet,Senegal
6723,Richard Dutruel,Paris Saint-Germain,1991,Kaleci,Fransa
117477,Joël Bats,Paris Saint-Germain,1991,Kaleci,Fransa
34014,Ricardo Gomes,Paris Saint-Germain,1991,Stoper,Brezilya
176024,Antoine Kombouaré,Paris Saint-Germain,1991,Stoper,Fransa
179897,Geraldão,Paris Saint-Germain,1991,Stoper,Brezilya
5556,Francis Llacer,Paris Saint-Germain,1991,Sol Bek,Fransa
107065,Patrick Colleter,Paris Saint-Germain,1991,Sol Bek,Fransa
160042,Bernard Héréson,Paris Saint-Germain,1991,Sağ Bek,Guadeloupe
405711,Jean-Luc Vasseur,Paris Saint-Germain,1991,Sağ Bek,Fransa
171818,Laurent Fournier,Paris Saint-Germain,1991,Ön Libero,Fransa
172440,Paul Le Guen,Paris Saint-Germain,1991,Ön Libero,Fransa
180346,Bruno Germain,Paris Saint-Germain,1991,Ön Libero,Fransa
180371,Bernard Pardo,Paris Saint-Germain,1991,Ön Libero,Fransa
466608,Pierre Reynaud,Paris Saint-Germain,1991,Ön Libero,Fransa
106846,Daniel Bravo,Paris Saint-Germain,1991,Merkez Orta Saha,Fransa
