OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
92265,Fevzi Layiç,Pendikspor,1990,Kaleci,Türkiye
1399106,İbrahim Gül,Pendikspor,1990,Kaleci,Türkiye
624775,Halim Demir,Pendikspor,1990,Orta Saha,Türkiye
957482,Maksut Ünlü,Pendikspor,1990,Sol Kanat,Türkiye
1224917,İbrahim Tok,Pendikspor,1990,Santrafor,Türkiye
92265,Fevzi Layiç,Pendikspor,1991,Kaleci,Türkiye
1399106,İbrahim Gül,Pendikspor,1991,Kaleci,Türkiye
857523,İşcan Avşar,Pendikspor,1991,Defans,Türkiye
879969,Mehmet Fahrettin Eldek,Pendikspor,1991,Defans,Türkiye
881429,Muzaffer Sancak,Pendikspor,1991,Defans,Türkiye
624775,Halim Demir,Pendikspor,1991,Orta Saha,Türkiye
29681,Necdet Sekmen,Pendikspor,1991,Orta Saha Sol,Türkiye
1555605,Cenk Aklem,Pendikspor,1991,On Numara,Türkiye
957482,Maksut Ünlü,Pendikspor,1991,Sol Kanat,Türkiye
824920,Mehmet Fatih Yamaç,Pendikspor,1992,Defans,Türkiye
881429,Muzaffer Sancak,Pendikspor,1992,Defans,Türkiye
920680,İsmail Coşkun,Pendikspor,1992,Defans,Türkiye
624775,Halim Demir,Pendikspor,1992,Orta Saha,Türkiye
839883,Halit Ahi,Pendikspor,1992,Orta Saha,Türkiye
29681,Necdet Sekmen,Pendikspor,1992,Orta Saha Sol,Türkiye
581152,Erol Sokullu,Pendikspor,1992,Orta Saha Sol,Türkiye
1555605,Cenk Aklem,Pendikspor,1992,On Numara,Türkiye
957482,Maksut Ünlü,Pendikspor,1992,Sol Kanat,Türkiye
879674,Yavuz Okyar,Pendikspor,1992,Santrafor,Türkiye
624775,Halim Demir,Pendikspor,1993,Orta Saha,Türkiye
29681,Necdet Sekmen,Pendikspor,1993,Orta Saha Sol,Türkiye
1555605,Cenk Aklem,Pendikspor,1993,On Numara,Türkiye
1551973,Aydın Bayar,Pendikspor,1994,Defans,Türkiye
96541,Ahmet Murat Şengül,Pendikspor,1994,Stoper,Türkiye
29683,Recep Uçar,Pendikspor,1994,Sağ Bek,Türkiye
624775,Halim Demir,Pendikspor,1994,Orta Saha,Türkiye
1204729,Zafer Kılıçkan,Pendikspor,1994,Orta Saha,Türkiye
1555605,Cenk Aklem,Pendikspor,1994,On Numara,Türkiye
1551973,Aydın Bayar,Pendikspor,1995,Defans,Türkiye
96541,Ahmet Murat Şengül,Pendikspor,1995,Stoper,Türkiye
29683,Recep Uçar,Pendikspor,1995,Sağ Bek,Türkiye
624775,Halim Demir,Pendikspor,1995,Orta Saha,Türkiye
