OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
8016,Vítor Baía,Porto,1990,Kaleci,Portekiz
86146,Jorge Silva,Porto,1990,Kaleci,Portekiz
571450,Carlos Padrão,Porto,1990,Kaleci,Portekiz
676819,Miguel Ângelo,Porto,1990,Kaleci,Portekiz
5831,Fernando Couto,Porto,1990,Stoper,Portekiz
62619,Aloísio,Porto,1990,Stoper,Brezilya
177948,Paulo Pereira,Porto,1990,Stoper,Brezilya
179897,Geraldão,Porto,1990,Stoper,Brezilya
102590,Branco,Porto,1990,Sol Bek,Brezilya
180703,Morgado,Porto,1990,Sol Bek,Portekiz
183290,Lubomir Vlk,Porto,1990,Sol Bek,Çek Cumhuriyeti
106937,João Pinto,Porto,1990,Sağ Bek,Portekiz
117240,Bandeirinha,Porto,1990,Sağ Bek,Portekiz
229549,André,Porto,1990,Ön Libero,Portekiz
373489,Tavares,Porto,1990,Ön Libero,Portekiz
720254,Cao,Porto,1990,Ön Libero,Portekiz
959240,Toni,Porto,1990,Orta Saha,Portekiz
14122,Bino,Porto,1990,Merkez Orta Saha,Portekiz
106935,Semedo,Porto,1990,Merkez Orta Saha,Portekiz
180629,Kiki,Porto,1990,On Numara,Portekiz
257289,Abílio,Porto,1990,On Numara,Portekiz
17167,Emil Kostadinov,Porto,1990,Sağ Kanat,Bulgaristan
104981,Jorge Couto,Porto,1990,Sağ Kanat,Portekiz
106908,Jaime Magalhães,Porto,1990,Sağ Kanat,Portekiz
92085,Domingos Paciência,Porto,1990,Santrafor,Portekiz
117747,Rabah Madjer,Porto,1990,Santrafor,Cezayir
135738,Baltazar,Porto,1990,Santrafor,Brezilya
179892,Stéphane Paille,Porto,1990,Santrafor,Fransa
180633,Jorge Plácido,Porto,1990,Santrafor,Portekiz
8016,Vítor Baía,Porto,1991,Kaleci,Portekiz
86146,Jorge Silva,Porto,1991,Kaleci,Portekiz
183287,Valente,Porto,1991,Kaleci,Portekiz
571450,Carlos Padrão,Porto,1991,Kaleci,Portekiz
5831,Fernando Couto,Porto,1991,Stoper,Portekiz
62619,Aloísio,Porto,1991,Stoper,Brezilya
173741,Zé Carlos,Porto,1991,Stoper,Brezilya
177948,Paulo Pereira,Porto,1991,Stoper,Brezilya
179897,Geraldão,Porto,1991,Stoper,Brezilya
180703,Morgado,Porto,1991,Sol Bek,Portekiz
183290,Lubomir Vlk,Porto,1991,Sol Bek,Çek Cumhuriyeti
25154,Neves,Porto,1991,Sağ Bek,Portekiz
106937,João Pinto,Porto,1991,Sağ Bek,Portekiz
117240,Bandeirinha,Porto,1991,Sağ Bek,Portekiz
229549,André,Porto,1991,Ön Libero,Portekiz
106930,Rui Filipe,Porto,1991,Merkez Orta Saha,Portekiz
106935,Semedo,Porto,1991,Merkez Orta Saha,Portekiz
183280,Antônio Carlos,Porto,1991,Merkez Orta Saha,Brezilya
106932,Ion Timofte,Porto,1991,On Numara,Romanya
180629,Kiki,Porto,1991,On Numara,Portekiz
17351,António Folha,Porto,1991,Sol Kanat,Portekiz
17167,Emil Kostadinov,Porto,1991,Sağ Kanat,Bulgaristan
104981,Jorge Couto,Porto,1991,Sağ Kanat,Portekiz
106908,Jaime Magalhães,Porto,1991,Sağ Kanat,Portekiz
183279,Tozé,Porto,1991,Sağ Kanat,Portekiz
1316654,Ricardo Oliveira,Porto,1991,Sağ Kanat,Portekiz
92085,Domingos Paciência,Porto,1991,Santrafor,Portekiz
102346,Petar Mihtarski,Porto,1991,Santrafor,Bulgaristan
183289,Paulinho McLaren,Porto,1991,Santrafor,Brezilya
256918,Toni,Porto,1991,Santrafor,Portekiz
503230,Jorge Andrade,Porto,1991,Santrafor,Brezilya
86146,Jorge Silva,Porto,1992,Kaleci,Portekiz
183287,Valente,Porto,1992,Kaleci,Portekiz
8016,Vítor Baía,Porto,1992,Kaleci,Portekiz
9810,Jorge Costa,Porto,1992,Stoper,Portekiz
173741,Zé Carlos,Porto,1992,Stoper,Brezilya
62619,Aloísio,Porto,1992,Stoper,Brezilya
5831,Fernando Couto,Porto,1992,Stoper,Portekiz
183290,Lubomir Vlk,Porto,1992,Sol Bek,Çek Cumhuriyeti
13820,Rui Jorge,Porto,1992,Sol Bek,Portekiz
25154,Neves,Porto,1992,Sağ Bek,Portekiz
117240,Bandeirinha,Porto,1992,Sağ Bek,Portekiz
106937,João Pinto,Porto,1992,Sağ Bek,Portekiz
33318,Paulinho Santos,Porto,1992,Ön Libero,Portekiz
229549,André,Porto,1992,Ön Libero,Portekiz
106930,Rui Filipe,Porto,1992,Merkez Orta Saha,Portekiz
14122,Bino,Porto,1992,Merkez Orta Saha,Portekiz
106935,Semedo,Porto,1992,Merkez Orta Saha,Portekiz
183280,Antônio Carlos,Porto,1992,Merkez Orta Saha,Brezilya
106932,Ion Timofte,Porto,1992,On Numara,Romanya
17167,Emil Kostadinov,Porto,1992,Sağ Kanat,Bulgaristan
104981,Jorge Couto,Porto,1992,Sağ Kanat,Portekiz
106908,Jaime Magalhães,Porto,1992,Sağ Kanat,Portekiz
183279,Tozé,Porto,1992,Sağ Kanat,Portekiz
92085,Domingos Paciência,Porto,1992,Santrafor,Portekiz
