OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
116737,Nery Pumpido,Real Betis,1990,Kaleci,Arjantin
276657,José Trujillo,Real Betis,1990,Kaleci,İspanya
359166,Luis Miguel Fernández,Real Betis,1990,Kaleci,İspanya
757559,Isidoro Cabrera,Real Betis,1990,Kaleci,İspanya
91918,Trifon Ivanov,Real Betis,1990,Libero,Bulgaristan
154907,Rubén Bilbao,Real Betis,1990,Defans,İspanya
216688,Antonio León,Real Betis,1990,Defans,İspanya
243933,Miguel Ángel,Real Betis,1990,Defans,İspanya
453992,José Bravo,Real Betis,1990,Defans,İspanya
44018,Juan Merino,Real Betis,1990,Stoper,İspanya
254013,Juan Antonio Ureña,Real Betis,1990,Stoper,İspanya
276645,Julio García,Real Betis,1990,Stoper,İspanya
359169,Antonio Fernando,Real Betis,1990,Stoper,İspanya
359170,Miguel Ángel Sánchez,Real Betis,1990,Stoper,İspanya
277036,Rodolfo Dapena,Real Betis,1990,Sol Bek,İspanya
1353367,Abel Carmona,Real Betis,1990,Sağ Bek,İspanya
223476,José Perdomo,Real Betis,1990,Ön Libero,Uruguay
275659,Recha,Real Betis,1990,Orta Saha,İspanya
275661,Luis Miguel Gail,Real Betis,1990,Ön Libero,İspanya
314817,Jordi Vinyals,Real Betis,1990,Orta Saha,İspanya
359172,José Manuel Monsalvete,Real Betis,1990,Orta Saha,İspanya
468114,Antonio Noria,Real Betis,1990,Orta Saha,İspanya
508604,José Torres,Real Betis,1990,Orta Saha,İspanya
106960,Michal Bilek,Real Betis,1990,Orta Saha Sol,Çek Cumhuriyeti
258846,Chano,Real Betis,1990,On Numara,İspanya
8066,Ángel Cuéllar,Real Betis,1990,Sol Kanat,İspanya
229760,José Luis Rodríguez,Real Betis,1990,Sol Kanat,Arjantin
253946,José Luis Loreto,Real Betis,1990,Santrafor,İspanya
275665,Antonio Valentín,Real Betis,1990,Forvet,İspanya
359165,Pepe Mel,Real Betis,1990,Forvet,İspanya
359173,Francisco Zafra,Real Betis,1990,Forvet,İspanya
454491,Antonio Del Pino,Real Betis,1990,Forvet,İspanya
276657,José Trujillo,Real Betis,1991,Kaleci,İspanya
359166,Luis Miguel Fernández,Real Betis,1991,Kaleci,İspanya
757559,Isidoro Cabrera,Real Betis,1991,Kaleci,İspanya
216688,Antonio León,Real Betis,1991,Defans,İspanya
243933,Miguel Ángel,Real Betis,1991,Defans,İspanya
44018,Juan Merino,Real Betis,1991,Stoper,İspanya
71320,Juanlu Bernal,Real Betis,1991,Stoper,İspanya
254013,Juan Antonio Ureña,Real Betis,1991,Stoper,İspanya
276645,Julio García,Real Betis,1991,Stoper,İspanya
359169,Antonio Fernando,Real Betis,1991,Stoper,İspanya
359170,Miguel Ángel Sánchez,Real Betis,1991,Stoper,İspanya
277036,Rodolfo Dapena,Real Betis,1991,Sol Bek,İspanya
582151,Rodolfo José Garrido,Real Betis,1991,Sol Bek,İspanya
7657,Juanjo Cañas,Real Betis,1991,Ön Libero,İspanya
275659,Recha,Real Betis,1991,Orta Saha,İspanya
359172,José Manuel Monsalvete,Real Betis,1991,Orta Saha,İspanya
7817,Luis Márquez,Real Betis,1991,Orta Saha Sağ,İspanya
106960,Michal Bilek,Real Betis,1991,Orta Saha Sol,Çek Cumhuriyeti
273576,Gabino Rodríguez,Real Betis,1991,On Numara,İspanya
8066,Ángel Cuéllar,Real Betis,1991,Sol Kanat,İspanya
180458,Roman Kukleta,Real Betis,1991,Santrafor,Çek Cumhuriyeti
218078,Alois Grussmann,Real Betis,1991,Forvet,Çek Cumhuriyeti
253946,José Luis Loreto,Real Betis,1991,Santrafor,İspanya
275665,Antonio Valentín,Real Betis,1991,Forvet,İspanya
359165,Pepe Mel,Real Betis,1991,Forvet,İspanya
359173,Francisco Zafra,Real Betis,1991,Forvet,İspanya
253933,José Luis Diezma,Real Betis,1992,Kaleci,İspanya
1086472,José Requena,Real Betis,1992,Kaleci,İspanya
91918,Trifon Ivanov,Real Betis,1992,Libero,Bulgaristan
44018,Juan Merino,Real Betis,1992,Stoper,İspanya
71320,Juanlu Bernal,Real Betis,1992,Stoper,İspanya
150329,Roberto Ríos,Real Betis,1992,Stoper,İspanya
254013,Juan Antonio Ureña,Real Betis,1992,Stoper,İspanya
276645,Julio García,Real Betis,1992,Stoper,İspanya
305209,Antonio Monreal,Real Betis,1992,Stoper,İspanya
117603,Rafael Gordillo,Real Betis,1992,Sol Bek,İspanya
582151,Rodolfo José Garrido,Real Betis,1992,Sol Bek,İspanya
7657,Juanjo Cañas,Real Betis,1992,Ön Libero,İspanya
67111,Andrey Kobelev,Real Betis,1992,Merkez Orta Saha,Rusya
102007,Tab Ramos,Real Betis,1992,Merkez Orta Saha,Amerika Birleşik Devletleri
7817,Luis Márquez,Real Betis,1992,Orta Saha Sağ,İspanya
291360,Luis Merino,Real Betis,1992,Orta Saha Sağ,İspanya
273576,Gabino Rodríguez,Real Betis,1992,On Numara,İspanya
8066,Ángel Cuéllar,Real Betis,1992,Sol Kanat,İspanya
180458,Roman Kukleta,Real Betis,1992,Santrafor,Çek Cumhuriyeti
88139,Vali Qasymov,Real Betis,1992,Santrafor,Azerbaycan
133926,Zvezdan Ljubobratovic,Real Betis,1992,Santrafor,Hırvatistan
253946,José Luis Loreto,Real Betis,1992,Santrafor,İspanya
359165,Pepe Mel,Real Betis,1992,Forvet,İspanya
359173,Francisco Zafra,Real Betis,1992,Forvet,İspanya
200765,Javier Yubero,Real Betis,1993,Kaleci,İspanya
253933,José Luis Diezma,Real Betis,1993,Kaleci,İspanya
1086472,José Requena,Real Betis,1993,Kaleci,İspanya
91918,Trifon Ivanov,Real Betis,1993,Libero,Bulgaristan
44018,Juan Merino,Real Betis,1993,Stoper,İspanya
71320,Juanlu Bernal,Real Betis,1993,Stoper,İspanya
150329,Roberto Ríos,Real Betis,1993,Stoper,İspanya
154887,Txirri,Real Betis,1993,Stoper,İspanya
184345,Tomás Olías,Real Betis,1993,Stoper,İspanya
254013,Juan Antonio Ureña,Real Betis,1993,Stoper,İspanya
305209,Antonio Monreal,Real Betis,1993,Stoper,İspanya
117603,Rafael Gordillo,Real Betis,1993,Sol Bek,İspanya
7657,Juanjo Cañas,Real Betis,1993,Ön Libero,İspanya
355970,Julio Soler,Real Betis,1993,Orta Saha,İspanya
67111,Andrey Kobelev,Real Betis,1993,Merkez Orta Saha,Rusya
102007,Tab Ramos,Real Betis,1993,Merkez Orta Saha,Amerika Birleşik Devletleri
253525,Alexis Trujillo,Real Betis,1993,Merkez Orta Saha,İspanya
273549,Mágico Díaz,Real Betis,1993,Merkez Orta Saha,İspanya
7817,Luis Márquez,Real Betis,1993,Orta Saha Sağ,İspanya
291360,Luis Merino,Real Betis,1993,Orta Saha Sağ,İspanya
8066,Ángel Cuéllar,Real Betis,1993,Sol Kanat,İspanya
253530,Juanito,Real Betis,1993,Sağ Kanat,İspanya
84557,Johnny Ekström,Real Betis,1993,Santrafor,İsveç
88139,Vali Qasymov,Real Betis,1993,Santrafor,Azerbaycan
304008,Daniel Aquino,Real Betis,1993,Santrafor,Arjantin
437315,Jorge Comas,Real Betis,1993,Forvet,Arjantin
738941,Andrés Gonzales,Real Betis,1993,Santrafor,Peru
766006,Benito Romero,Real Betis,1993,Santrafor,İspanya
180156,Pedro Jaro,Real Betis,1994,Kaleci,İspanya
253933,José Luis Diezma,Real Betis,1994,Kaleci,İspanya
311916,Quico,Real Betis,1994,Defans,İspanya
44018,Juan Merino,Real Betis,1994,Stoper,İspanya
150329,Roberto Ríos,Real Betis,1994,Stoper,İspanya
167530,Risto Vidakovic,Real Betis,1994,Stoper,Sırbistan
184345,Tomás Olías,Real Betis,1994,Stoper,İspanya
254013,Juan Antonio Ureña,Real Betis,1994,Stoper,İspanya
117603,Rafael Gordillo,Real Betis,1994,Sol Bek,İspanya
187812,Josete,Real Betis,1994,Sol Bek,İspanya
184347,Jaime Quesada,Real Betis,1994,Sağ Bek,İspanya
7657,Juanjo Cañas,Real Betis,1994,Ön Libero,İspanya
179915,Vlada Stosic,Real Betis,1994,Ön Libero,Sırbistan
304045,José Menéndez,Real Betis,1994,Orta Saha,İspanya
355970,Julio Soler,Real Betis,1994,Orta Saha,İspanya
67111,Andrey Kobelev,Real Betis,1994,Merkez Orta Saha,Rusya
253525,Alexis Trujillo,Real Betis,1994,Merkez Orta Saha,İspanya
7817,Luis Márquez,Real Betis,1994,Orta Saha Sağ,İspanya
8066,Ángel Cuéllar,Real Betis,1994,Sol Kanat,İspanya
20812,Wojciech Kowalczyk,Real Betis,1994,Santrafor,Polonya
88139,Vali Qasymov,Real Betis,1994,Santrafor,Azerbaycan
253212,Juan Sabas,Real Betis,1994,Santrafor,İspanya
304008,Daniel Aquino,Real Betis,1994,Santrafor,Arjantin
253933,José Luis Diezma,Real Betis,1995,Kaleci,İspanya
180156,Pedro Jaro,Real Betis,1995,Kaleci,İspanya
311916,Quico,Real Betis,1995,Defans,İspanya
254013,Juan Antonio Ureña,Real Betis,1995,Stoper,İspanya
44018,Juan Merino,Real Betis,1995,Stoper,İspanya
167530,Risto Vidakovic,Real Betis,1995,Stoper,Sırbistan
184345,Tomás Olías,Real Betis,1995,Stoper,İspanya
150329,Roberto Ríos,Real Betis,1995,Stoper,İspanya
29556,Robert Jarni,Real Betis,1995,Sol Bek,Hırvatistan
187812,Josete,Real Betis,1995,Sol Bek,İspanya
175960,Javi Sánchez Jara,Real Betis,1995,Sağ Bek,İspanya
184347,Jaime Quesada,Real Betis,1995,Sağ Bek,İspanya
304045,José Menéndez,Real Betis,1995,Orta Saha,İspanya
179915,Vlada Stosic,Real Betis,1995,Ön Libero,Sırbistan
7657,Juanjo Cañas,Real Betis,1995,Ön Libero,İspanya
29162,Óscar Arpón,Real Betis,1995,Merkez Orta Saha,İspanya
253525,Alexis Trujillo,Real Betis,1995,Merkez Orta Saha,İspanya
7817,Luis Márquez,Real Betis,1995,Orta Saha Sağ,İspanya
154592,José Mari,Real Betis,1995,On Numara,İspanya
20812,Wojciech Kowalczyk,Real Betis,1995,Santrafor,Polonya
7933,Alfonso,Real Betis,1995,Santrafor,İspanya
184330,Pier,Real Betis,1995,Santrafor,İspanya
253212,Juan Sabas,Real Betis,1995,Santrafor,İspanya
180156,Pedro Jaro,Real Betis,1996,Kaleci,İspanya
7644,Toni Prats,Real Betis,1996,Kaleci,İspanya
311916,Quico,Real Betis,1996,Defans,İspanya
254013,Juan Antonio Ureña,Real Betis,1996,Stoper,İspanya
44018,Juan Merino,Real Betis,1996,Stoper,İspanya
150329,Roberto Ríos,Real Betis,1996,Stoper,İspanya
184345,Tomás Olías,Real Betis,1996,Stoper,İspanya
167530,Risto Vidakovic,Real Betis,1996,Stoper,Sırbistan
29556,Robert Jarni,Real Betis,1996,Sol Bek,Hırvatistan
7648,Luis Fernández,Real Betis,1996,Sol Bek,İspanya
187812,Josete,Real Betis,1996,Sol Bek,İspanya
184347,Jaime Quesada,Real Betis,1996,Sağ Bek,İspanya
7702,Juan Luis Redondo,Real Betis,1996,Sağ Bek,İspanya
7652,Fernando Varela,Real Betis,1996,Sağ Bek,İspanya
179915,Vlada Stosic,Real Betis,1996,Ön Libero,Sırbistan
7657,Juanjo Cañas,Real Betis,1996,Ön Libero,İspanya
10301,Albert Nadj,Real Betis,1996,Ön Libero,Sırbistan
253525,Alexis Trujillo,Real Betis,1996,Merkez Orta Saha,İspanya
703,Nenad Bjelica,Real Betis,1996,Merkez Orta Saha,Hırvatistan
7817,Luis Márquez,Real Betis,1996,Orta Saha Sağ,İspanya
7658,Capi,Real Betis,1996,On Numara,İspanya
13241,Finidi George,Real Betis,1996,Sağ Kanat,Nijerya
7933,Alfonso,Real Betis,1996,Santrafor,İspanya
184330,Pier,Real Betis,1996,Santrafor,İspanya
20812,Wojciech Kowalczyk,Real Betis,1996,Santrafor,Polonya
253212,Juan Sabas,Real Betis,1996,Santrafor,İspanya
7644,Toni Prats,Real Betis,1997,Kaleci,İspanya
51543,Joaquín Valerio,Real Betis,1997,Kaleci,İspanya
7537,José Manuel Pinto,Real Betis,1997,Kaleci,İspanya
254013,Juan Antonio Ureña,Real Betis,1997,Stoper,İspanya
44018,Juan Merino,Real Betis,1997,Stoper,İspanya
173139,Roberto Solozábal,Real Betis,1997,Stoper,İspanya
184345,Tomás Olías,Real Betis,1997,Stoper,İspanya
167530,Risto Vidakovic,Real Betis,1997,Stoper,Sırbistan
29556,Robert Jarni,Real Betis,1997,Sol Bek,Hırvatistan
7648,Luis Fernández,Real Betis,1997,Sol Bek,İspanya
187812,Josete,Real Betis,1997,Sol Bek,İspanya
29183,Jorge Otero,Real Betis,1997,Sağ Bek,İspanya
184347,Jaime Quesada,Real Betis,1997,Sağ Bek,İspanya
7657,Juanjo Cañas,Real Betis,1997,Ön Libero,İspanya
10301,Albert Nadj,Real Betis,1997,Ön Libero,Sırbistan
253525,Alexis Trujillo,Real Betis,1997,Merkez Orta Saha,İspanya
703,Nenad Bjelica,Real Betis,1997,Merkez Orta Saha,Hırvatistan
7817,Luis Márquez,Real Betis,1997,Orta Saha Sağ,İspanya
2757,Fernando,Real Betis,1997,Orta Saha Sol,İspanya
8066,Ángel Cuéllar,Real Betis,1997,Sol Kanat,İspanya
13241,Finidi George,Real Betis,1997,Sağ Kanat,Nijerya
29143,Oli,Real Betis,1997,Santrafor,İspanya
7933,Alfonso,Real Betis,1997,Santrafor,İspanya
