OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
101570,Julen Lopetegui,Real Madrid,1990,Kaleci,İspanya
118352,Paco Buyo,Real Madrid,1990,Kaleci,İspanya
180156,Pedro Jaro,Real Madrid,1990,Kaleci,İspanya
7513,Fernando Hierro,Real Madrid,1990,Stoper,İspanya
102702,Predrag Spasic,Real Madrid,1990,Stoper,Sırbistan
120627,Manolo Sanchís,Real Madrid,1990,Stoper,İspanya
141265,Miguel Tendillo,Real Madrid,1990,Stoper,İspanya
117603,Rafael Gordillo,Real Madrid,1990,Sol Bek,İspanya
171914,Víctor Torres Mestre,Real Madrid,1990,Sol Bek,İspanya
180073,Chucho Solana,Real Madrid,1990,Sol Bek,İspanya
117606,Chendo,Real Madrid,1990,Sağ Bek,İspanya
180072,Juanjo Maqueda,Real Madrid,1990,Orta Saha,İspanya
147796,Luis Milla,Real Madrid,1990,Merkez Orta Saha,İspanya
180076,Santi Aragón,Real Madrid,1990,Merkez Orta Saha,İspanya
117613,Míchel,Real Madrid,1990,Orta Saha Sağ,İspanya
180075,Adolfo Aldana,Real Madrid,1990,Orta Saha Sağ,İspanya
180079,Joaquín Parra,Real Madrid,1990,Orta Saha Sağ,İspanya
180078,Javier Villarroya,Real Madrid,1990,Orta Saha Sol,İspanya
7939,Gheorghe Hagi,Real Madrid,1990,On Numara,Romanya
121096,Paco Llorente,Real Madrid,1990,Sağ Kanat,İspanya
3856,Juan Esnáider,Real Madrid,1990,Santrafor,Arjantin
7641,Ismael Urzaiz,Real Madrid,1990,Santrafor,İspanya
7933,Alfonso,Real Madrid,1990,Santrafor,İspanya
84528,Hugo Sánchez,Real Madrid,1990,Santrafor,Meksika
117598,Emilio Butragueño,Real Madrid,1990,Santrafor,İspanya
180080,Sebastián Losada,Real Madrid,1990,Forvet,İspanya
118352,Paco Buyo,Real Madrid,1991,Kaleci,İspanya
180156,Pedro Jaro,Real Madrid,1991,Kaleci,İspanya
7513,Fernando Hierro,Real Madrid,1991,Stoper,İspanya
102579,Ricardo Rocha,Real Madrid,1991,Stoper,Brezilya
120627,Manolo Sanchís,Real Madrid,1991,Stoper,İspanya
141265,Miguel Tendillo,Real Madrid,1991,Stoper,İspanya
117603,Rafael Gordillo,Real Madrid,1991,Sol Bek,İspanya
154617,Mikel Lasa,Real Madrid,1991,Sol Bek,İspanya
117606,Chendo,Real Madrid,1991,Sağ Bek,İspanya
180072,Juanjo Maqueda,Real Madrid,1991,Orta Saha,İspanya
8013,Robert Prosinecki,Real Madrid,1991,Merkez Orta Saha,Hırvatistan
147796,Luis Milla,Real Madrid,1991,Merkez Orta Saha,İspanya
7601,Luis Enrique,Real Madrid,1991,Orta Saha Sağ,İspanya
117613,Míchel,Real Madrid,1991,Orta Saha Sağ,İspanya
180075,Adolfo Aldana,Real Madrid,1991,Orta Saha Sağ,İspanya
180078,Javier Villarroya,Real Madrid,1991,Orta Saha Sol,İspanya
7939,Gheorghe Hagi,Real Madrid,1991,On Numara,Romanya
121096,Paco Llorente,Real Madrid,1991,Sağ Kanat,İspanya
3856,Juan Esnáider,Real Madrid,1991,Santrafor,Arjantin
7933,Alfonso,Real Madrid,1991,Santrafor,İspanya
84528,Hugo Sánchez,Real Madrid,1991,Santrafor,Meksika
117598,Emilio Butragueño,Real Madrid,1991,Santrafor,İspanya
