OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
200746,José González,Real Sociedad,1990,Kaleci,İspanya
200741,Iñaki Vergara,Real Sociedad,1990,Kaleci,İspanya
200766,Iñaki Zabala,Real Sociedad,1990,Defans,İspanya
145535,Jon Andoni Larrañaga,Real Sociedad,1990,Libero,İspanya
200740,Javier Bengoetxea,Real Sociedad,1990,Defans,İspanya
200756,Santi Martín,Real Sociedad,1990,Defans,İspanya
159962,Alberto Gorriz,Real Sociedad,1990,Stoper,İspanya
159961,Agustín Gajate,Real Sociedad,1990,Stoper,İspanya
200743,Luis Dadíe,Real Sociedad,1990,Stoper,İspanya
200748,Xabier Guruzeta,Real Sociedad,1990,Stoper,İspanya
7779,Mikel Roteta,Real Sociedad,1990,Stoper,İspanya
154617,Mikel Lasa,Real Sociedad,1990,Sol Bek,İspanya
200764,Jokin Uria,Real Sociedad,1990,Sol Bek,İspanya
187799,Miguel Fuentes,Real Sociedad,1990,Sağ Bek,İspanya
200734,Imanol Alguacil,Real Sociedad,1990,Sağ Bek,İspanya
200730,José Luis Agirre,Real Sociedad,1990,Orta Saha,İspanya
200757,Carlos Martínez,Real Sociedad,1990,Orta Saha,İspanya
200735,Iñaki Alonso Ormazabal,Real Sociedad,1990,Orta Saha,İspanya
109495,Kevin Richardson,Real Sociedad,1990,Merkez Orta Saha,İngiltere
200754,José Mari Lumbreras,Real Sociedad,1990,Merkez Orta Saha,İspanya
200738,Dalian Atkinson,Real Sociedad,1990,Santrafor,İngiltere
102486,John Aldridge,Real Sociedad,1990,Santrafor,İrlanda
200758,Juan Antonio Mentxaka,Real Sociedad,1990,Forvet,İspanya
200761,Luis Pérez,Real Sociedad,1990,Santrafor,İspanya
200753,Mikel Loinaz,Real Sociedad,1990,Santrafor,İspanya
200739,José Javier Belloso,Real Sociedad,1990,Forvet,İspanya
200746,José González,Real Sociedad,1991,Kaleci,İspanya
200749,Patxi Hernández,Real Sociedad,1991,Kaleci,İspanya
200765,Javier Yubero,Real Sociedad,1991,Kaleci,İspanya
145535,Jon Andoni Larrañaga,Real Sociedad,1991,Libero,İspanya
159962,Alberto Gorriz,Real Sociedad,1991,Stoper,İspanya
200731,Iñaki Alaba,Real Sociedad,1991,Stoper,İspanya
159961,Agustín Gajate,Real Sociedad,1991,Stoper,İspanya
200748,Xabier Guruzeta,Real Sociedad,1991,Stoper,İspanya
7465,Jon Andoni Pikabea,Real Sociedad,1991,Stoper,İspanya
200764,Jokin Uria,Real Sociedad,1991,Sol Bek,İspanya
200752,Estéfano Izaguirre,Real Sociedad,1991,Sol Bek,İspanya
187799,Miguel Fuentes,Real Sociedad,1991,Sağ Bek,İspanya
200734,Imanol Alguacil,Real Sociedad,1991,Sağ Bek,İspanya
103755,Oceano,Real Sociedad,1991,Ön Libero,Portekiz
200755,Carlos Xavier,Real Sociedad,1991,Ön Libero,Portekiz
150282,Andoni Imaz,Real Sociedad,1991,Ön Libero,İspanya
200730,José Luis Agirre,Real Sociedad,1991,Orta Saha,İspanya
200757,Carlos Martínez,Real Sociedad,1991,Orta Saha,İspanya
200754,José Mari Lumbreras,Real Sociedad,1991,Merkez Orta Saha,İspanya
7627,Bittor Alkiza,Real Sociedad,1991,Orta Saha Sol,İspanya
200738,Dalian Atkinson,Real Sociedad,1991,Santrafor,İngiltere
567768,Joseba Irazusta,Real Sociedad,1991,Forvet,İspanya
8012,Meho Kodro,Real Sociedad,1991,Santrafor,Bosna-Hersek
200761,Luis Pérez,Real Sociedad,1991,Santrafor,İspanya
200753,Mikel Loinaz,Real Sociedad,1991,Santrafor,İspanya
200739,José Javier Belloso,Real Sociedad,1991,Forvet,İspanya
200765,Javier Yubero,Real Sociedad,1992,Kaleci,İspanya
7457,Alberto López,Real Sociedad,1992,Kaleci,İspanya
200749,Patxi Hernández,Real Sociedad,1992,Kaleci,İspanya
145535,Jon Andoni Larrañaga,Real Sociedad,1992,Libero,İspanya
200766,Iñaki Zabala,Real Sociedad,1992,Defans,İspanya
7465,Jon Andoni Pikabea,Real Sociedad,1992,Stoper,İspanya
200731,Iñaki Alaba,Real Sociedad,1992,Stoper,İspanya
200748,Xabier Guruzeta,Real Sociedad,1992,Stoper,İspanya
159962,Alberto Gorriz,Real Sociedad,1992,Stoper,İspanya
200764,Jokin Uria,Real Sociedad,1992,Sol Bek,İspanya
200752,Estéfano Izaguirre,Real Sociedad,1992,Sol Bek,İspanya
7460,Agustín Aranzabal,Real Sociedad,1992,Sol Bek,İspanya
200734,Imanol Alguacil,Real Sociedad,1992,Sağ Bek,İspanya
187799,Miguel Fuentes,Real Sociedad,1992,Sağ Bek,İspanya
103755,Oceano,Real Sociedad,1992,Ön Libero,Portekiz
200755,Carlos Xavier,Real Sociedad,1992,Ön Libero,Portekiz
150282,Andoni Imaz,Real Sociedad,1992,Ön Libero,İspanya
200730,José Luis Agirre,Real Sociedad,1992,Orta Saha,İspanya
200757,Carlos Martínez,Real Sociedad,1992,Orta Saha,İspanya
200754,José Mari Lumbreras,Real Sociedad,1992,Merkez Orta Saha,İspanya
7627,Bittor Alkiza,Real Sociedad,1992,Orta Saha Sol,İspanya
20716,Iñigo Idiakez,Real Sociedad,1992,On Numara,İspanya
8012,Meho Kodro,Real Sociedad,1992,Santrafor,Bosna-Hersek
