OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
243980,Pierrick Hiard,Rennes,1990,Kaleci,Fransa
467161,Franck Mantaux,Rennes,1990,Kaleci,Fransa
510979,Alain Noël,Rennes,1990,Defans,Fransa
150758,Arnold Oosterveer,Rennes,1990,Stoper,Hollanda
173677,François Denis,Rennes,1990,Stoper,Fransa
467160,Cyrille L'Helgoualch,Rennes,1990,Stoper,Fransa
480666,Michel Sorin,Rennes,1990,Stoper,Fransa
480436,Jean-Marc Miton,Rennes,1990,Sol Bek,Fransa
480615,Yannick Guillochon,Rennes,1990,Sol Bek,Fransa
486346,Christophe Fauvel,Rennes,1990,Sol Bek,Fransa
173561,Serge Le Dizet,Rennes,1990,Sağ Bek,Fransa
480664,Jocelyn Rico,Rennes,1990,Sağ Bek,Fransa
486344,Arnaud Le Lann,Rennes,1990,Sağ Bek,Fransa
553903,Eric Martin,Rennes,1990,Sağ Bek,Fransa
151317,Sylvain Ripoll,Rennes,1990,Ön Libero,Fransa
152787,Laurent Huard,Rennes,1990,Ön Libero,Fransa
168005,Bob Sénoussi,Rennes,1990,Ön Libero,Cad
174038,Frédéric Guimard,Rennes,1990,Orta Saha,Fransa
378621,Jacky Paillard,Rennes,1990,Ön Libero,Fransa
480432,Thierry Goudet,Rennes,1990,Ön Libero,Fransa
551312,Sébastien Chauvel,Rennes,1990,Orta Saha,Fransa
492456,Régis Gorguès,Rennes,1990,Merkez Orta Saha,Fransa
466618,Jean-Luc Ribar,Rennes,1990,On Numara,Fransa
298922,Patrick Delamontagne,Rennes,1990,On Numara,Fransa
102614,François Omam-Biyik,Rennes,1990,Santrafor,Kamerun
168012,Moussa Traoré,Rennes,1990,Forvet,Fildişi Sahili
174022,Laurent Delamontagne,Rennes,1990,Santrafor,Fransa
243980,Pierrick Hiard,Rennes,1991,Kaleci,Fransa
480443,Pascal Rousseau,Rennes,1991,Kaleci,Fransa
510979,Alain Noël,Rennes,1991,Defans,Fransa
150758,Arnold Oosterveer,Rennes,1991,Stoper,Hollanda
173677,François Denis,Rennes,1991,Stoper,Fransa
467160,Cyrille L'Helgoualch,Rennes,1991,Stoper,Fransa
480666,Michel Sorin,Rennes,1991,Stoper,Fransa
486346,Christophe Fauvel,Rennes,1991,Sol Bek,Fransa
173561,Serge Le Dizet,Rennes,1991,Sağ Bek,Fransa
480664,Jocelyn Rico,Rennes,1991,Sağ Bek,Fransa
486344,Arnaud Le Lann,Rennes,1991,Sağ Bek,Fransa
151317,Sylvain Ripoll,Rennes,1991,Ön Libero,Fransa
152787,Laurent Huard,Rennes,1991,Ön Libero,Fransa
168005,Bob Sénoussi,Rennes,1991,Ön Libero,Cad
481477,Jacky Colin,Rennes,1991,Orta Saha,Fransa
466618,Jean-Luc Ribar,Rennes,1991,On Numara,Fransa
5590,Jocelyn Gourvennec,Rennes,1991,On Numara,Fransa
84672,Kujtim Shala,Rennes,1991,On Numara,Hırvatistan
229181,Blaz Sliskovic,Rennes,1991,On Numara,Bosna-Hersek
135738,Baltazar,Rennes,1991,Santrafor,Brezilya
174022,Laurent Delamontagne,Rennes,1991,Santrafor,Fransa
480369,Thierry Turban,Rennes,1991,Forvet,Fransa
31757,Tony Heurtebis,Rennes,1992,Kaleci,Fransa
480443,Pascal Rousseau,Rennes,1992,Kaleci,Fransa
486308,Frédéric Cado,Rennes,1992,Kaleci,Fransa
486345,Jean-Marc Faham,Rennes,1992,Defans,Fransa
173677,François Denis,Rennes,1992,Stoper,Fransa
266657,Moïse Régina,Rennes,1992,Stoper,Fransa
467160,Cyrille L'Helgoualch,Rennes,1992,Stoper,Fransa
480666,Michel Sorin,Rennes,1992,Stoper,Fransa
486346,Christophe Fauvel,Rennes,1992,Sol Bek,Fransa
405711,Jean-Luc Vasseur,Rennes,1992,Sağ Bek,Fransa
480664,Jocelyn Rico,Rennes,1992,Sağ Bek,Fransa
486344,Arnaud Le Lann,Rennes,1992,Sağ Bek,Fransa
151317,Sylvain Ripoll,Rennes,1992,Ön Libero,Fransa
152787,Laurent Huard,Rennes,1992,Ön Libero,Fransa
481477,Jacky Colin,Rennes,1992,Orta Saha,Fransa
28315,Émerick Darbelet,Rennes,1992,Orta Saha Sol,Fransa
13244,Ulrich Le Pen,Rennes,1992,Orta Saha Sol,Fransa
466618,Jean-Luc Ribar,Rennes,1992,On Numara,Fransa
5590,Jocelyn Gourvennec,Rennes,1992,On Numara,Fransa
3188,Sylvain Wiltord,Rennes,1992,Forvet Arkası,Fransa
314952,Magid Musisi,Rennes,1992,Santrafor,Uganda
143107,Arthur Farh,Rennes,1992,Santrafor,Liberya
480369,Thierry Turban,Rennes,1992,Forvet,Fransa
480443,Pascal Rousseau,Rennes,1993,Kaleci,Fransa
486308,Frédéric Cado,Rennes,1993,Kaleci,Fransa
25333,Nikolay Iliev,Rennes,1993,Stoper,Bulgaristan
173677,François Denis,Rennes,1993,Stoper,Fransa
266657,Moïse Régina,Rennes,1993,Stoper,Fransa
467160,Cyrille L'Helgoualch,Rennes,1993,Stoper,Fransa
480666,Michel Sorin,Rennes,1993,Stoper,Fransa
84022,Patrick Guillou,Rennes,1993,Sol Bek,Fransa
405711,Jean-Luc Vasseur,Rennes,1993,Sağ Bek,Fransa
408379,Olivier Dall'Oglio,Rennes,1993,Sağ Bek,Fransa
33908,Frédéric Adam,Rennes,1993,Ön Libero,Fransa
151317,Sylvain Ripoll,Rennes,1993,Ön Libero,Fransa
152787,Laurent Huard,Rennes,1993,Ön Libero,Fransa
173620,Loïc Lambert,Rennes,1993,Ön Libero,Fransa
481477,Jacky Colin,Rennes,1993,Orta Saha,Fransa
551312,Sébastien Chauvel,Rennes,1993,Orta Saha,Fransa
28315,Émerick Darbelet,Rennes,1993,Orta Saha Sol,Fransa
13244,Ulrich Le Pen,Rennes,1993,Orta Saha Sol,Fransa
466618,Jean-Luc Ribar,Rennes,1993,On Numara,Fransa
5590,Jocelyn Gourvennec,Rennes,1993,On Numara,Fransa
3188,Sylvain Wiltord,Rennes,1993,Forvet Arkası,Fransa
314952,Magid Musisi,Rennes,1993,Santrafor,Uganda
3116,Pierre-Yves André,Rennes,1993,Santrafor,Fransa
173797,Bruno Roux,Rennes,1993,Santrafor,Fransa
12764,Gilles Rousset,Rennes,1994,Kaleci,Fransa
31757,Tony Heurtebis,Rennes,1994,Kaleci,Fransa
480443,Pascal Rousseau,Rennes,1994,Kaleci,Fransa
486308,Frédéric Cado,Rennes,1994,Kaleci,Fransa
17418,Patrice Carteron,Rennes,1994,Stoper,Fransa
25333,Nikolay Iliev,Rennes,1994,Stoper,Bulgaristan
158230,Jean-Pierre Cyprien,Rennes,1994,Stoper,Fransa
173677,François Denis,Rennes,1994,Stoper,Fransa
467160,Cyrille L'Helgoualch,Rennes,1994,Stoper,Fransa
480666,Michel Sorin,Rennes,1994,Stoper,Fransa
172122,Brian Jensen,Rennes,1994,Sol Bek,Danimarka
5694,Pascal Fugier,Rennes,1994,Sağ Bek,Fransa
18213,Fritz Emeran,Rennes,1994,Sağ Bek,Ruanda
152799,Régis Le Bris,Rennes,1994,Sağ Bek,Fransa
405711,Jean-Luc Vasseur,Rennes,1994,Sağ Bek,Fransa
408379,Olivier Dall'Oglio,Rennes,1994,Sağ Bek,Fransa
33908,Frédéric Adam,Rennes,1994,Ön Libero,Fransa
152787,Laurent Huard,Rennes,1994,Ön Libero,Fransa
160094,David Voisin,Rennes,1994,Orta Saha,Fransa
173620,Loïc Lambert,Rennes,1994,Ön Libero,Fransa
174458,Jean-Christophe Thomas,Rennes,1994,Ön Libero,Fransa
101906,Christophe Ohrel,Rennes,1994,Orta Saha Sağ,İsviçre
13244,Ulrich Le Pen,Rennes,1994,Orta Saha Sol,Fransa
466618,Jean-Luc Ribar,Rennes,1994,On Numara,Fransa
5590,Jocelyn Gourvennec,Rennes,1994,On Numara,Fransa
3188,Sylvain Wiltord,Rennes,1994,Forvet Arkası,Fransa
28342,Samuel Michel,Rennes,1994,Santrafor,Fransa
3116,Pierre-Yves André,Rennes,1994,Santrafor,Fransa
101904,Marco Grassi,Rennes,1994,Santrafor,İsviçre
168505,David Merdy,Rennes,1994,Forvet,Fransa
23943,Stéphane Le Garrec,Rennes,1995,Kaleci,Fransa
12764,Gilles Rousset,Rennes,1995,Kaleci,Fransa
14669,Ludovic Roy,Rennes,1995,Kaleci,Fransa
31757,Tony Heurtebis,Rennes,1995,Kaleci,Fransa
173623,Goran Pandurovic,Rennes,1995,Kaleci,Sırbistan
17418,Patrice Carteron,Rennes,1995,Stoper,Fransa
158230,Jean-Pierre Cyprien,Rennes,1995,Stoper,Fransa
173677,François Denis,Rennes,1995,Stoper,Fransa
3393,Mikaël Silvestre,Rennes,1995,Sol Bek,Fransa
172122,Brian Jensen,Rennes,1995,Sol Bek,Danimarka
5694,Pascal Fugier,Rennes,1995,Sağ Bek,Fransa
18213,Fritz Emeran,Rennes,1995,Sağ Bek,Ruanda
152799,Régis Le Bris,Rennes,1995,Sağ Bek,Fransa
408379,Olivier Dall'Oglio,Rennes,1995,Sağ Bek,Fransa
3904,Ousmane Dabo,Rennes,1995,Ön Libero,Fransa
152787,Laurent Huard,Rennes,1995,Ön Libero,Fransa
160094,David Voisin,Rennes,1995,Orta Saha,Fransa
173620,Loïc Lambert,Rennes,1995,Ön Libero,Fransa
174458,Jean-Christophe Thomas,Rennes,1995,Ön Libero,Fransa
408380,Gwenaël Corbin,Rennes,1995,Orta Saha,Fransa
13244,Ulrich Le Pen,Rennes,1995,Orta Saha Sol,Fransa
5514,Stéphane Ziani,Rennes,1995,On Numara,Fransa
3188,Sylvain Wiltord,Rennes,1995,Forvet Arkası,Fransa
5679,Benoît Le Bris,Rennes,1995,Forvet,Fransa
3116,Pierre-Yves André,Rennes,1995,Santrafor,Fransa
5382,Jean-Claude Darcheville,Rennes,1995,Santrafor,Fransiz Guyanasi
101904,Marco Grassi,Rennes,1995,Santrafor,İsviçre
168505,David Merdy,Rennes,1995,Forvet,Fransa
5659,Fabien Debec,Rennes,1996,Kaleci,Fransa
31757,Tony Heurtebis,Rennes,1996,Kaleci,Fransa
173623,Goran Pandurovic,Rennes,1996,Kaleci,Sırbistan
4152,Saliou Lassissi,Rennes,1996,Stoper,Fildişi Sahili
12711,Gary Smith,Rennes,1996,Stoper,İskoçya
17418,Patrice Carteron,Rennes,1996,Stoper,Fransa
46873,Bratislav Mijalkovic,Rennes,1996,Stoper,Sırbistan
48180,Corneliu Papură,Rennes,1996,Stoper,Romanya
173677,François Denis,Rennes,1996,Stoper,Fransa
3393,Mikaël Silvestre,Rennes,1996,Sol Bek,Fransa
170436,Stéphane Mahé,Rennes,1996,Sol Bek,Fransa
172122,Brian Jensen,Rennes,1996,Sol Bek,Danimarka
18213,Fritz Emeran,Rennes,1996,Sağ Bek,Ruanda
152799,Régis Le Bris,Rennes,1996,Sağ Bek,Fransa
350,Kjetil Rekdal,Rennes,1996,Ön Libero,Norveç
3904,Ousmane Dabo,Rennes,1996,Ön Libero,Fransa
152787,Laurent Huard,Rennes,1996,Ön Libero,Fransa
160094,David Voisin,Rennes,1996,Orta Saha,Fransa
173620,Loïc Lambert,Rennes,1996,Ön Libero,Fransa
173680,Farid Diaf,Rennes,1996,Orta Saha,Fransa
5670,Yoann Bigné,Rennes,1996,Merkez Orta Saha,Fransa
3649,Allan Johnston,Rennes,1996,Orta Saha Sağ,İskoçya
13244,Ulrich Le Pen,Rennes,1996,Orta Saha Sol,Fransa
3188,Sylvain Wiltord,Rennes,1996,Forvet Arkası,Fransa
5679,Benoît Le Bris,Rennes,1996,Forvet,Fransa
3116,Pierre-Yves André,Rennes,1996,Santrafor,Fransa
5382,Jean-Claude Darcheville,Rennes,1996,Santrafor,Fransiz Guyanasi
6245,Nicolas Goussé,Rennes,1996,Santrafor,Fransa
102753,Stéphane Guivarc'h,Rennes,1996,Santrafor,Fransa
168505,David Merdy,Rennes,1996,Forvet,Fransa
5659,Fabien Debec,Rennes,1997,Kaleci,Fransa
31757,Tony Heurtebis,Rennes,1997,Kaleci,Fransa
173623,Goran Pandurovic,Rennes,1997,Kaleci,Sırbistan
167964,Pierre Maroselli,Rennes,1997,Defans,Fransa
4152,Saliou Lassissi,Rennes,1997,Stoper,Fildişi Sahili
12640,Youssef Rossi,Rennes,1997,Stoper,Fas
13276,Philippe Brinquin,Rennes,1997,Stoper,Fransa
48180,Corneliu Papură,Rennes,1997,Stoper,Romanya
108879,Eddy Capron,Rennes,1997,Stoper,Fransa
679,Patrick Weiser,Rennes,1997,Sol Bek,Almanya
3393,Mikaël Silvestre,Rennes,1997,Sol Bek,Fransa
173621,Philippe Lévenard,Rennes,1997,Sol Bek,Fransa
173659,Thierry Uvenard,Rennes,1997,Sol Bek,Fransa
5668,Anthony Réveillère,Rennes,1997,Sağ Bek,Fransa
111515,Mickaël Buzaré,Rennes,1997,Sağ Bek,Fransa
152799,Régis Le Bris,Rennes,1997,Sağ Bek,Fransa
3904,Ousmane Dabo,Rennes,1997,Ön Libero,Fransa
5728,Stéphane Grégoire,Rennes,1997,Ön Libero,Fransa
8322,Laurent Viaud,Rennes,1997,Ön Libero,Fransa
152787,Laurent Huard,Rennes,1997,Ön Libero,Fransa
173620,Loïc Lambert,Rennes,1997,Ön Libero,Fransa
5670,Yoann Bigné,Rennes,1997,Merkez Orta Saha,Fransa
29279,Pascal Bédrossian,Rennes,1997,Orta Saha Sol,Fransa
