OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
5826,Angelo Peruzzi,Roma,1990,Kaleci,İtalya
227454,Giovanni Cervone,Roma,1990,Kaleci,İtalya
227797,Giuseppe Zinetti,Roma,1990,Kaleci,İtalya
243079,Luca Alidori,Roma,1990,Kaleci,İtalya
227457,Antonio Comi,Roma,1990,Libero,İtalya
227785,Dario Rossi,Roma,1990,Defans,İtalya
302669,Massimiliano Anastasi,Roma,1990,Defans,İtalya
57,Thomas Berthold,Roma,1990,Stoper,Almanya
4151,Aldair,Roma,1990,Stoper,Brezilya
7566,Amedeo Carboni,Roma,1990,Sol Bek,İtalya
116729,Sebastiano Nela,Roma,1990,Sol Bek,İtalya
227658,Gabriele Grossi,Roma,1990,Sol Bek,İtalya
224536,Stefano Pellegrini,Roma,1990,Sağ Bek,İtalya
226522,Antonio Tempestilli,Roma,1990,Sağ Bek,İtalya
6716,Daniele Berretta,Roma,1990,Ön Libero,İtalya
211850,Giovanni Piacentini,Roma,1990,Ön Libero,İtalya
224529,Stefano Desideri,Roma,1990,Ön Libero,İtalya
16851,Giampiero Maini,Roma,1990,Merkez Orta Saha,İtalya
224932,Fabrizio Di Mauro,Roma,1990,Merkez Orta Saha,İtalya
227747,Manuel Gerolin,Roma,1990,Merkez Orta Saha,İtalya
118254,Giuseppe Giannini,Roma,1990,On Numara,İtalya
227789,Fausto Salsano,Roma,1990,On Numara,İtalya
116698,Bruno Conti,Roma,1990,Sağ Kanat,İtalya
5900,Roberto Muzzi,Roma,1990,Santrafor,İtalya
13775,Rudi Völler,Roma,1990,Santrafor,Almanya
16965,Ruggiero Rizzitelli,Roma,1990,Santrafor,İtalya
120380,Andrea Carnevale,Roma,1990,Santrafor,İtalya
227454,Giovanni Cervone,Roma,1991,Kaleci,İtalya
227797,Giuseppe Zinetti,Roma,1991,Kaleci,İtalya
247321,Ferro Tontini,Roma,1991,Kaleci,İtalya
227457,Antonio Comi,Roma,1991,Libero,İtalya
227785,Dario Rossi,Roma,1991,Defans,İtalya
4151,Aldair,Roma,1991,Stoper,Brezilya
151872,Luigi Garzya,Roma,1991,Stoper,İtalya
186334,Marco De Marchi,Roma,1991,Stoper,İtalya
7566,Amedeo Carboni,Roma,1991,Sol Bek,İtalya
116729,Sebastiano Nela,Roma,1991,Sol Bek,İtalya
227658,Gabriele Grossi,Roma,1991,Sol Bek,İtalya
224536,Stefano Pellegrini,Roma,1991,Sağ Bek,İtalya
226522,Antonio Tempestilli,Roma,1991,Sağ Bek,İtalya
6716,Daniele Berretta,Roma,1991,Ön Libero,İtalya
211850,Giovanni Piacentini,Roma,1991,Ön Libero,İtalya
218177,Valter Bonacina,Roma,1991,Ön Libero,İtalya
224932,Fabrizio Di Mauro,Roma,1991,Merkez Orta Saha,İtalya
553,Thomas Häßler,Roma,1991,On Numara,Almanya
16572,Alessio Scarchilli,Roma,1991,On Numara,İtalya
118254,Giuseppe Giannini,Roma,1991,On Numara,İtalya
227789,Fausto Salsano,Roma,1991,On Numara,İtalya
5900,Roberto Muzzi,Roma,1991,Santrafor,İtalya
13775,Rudi Völler,Roma,1991,Santrafor,Almanya
16965,Ruggiero Rizzitelli,Roma,1991,Santrafor,İtalya
120380,Andrea Carnevale,Roma,1991,Santrafor,İtalya
227454,Giovanni Cervone,Roma,1992,Kaleci,İtalya
227743,Patrizio Fimiani,Roma,1992,Kaleci,İtalya
227797,Giuseppe Zinetti,Roma,1992,Kaleci,İtalya
227457,Antonio Comi,Roma,1992,Libero,İtalya
227785,Dario Rossi,Roma,1992,Defans,İtalya
253294,Emiliano Bernardini,Roma,1992,Defans,İtalya
254395,Emilio Pellegrino,Roma,1992,Defans,İtalya
621662,Marco Perli,Roma,1992,Defans,İtalya
5834,Sinisa Mihajlovic,Roma,1992,Stoper,Sırbistan
4151,Aldair,Roma,1992,Stoper,Brezilya
5968,Fabio Petruzzi,Roma,1992,Stoper,İtalya
151872,Luigi Garzya,Roma,1992,Stoper,İtalya
222746,Silvano Benedetti,Roma,1992,Stoper,İtalya
7566,Amedeo Carboni,Roma,1992,Sol Bek,İtalya
116729,Sebastiano Nela,Roma,1992,Sol Bek,İtalya
226522,Antonio Tempestilli,Roma,1992,Sağ Bek,İtalya
211850,Giovanni Piacentini,Roma,1992,Ön Libero,İtalya
218177,Valter Bonacina,Roma,1992,Ön Libero,İtalya
338016,Steven Torbidoni,Roma,1992,Orta Saha,İtalya
255165,Marco Caputi,Roma,1992,Merkez Orta Saha,İtalya
553,Thomas Häßler,Roma,1992,On Numara,Almanya
118254,Giuseppe Giannini,Roma,1992,On Numara,İtalya
227789,Fausto Salsano,Roma,1992,On Numara,İtalya
10367,Claudio Caniggia,Roma,1992,Sağ Kanat,Arjantin
5958,Francesco Totti,Roma,1992,Forvet Arkası,İtalya
5900,Roberto Muzzi,Roma,1992,Santrafor,İtalya
16965,Ruggiero Rizzitelli,Roma,1992,Santrafor,İtalya
120380,Andrea Carnevale,Roma,1992,Santrafor,İtalya
253296,Fabrizio Carli,Roma,1992,Forvet,İtalya
180477,Andrea Pazzagli,Roma,1993,Kaleci,İtalya
226081,Fabrizio Lorieri,Roma,1993,Kaleci,İtalya
227454,Giovanni Cervone,Roma,1993,Kaleci,İtalya
227457,Antonio Comi,Roma,1993,Libero,İtalya
227785,Dario Rossi,Roma,1993,Defans,İtalya
254395,Emilio Pellegrino,Roma,1993,Defans,İtalya
5834,Sinisa Mihajlovic,Roma,1993,Stoper,Sırbistan
4151,Aldair,Roma,1993,Stoper,Brezilya
5596,Gianluca Festa,Roma,1993,Stoper,İtalya
151872,Luigi Garzya,Roma,1993,Stoper,İtalya
181054,Marco Lanna,Roma,1993,Stoper,İtalya
222746,Silvano Benedetti,Roma,1993,Stoper,İtalya
7566,Amedeo Carboni,Roma,1993,Sol Bek,İtalya
227658,Gabriele Grossi,Roma,1993,Sol Bek,İtalya
6716,Daniele Berretta,Roma,1993,Ön Libero,İtalya
19436,Antonino Bernardini,Roma,1993,Ön Libero,İtalya
211850,Giovanni Piacentini,Roma,1993,Ön Libero,İtalya
218177,Valter Bonacina,Roma,1993,Ön Libero,İtalya
144010,Marco Marchetti,Roma,1993,Merkez Orta Saha,İtalya
160859,Massimiliano Cappioli,Roma,1993,Merkez Orta Saha,İtalya
553,Thomas Häßler,Roma,1993,On Numara,Almanya
16572,Alessio Scarchilli,Roma,1993,On Numara,İtalya
118254,Giuseppe Giannini,Roma,1993,On Numara,İtalya
10367,Claudio Caniggia,Roma,1993,Sağ Kanat,Arjantin
5958,Francesco Totti,Roma,1993,Forvet Arkası,İtalya
5900,Roberto Muzzi,Roma,1993,Santrafor,İtalya
16965,Ruggiero Rizzitelli,Roma,1993,Santrafor,İtalya
102187,Abel Balbo,Roma,1993,Santrafor,Arjantin
338642,Walter Lapini,Roma,1993,Forvet,İtalya
226081,Fabrizio Lorieri,Roma,1994,Kaleci,İtalya
227454,Giovanni Cervone,Roma,1994,Kaleci,İtalya
253884,Giampaolo Di Magno,Roma,1994,Kaleci,İtalya
227785,Dario Rossi,Roma,1994,Defans,İtalya
4151,Aldair,Roma,1994,Stoper,Brezilya
5836,Francesco Colonnese,Roma,1994,Stoper,İtalya
5968,Fabio Petruzzi,Roma,1994,Stoper,İtalya
181054,Marco Lanna,Roma,1994,Stoper,İtalya
222746,Silvano Benedetti,Roma,1994,Stoper,İtalya
227732,Andrea Borsa,Roma,1994,Stoper,İtalya
7566,Amedeo Carboni,Roma,1994,Sol Bek,İtalya
170356,Enrico Annoni,Roma,1994,Sağ Bek,İtalya
211850,Giovanni Piacentini,Roma,1994,Ön Libero,İtalya
263781,Sandro Mazzoni,Roma,1994,Orta Saha,İtalya
488025,Michele Scapicchi,Roma,1994,Orta Saha,İtalya
34025,Jonas Thern,Roma,1994,Merkez Orta Saha,İsveç
16851,Giampiero Maini,Roma,1994,Merkez Orta Saha,İtalya
