OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
91651,Abdullah Aslan,Samsunspor,1990,Kaleci,Türkiye
91644,Vladan Radaca,Samsunspor,1990,Kaleci,Sırbistan
114642,Hulusi Yavuz,Samsunspor,1990,Kaleci,Türkiye
92226,Fevzi Korkmaz,Samsunspor,1990,Defans,Türkiye
114622,Ercan Aslankeser,Samsunspor,1990,Defans,Türkiye
114623,Ayhan Bayraktar,Samsunspor,1990,Defans,Türkiye
92126,Kasım Çıkla,Samsunspor,1990,Stoper,Türkiye
92129,Ercümend Coşkundere,Samsunspor,1990,Stoper,Türkiye
114631,Sedat Karaoğlu,Samsunspor,1990,Sol Bek,Türkiye
92228,Yücel Uyar,Samsunspor,1990,Sol Bek,Türkiye
7267,İmdat Arslan,Samsunspor,1990,Sağ Bek,Türkiye
114636,Mehmet Şen,Samsunspor,1990,Sağ Bek,Türkiye
114783,Yakup Kola,Samsunspor,1990,Sağ Bek,Türkiye
92125,Osman Akyol,Samsunspor,1990,Orta Saha,Türkiye
114620,Sedat Akova,Samsunspor,1990,Orta Saha,Türkiye
114632,Turgut Kır,Samsunspor,1990,Ön Libero,Türkiye
114639,Uğur Terzi,Samsunspor,1990,Orta Saha,Türkiye
114643,Caner Yılmaz,Samsunspor,1990,Orta Saha,Türkiye
92227,Adnan Medjedovic,Samsunspor,1990,On Numara,Avusturya
114644,Yüksel Öğüten,Samsunspor,1990,On Numara,Türkiye
17125,Ertuğrul Sağlam,Samsunspor,1990,Santrafor,Türkiye
91640,Bünyamin Kubat,Samsunspor,1990,Santrafor,Türkiye
91641,Dusan Milinkovic,Samsunspor,1990,Santrafor,Sırbistan
114785,Ömer Kurt,Samsunspor,1990,Santrafor,Türkiye
91651,Abdullah Aslan,Samsunspor,1991,Kaleci,Türkiye
91644,Vladan Radaca,Samsunspor,1991,Kaleci,Sırbistan
114642,Hulusi Yavuz,Samsunspor,1991,Kaleci,Türkiye
92226,Fevzi Korkmaz,Samsunspor,1991,Defans,Türkiye
114622,Ercan Aslankeser,Samsunspor,1991,Defans,Türkiye
114626,Nadir Naci Eyinç,Samsunspor,1991,Defans,Türkiye
114640,Akın Türker,Samsunspor,1991,Defans,Türkiye
114641,Recep Tüzün,Samsunspor,1991,Defans,Türkiye
114645,Osman Özel,Samsunspor,1991,Defans,Türkiye
92126,Kasım Çıkla,Samsunspor,1991,Stoper,Türkiye
92129,Ercümend Coşkundere,Samsunspor,1991,Stoper,Türkiye
114627,Gökhan Gedikali,Samsunspor,1991,Stoper,Türkiye
92228,Yücel Uyar,Samsunspor,1991,Sol Bek,Türkiye
7267,İmdat Arslan,Samsunspor,1991,Sağ Bek,Türkiye
92125,Osman Akyol,Samsunspor,1991,Orta Saha,Türkiye
114625,Mehmet Hakan Ersoy,Samsunspor,1991,Orta Saha,Türkiye
114630,Mevlüt Kahraman,Samsunspor,1991,Orta Saha,Türkiye
114639,Uğur Terzi,Samsunspor,1991,Orta Saha,Türkiye
114643,Caner Yılmaz,Samsunspor,1991,Orta Saha,Türkiye
115212,Ufuk Sarı,Samsunspor,1991,Orta Saha,Türkiye
599476,Serkan Çakır,Samsunspor,1991,Orta Saha,Türkiye
114633,Dusan Kljajic,Samsunspor,1991,Merkez Orta Saha,Sırbistan
92128,Mustafa Sinecek,Samsunspor,1991,Orta Saha Sağ,Türkiye
8687,Orhan Kaynak,Samsunspor,1991,Santrafor,Türkiye
17125,Ertuğrul Sağlam,Samsunspor,1991,Santrafor,Türkiye
91640,Bünyamin Kubat,Samsunspor,1991,Santrafor,Türkiye
91641,Dusan Milinkovic,Samsunspor,1991,Santrafor,Sırbistan
92135,Hasan Şengün,Samsunspor,1991,Santrafor,Türkiye
114637,Murat Şimşek,Samsunspor,1991,Santrafor,Türkiye
114785,Ömer Kurt,Samsunspor,1991,Santrafor,Türkiye
579076,Kemal Yardımcı,Samsunspor,1991,Forvet,Türkiye
91651,Abdullah Aslan,Samsunspor,1992,Kaleci,Türkiye
91644,Vladan Radaca,Samsunspor,1992,Kaleci,Sırbistan
114628,Erol İlhan,Samsunspor,1992,Kaleci,Türkiye
91660,Ercan Koloğlu,Samsunspor,1992,Libero,Türkiye
92226,Fevzi Korkmaz,Samsunspor,1992,Defans,Türkiye
114622,Ercan Aslankeser,Samsunspor,1992,Defans,Türkiye
114641,Recep Tüzün,Samsunspor,1992,Defans,Türkiye
92126,Kasım Çıkla,Samsunspor,1992,Stoper,Türkiye
91667,İsa Turan,Samsunspor,1992,Sol Bek,Türkiye
92228,Yücel Uyar,Samsunspor,1992,Sol Bek,Türkiye
7267,İmdat Arslan,Samsunspor,1992,Sağ Bek,Türkiye
92125,Osman Akyol,Samsunspor,1992,Orta Saha,Türkiye
114625,Mehmet Hakan Ersoy,Samsunspor,1992,Orta Saha,Türkiye
114630,Mevlüt Kahraman,Samsunspor,1992,Orta Saha,Türkiye
114634,Tuncay Köseoğlu,Samsunspor,1992,Orta Saha,Türkiye
115215,Ercan Tezeller,Samsunspor,1992,Orta Saha,Türkiye
114633,Dusan Kljajic,Samsunspor,1992,Merkez Orta Saha,Sırbistan
91638,Müjdat Gürsu,Samsunspor,1992,On Numara,Türkiye
1294,Cenk İşler,Samsunspor,1992,Santrafor,Türkiye
