OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
7722,Juan Carlos Unzué,Sevilla,1990,Kaleci,İspanya
143304,Monchi,Sevilla,1990,Kaleci,İspanya
7701,José Miguel Prieto,Sevilla,1990,Stoper,İspanya
120628,Diego Rodríguez,Sevilla,1990,Stoper,İspanya
214179,Pepe Salguero,Sevilla,1990,Stoper,İspanya
259498,Juan Martagón,Sevilla,1990,Stoper,İspanya
150670,Luis de la Fuente,Sevilla,1990,Sol Bek,İspanya
239196,Manolo Jiménez,Sevilla,1990,Sol Bek,İspanya
254073,Pascual Llopis,Sevilla,1990,Sağ Bek,İspanya
273467,Manuel Herrero,Sevilla,1990,Orta Saha,İspanya
277425,Juan Andrades,Sevilla,1990,Orta Saha,Fransa
288173,Miguelo,Sevilla,1990,Orta Saha,İspanya
239199,Rafa Paz,Sevilla,1990,Orta Saha Sağ,İspanya
243964,Manuel Zúñiga,Sevilla,1990,Orta Saha Sağ,İspanya
258057,Pablo Bengoechea,Sevilla,1990,On Numara,Uruguay
258845,Nacho Conte,Sevilla,1990,On Numara,İspanya
22416,Toni Polster,Sevilla,1990,Santrafor,Avusturya
129083,Iván Zamorano,Sevilla,1990,Santrafor,Şili
208608,Ramón,Sevilla,1990,Santrafor,İspanya
271565,Antoñito,Sevilla,1990,Forvet,İspanya
277427,José Carvajal,Sevilla,1990,Forvet,İspanya
7722,Juan Carlos Unzué,Sevilla,1991,Kaleci,İspanya
7701,José Miguel Prieto,Sevilla,1991,Stoper,İspanya
120628,Diego Rodríguez,Sevilla,1991,Stoper,İspanya
214179,Pepe Salguero,Sevilla,1991,Stoper,İspanya
259498,Juan Martagón,Sevilla,1991,Stoper,İspanya
239196,Manolo Jiménez,Sevilla,1991,Sol Bek,İspanya
262906,Alfonso Cortijo,Sevilla,1991,Sol Bek,İspanya
4505,Zeljko Petrovic,Sevilla,1991,Sağ Bek,Karadağ
254073,Pascual Llopis,Sevilla,1991,Sağ Bek,İspanya
7683,Marcos Martín,Sevilla,1991,Ön Libero,İspanya
277425,Juan Andrades,Sevilla,1991,Orta Saha,Fransa
239199,Rafa Paz,Sevilla,1991,Orta Saha Sağ,İspanya
258057,Pablo Bengoechea,Sevilla,1991,On Numara,Uruguay
258845,Nacho Conte,Sevilla,1991,On Numara,İspanya
1407,Davor Suker,Sevilla,1991,Santrafor,Hırvatistan
129083,Iván Zamorano,Sevilla,1991,Santrafor,Şili
208608,Ramón,Sevilla,1991,Santrafor,İspanya
271565,Antoñito,Sevilla,1991,Forvet,İspanya
277427,José Carvajal,Sevilla,1991,Forvet,İspanya
7722,Juan Carlos Unzué,Sevilla,1992,Kaleci,İspanya
143304,Monchi,Sevilla,1992,Kaleci,İspanya
7701,José Miguel Prieto,Sevilla,1992,Stoper,İspanya
120628,Diego Rodríguez,Sevilla,1992,Stoper,İspanya
259498,Juan Martagón,Sevilla,1992,Stoper,İspanya
355840,Pedro del Campo,Sevilla,1992,Stoper,İspanya
239196,Manolo Jiménez,Sevilla,1992,Sol Bek,İspanya
262906,Alfonso Cortijo,Sevilla,1992,Sol Bek,İspanya
7683,Marcos Martín,Sevilla,1992,Ön Libero,İspanya
187827,Ricardo Bango,Sevilla,1992,Ön Libero,İspanya
277425,Juan Andrades,Sevilla,1992,Orta Saha,Fransa
288173,Miguelo,Sevilla,1992,Orta Saha,İspanya
5841,Diego Simeone,Sevilla,1992,Merkez Orta Saha,Arjantin
239199,Rafa Paz,Sevilla,1992,Orta Saha Sağ,İspanya
8024,Diego Maradona,Sevilla,1992,On Numara,Arjantin
253496,Javi Pineda,Sevilla,1992,On Numara,İspanya
258845,Nacho Conte,Sevilla,1992,On Numara,İspanya
1407,Davor Suker,Sevilla,1992,Santrafor,Hırvatistan
180080,Sebastián Losada,Sevilla,1992,Forvet,İspanya
273581,Monchu Suárez,Sevilla,1992,Santrafor,İspanya
277427,José Carvajal,Sevilla,1992,Forvet,İspanya
7722,Juan Carlos Unzué,Sevilla,1993,Kaleci,İspanya
143304,Monchi,Sevilla,1993,Kaleci,İspanya
7701,José Miguel Prieto,Sevilla,1993,Stoper,İspanya
120628,Diego Rodríguez,Sevilla,1993,Stoper,İspanya
150645,Patxi Ferreira,Sevilla,1993,Stoper,İspanya
259498,Juan Martagón,Sevilla,1993,Stoper,İspanya
7675,Miquel Soler,Sevilla,1993,Sol Bek,İspanya
239196,Manolo Jiménez,Sevilla,1993,Sol Bek,İspanya
262906,Alfonso Cortijo,Sevilla,1993,Sol Bek,İspanya
7683,Marcos Martín,Sevilla,1993,Ön Libero,İspanya
187827,Ricardo Bango,Sevilla,1993,Ön Libero,İspanya
5841,Diego Simeone,Sevilla,1993,Merkez Orta Saha,Arjantin
239199,Rafa Paz,Sevilla,1993,Orta Saha Sağ,İspanya
253496,Javi Pineda,Sevilla,1993,On Numara,İspanya
314464,David Linde,Sevilla,1993,Sol Kanat,İspanya
173462,Gabi Moya,Sevilla,1993,Forvet Arkası,İspanya
1407,Davor Suker,Sevilla,1993,Santrafor,Hırvatistan
22567,Luis Tevenet,Sevilla,1993,Santrafor,İspanya
273581,Monchu Suárez,Sevilla,1993,Santrafor,İspanya
277427,José Carvajal,Sevilla,1993,Forvet,İspanya
7722,Juan Carlos Unzué,Sevilla,1994,Kaleci,İspanya
7701,José Miguel Prieto,Sevilla,1994,Stoper,İspanya
120628,Diego Rodríguez,Sevilla,1994,Stoper,İspanya
253986,Juanito Rodríguez,Sevilla,1994,Stoper,İspanya
259498,Juan Martagón,Sevilla,1994,Stoper,İspanya
7675,Miquel Soler,Sevilla,1994,Sol Bek,İspanya
239196,Manolo Jiménez,Sevilla,1994,Sol Bek,İspanya
262906,Alfonso Cortijo,Sevilla,1994,Sol Bek,İspanya
303470,Moacir,Sevilla,1994,Ön Libero,Brezilya
7683,Marcos Martín,Sevilla,1994,Ön Libero,İspanya
187827,Ricardo Bango,Sevilla,1994,Ön Libero,İspanya
239199,Rafa Paz,Sevilla,1994,Orta Saha Sağ,İspanya
102020,Ilie Dumitrescu,Sevilla,1994,On Numara,Romanya
173462,Gabi Moya,Sevilla,1994,Forvet Arkası,İspanya
1407,Davor Suker,Sevilla,1994,Santrafor,Hırvatistan
8126,Quique Estebaranz,Sevilla,1994,Santrafor,İspanya
