OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
14941,Dmytro Shutkov,Shaktar Donetsk,1990,Kaleci,Ukrayna
190291,Andriy Kovtun,Shaktar Donetsk,1990,Kaleci,Ukrayna
260375,Sergey Shipovskiy,Shaktar Donetsk,1990,Kaleci,Rusya
786207,Volodymyr Vasyutyk,Shaktar Donetsk,1990,Kaleci,Ukrayna
518654,Vasiliy Mazur,Shaktar Donetsk,1990,Libero,Rusya
700226,Oleksandr Martyuk,Shaktar Donetsk,1990,Defans,Ukrayna
15298,Viktor Onopko,Shaktar Donetsk,1990,Stoper,Rusya
210290,Yevgen Dragunov,Shaktar Donetsk,1990,Stoper,Ukrayna
217209,Vasyl Evseev,Shaktar Donetsk,1990,Stoper,Ukrayna
648155,Oleksandr Sopko,Shaktar Donetsk,1990,Stoper,Ukrayna
204769,Igor Leonov,Shaktar Donetsk,1990,Sol Bek,Ukrayna
718330,Valeriy Goshkoderya,Shaktar Donetsk,1990,Ön Libero,Ukrayna
755501,Mykhaylo Stelmakh,Shaktar Donetsk,1990,Orta Saha,Ukrayna
190435,Igor Korniets,Shaktar Donetsk,1990,Ön Libero,Ukrayna
305461,Sergiy Yashchenko,Shaktar Donetsk,1990,Ön Libero,Ukrayna
368652,Sergiy Onopko,Shaktar Donetsk,1990,Ön Libero,Ukrayna
596120,Igor Stolovytskyi,Shaktar Donetsk,1990,Orta Saha,Ukrayna
3742,Andrey Kanchelskis,Shaktar Donetsk,1990,Orta Saha Sağ,Rusya
179306,Sergiy Pogodin,Shaktar Donetsk,1990,On Numara,Ukrayna
182210,Igor Petrov,Shaktar Donetsk,1990,On Numara,Ukrayna
413952,Sergey Shcherbakov,Shaktar Donetsk,1990,On Numara,Rusya
769040,Oleksandr Barabash,Shaktar Donetsk,1990,On Numara,Ukrayna
774021,Sergiy Tsygankov,Shaktar Donetsk,1990,On Numara,Ukrayna
596125,Viktor Grachov,Shaktar Donetsk,1990,Sağ Kanat,Ukrayna
3122,Sergiy Rebrov,Shaktar Donetsk,1990,Forvet Arkası,Ukrayna
