OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
1006156,Şakir Erhan Şahinkaya,Sivasspor,1990,Kaleci,Türkiye
879965,Abdullah Kasap,Sivasspor,1990,Defans,Türkiye
879966,Gültekin Kocaer,Sivasspor,1990,Defans,Türkiye
1006188,Fethi Ayın,Sivasspor,1990,Sol Bek,Türkiye
879973,Niyazi Yazıcı,Sivasspor,1990,Orta Saha,Türkiye
1039374,Bülent Topuzoğlu,Sivasspor,1990,Orta Saha,Türkiye
593421,Hakan Yalçın,Sivasspor,1990,Forvet,Türkiye
827103,Bilbay Taştemel,Sivasspor,1990,Santrafor,Türkiye
1050047,Alpaslan Kocaaçar,Sivasspor,1990,Santrafor,Türkiye
17382,Habip Anapal,Sivasspor,1991,Kaleci,Türkiye
1006156,Şakir Erhan Şahinkaya,Sivasspor,1991,Kaleci,Türkiye
828728,Dursun Yıldırım,Sivasspor,1991,Defans,Türkiye
879965,Abdullah Kasap,Sivasspor,1991,Defans,Türkiye
879966,Gültekin Kocaer,Sivasspor,1991,Defans,Türkiye
958724,İbrahim Atasoy,Sivasspor,1991,Defans,Türkiye
615059,Tümer Uzun,Sivasspor,1991,Sağ Bek,Türkiye
717646,Kamil Sungur,Sivasspor,1991,Orta Saha,Türkiye
867048,Coşkun Keskin,Sivasspor,1991,Orta Saha,Türkiye
879973,Niyazi Yazıcı,Sivasspor,1991,Orta Saha,Türkiye
997879,Burhan Fertelli,Sivasspor,1991,Sağ Kanat,Türkiye
827103,Bilbay Taştemel,Sivasspor,1991,Santrafor,Türkiye
614697,Rüstem İsmailoğlu,Sivasspor,1992,Kaleci,Türkiye
1006156,Şakir Erhan Şahinkaya,Sivasspor,1992,Kaleci,Türkiye
879965,Abdullah Kasap,Sivasspor,1992,Defans,Türkiye
879966,Gültekin Kocaer,Sivasspor,1992,Defans,Türkiye
1219931,İrfan Saraloğlu,Sivasspor,1992,Libero,Türkiye
658585,İlker Daşbulak,Sivasspor,1992,Stoper,Türkiye
683114,Tahir Alegöz,Sivasspor,1992,Stoper,Türkiye
586351,Feridun Özütok,Sivasspor,1992,Orta Saha,Türkiye
615061,Şükrü Kıroğlu,Sivasspor,1992,Orta Saha,Türkiye
616767,Hasan Tuğrul,Sivasspor,1992,Orta Saha,Türkiye
820253,Orhan Önemlibıçak,Sivasspor,1992,Orta Saha,Türkiye
879973,Niyazi Yazıcı,Sivasspor,1992,Orta Saha,Türkiye
1046751,Yusuf Bayraktar,Sivasspor,1992,Orta Saha Sağ,Türkiye
997879,Burhan Fertelli,Sivasspor,1992,Sağ Kanat,Türkiye
581066,Oktay Çevik,Sivasspor,1992,Santrafor,Türkiye
1340393,Erdal Şimşek,Sivasspor,1992,Santrafor,Türkiye
1491822,Yusuf Çubukcu,Sivasspor,1994,Kaleci,Türkiye
621529,Kenan Atik,Sivasspor,1994,Defans,Türkiye
820763,Sedat Tokmak,Sivasspor,1994,Defans,Türkiye
831356,Vahit Akbaş,Sivasspor,1994,Defans,Türkiye
951306,Ali Özdemir,Sivasspor,1994,Defans,Türkiye
960894,Erol Muradoğlu,Sivasspor,1994,Defans,Türkiye
6966,Tolga Seyhan,Sivasspor,1994,Stoper,Türkiye
576663,Şenol Şay,Sivasspor,1994,Stoper,Türkiye
824290,Murat Taşdemir,Sivasspor,1994,Orta Saha,Türkiye
831397,Cüneyt Küçümen,Sivasspor,1994,Orta Saha,Türkiye
950451,Ali Nihat Çınar,Sivasspor,1994,Orta Saha,Türkiye
1046751,Yusuf Bayraktar,Sivasspor,1994,Orta Saha Sağ,Türkiye
583090,Erkan Ültanır,Sivasspor,1994,Santrafor,Türkiye
949048,Salih Kurucuk,Sivasspor,1994,Forvet,Türkiye
949049,İbrahim Tuğaltay,Sivasspor,1994,Forvet,Türkiye
957773,İbrahim Özcihan,Sivasspor,1994,Forvet,Türkiye
1360550,Barış Önder,Sivasspor,1994,Forvet,Türkiye
1491746,Ercan Kulya,Sivasspor,1994,Santrafor,Türkiye
858467,Recep Eşkin,Sivasspor,1995,Kaleci,Türkiye
831356,Vahit Akbaş,Sivasspor,1995,Defans,Türkiye
824290,Murat Taşdemir,Sivasspor,1995,Orta Saha,Türkiye
831397,Cüneyt Küçümen,Sivasspor,1995,Orta Saha,Türkiye
950451,Ali Nihat Çınar,Sivasspor,1995,Orta Saha,Türkiye
1046751,Yusuf Bayraktar,Sivasspor,1995,Orta Saha Sağ,Türkiye
949048,Salih Kurucuk,Sivasspor,1995,Forvet,Türkiye
957773,İbrahim Özcihan,Sivasspor,1995,Forvet,Türkiye
1322957,Murat Karadağ,Sivasspor,1995,Forvet,Türkiye
1360550,Barış Önder,Sivasspor,1995,Forvet,Türkiye
33560,Mahmut Hoşgiz,Sivasspor,1996,Orta Saha,Türkiye
824252,Özer Erdoğan,Sivasspor,1996,Orta Saha,Türkiye
824926,Rafet Kaplan,Sivasspor,1996,Orta Saha,Türkiye
831397,Cüneyt Küçümen,Sivasspor,1996,Orta Saha,Türkiye
1360558,Tekin Fişne,Sivasspor,1996,Orta Saha,Türkiye
1046751,Yusuf Bayraktar,Sivasspor,1996,Orta Saha Sağ,Türkiye
599270,İbrahim Kürşat Daloğlu,Sivasspor,1996,Orta Saha Sol,Türkiye
586287,Vedat Taşdemir,Sivasspor,1996,Sağ Kanat,Türkiye
586396,Serdar Şener,Sivasspor,1996,Forvet,Türkiye
607744,Soner Büyükergun,Sivasspor,1996,Santrafor,Türkiye
831314,Adem Tandoğan,Sivasspor,1996,Forvet,Türkiye
957773,İbrahim Özcihan,Sivasspor,1996,Forvet,Türkiye
1322957,Murat Karadağ,Sivasspor,1996,Forvet,Türkiye
1565297,Yasin Emre Halıcıoğlu,Sivasspor,1996,Forvet,Türkiye
