OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
102689,Tomislav Ivkovic,Sporting Lisbon,1990,Kaleci,Hırvatistan
617998,Sérgio,Sporting Lisbon,1990,Kaleci,Portekiz
618003,Rogério,Sporting Lisbon,1990,Kaleci,Portekiz
676617,Faquinha,Sporting Lisbon,1990,Kaleci,Portekiz
135350,Luizinho,Sporting Lisbon,1990,Stoper,Brezilya
177968,Leal,Sporting Lisbon,1990,Stoper,Portekiz
266987,Venâncio,Sporting Lisbon,1990,Stoper,Portekiz
294629,Miguel,Sporting Lisbon,1990,Stoper,Portekiz
207002,Paulo Torres,Sporting Lisbon,1990,Sol Bek,Portekiz
13195,Marinho,Sporting Lisbon,1990,Sağ Bek,Portekiz
242930,João Luís,Sporting Lisbon,1990,Sağ Bek,Brezilya
14111,Emílio Peixe,Sporting Lisbon,1990,Ön Libero,Portekiz
103755,Oceano,Sporting Lisbon,1990,Ön Libero,Portekiz
200755,Carlos Xavier,Sporting Lisbon,1990,Ön Libero,Portekiz
676587,Ali Hassan,Sporting Lisbon,1990,Ön Libero,Mozambik
130579,Filipe Ramos,Sporting Lisbon,1990,Merkez Orta Saha,Portekiz
181702,Douglas,Sporting Lisbon,1990,Merkez Orta Saha,Brezilya
225302,Vlado Bozinovski,Sporting Lisbon,1990,Merkez Orta Saha,Avustralya
233081,Mário Jorge,Sporting Lisbon,1990,Orta Saha Sol,Portekiz
256910,João Oliveira Pinto,Sporting Lisbon,1990,On Numara,Portekiz
584,Krasimir Balakov,Sporting Lisbon,1990,On Numara,Bulgaristan
132215,Litos,Sporting Lisbon,1990,On Numara,Portekiz
239905,Careca,Sporting Lisbon,1990,On Numara,Brezilya
266585,José Lima,Sporting Lisbon,1990,Sol Kanat,Portekiz
3446,Luís Figo,Sporting Lisbon,1990,Sağ Kanat,Portekiz
256908,Amaral,Sporting Lisbon,1990,Sağ Kanat,Portekiz
25356,Jorge Cadete,Sporting Lisbon,1990,Santrafor,Portekiz
115064,Fernando Gomes,Sporting Lisbon,1990,Santrafor,Portekiz
576463,João Luís,Sporting Lisbon,1990,Forvet,Portekiz
676586,Edel,Sporting Lisbon,1990,Forvet,Angola
102689,Tomislav Ivkovic,Sporting Lisbon,1991,Kaleci,Hırvatistan
617998,Sérgio,Sporting Lisbon,1991,Kaleci,Portekiz
649993,Paulo Santos,Sporting Lisbon,1991,Kaleci,Portekiz
135350,Luizinho,Sporting Lisbon,1991,Stoper,Brezilya
177968,Leal,Sporting Lisbon,1991,Stoper,Portekiz
266987,Venâncio,Sporting Lisbon,1991,Stoper,Portekiz
571451,Jorginho,Sporting Lisbon,1991,Stoper,Brezilya
207002,Paulo Torres,Sporting Lisbon,1991,Sol Bek,Portekiz
13195,Marinho,Sporting Lisbon,1991,Sağ Bek,Portekiz
106821,Nélson,Sporting Lisbon,1991,Sağ Bek,Portekiz
242930,João Luís,Sporting Lisbon,1991,Sağ Bek,Brezilya
14111,Emílio Peixe,Sporting Lisbon,1991,Ön Libero,Portekiz
130579,Filipe Ramos,Sporting Lisbon,1991,Merkez Orta Saha,Portekiz
181702,Douglas,Sporting Lisbon,1991,Merkez Orta Saha,Brezilya
256910,João Oliveira Pinto,Sporting Lisbon,1991,On Numara,Portekiz
584,Krasimir Balakov,Sporting Lisbon,1991,On Numara,Bulgaristan
102331,Boncho Genchev,Sporting Lisbon,1991,On Numara,Bulgaristan
102332,Ivaylo Yordanov,Sporting Lisbon,1991,On Numara,Bulgaristan
132215,Litos,Sporting Lisbon,1991,On Numara,Portekiz
239905,Careca,Sporting Lisbon,1991,On Numara,Brezilya
266585,José Lima,Sporting Lisbon,1991,Sol Kanat,Portekiz
3446,Luís Figo,Sporting Lisbon,1991,Sağ Kanat,Portekiz
256908,Amaral,Sporting Lisbon,1991,Sağ Kanat,Portekiz
25356,Jorge Cadete,Sporting Lisbon,1991,Santrafor,Portekiz
676593,Tozé,Sporting Lisbon,1991,Santrafor,Portekiz
102689,Tomislav Ivkovic,Sporting Lisbon,1992,Kaleci,Hırvatistan
617998,Sérgio,Sporting Lisbon,1992,Kaleci,Portekiz
618003,Rogério,Sporting Lisbon,1992,Kaleci,Portekiz
32529,Pedro Barny,Sporting Lisbon,1992,Stoper,Portekiz
101756,Stan Valckx,Sporting Lisbon,1992,Stoper,Hollanda
177968,Leal,Sporting Lisbon,1992,Stoper,Portekiz
413953,Carlos Jorge,Sporting Lisbon,1992,Stoper,Portekiz
207002,Paulo Torres,Sporting Lisbon,1992,Sol Bek,Portekiz
13195,Marinho,Sporting Lisbon,1992,Sağ Bek,Portekiz
14101,Bilro,Sporting Lisbon,1992,Sağ Bek,Portekiz
106821,Nélson,Sporting Lisbon,1992,Sağ Bek,Portekiz
14111,Emílio Peixe,Sporting Lisbon,1992,Ön Libero,Portekiz
14358,Poejo,Sporting Lisbon,1992,Ön Libero,Portekiz
136505,Luís Manuel,Sporting Lisbon,1992,Ön Libero,Portekiz
130579,Filipe Ramos,Sporting Lisbon,1992,Merkez Orta Saha,Portekiz
584,Krasimir Balakov,Sporting Lisbon,1992,On Numara,Bulgaristan
102332,Ivaylo Yordanov,Sporting Lisbon,1992,On Numara,Bulgaristan
413952,Sergey Shcherbakov,Sporting Lisbon,1992,On Numara,Rusya
17187,Porfírio,Sporting Lisbon,1992,Sol Kanat,Portekiz
