OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
615,Eberhard Trautner,Stuttgart,1990,Kaleci,Almanya
73587,Eike Immel,Stuttgart,1990,Kaleci,Almanya
77010,Matthias Sammer,Stuttgart,1990,Libero,Almanya
97181,Nils Schmäler,Stuttgart,1990,Libero,Almanya
28,Jens Keller,Stuttgart,1990,Stoper,Almanya
452,Uwe Schneider,Stuttgart,1990,Stoper,Almanya
486,Alexander Strehmel,Stuttgart,1990,Stoper,Almanya
14833,Günther Schäfer,Stuttgart,1990,Stoper,Almanya
79561,Guido Buchwald,Stuttgart,1990,Stoper,Almanya
77398,Michael Frontzeck,Stuttgart,1990,Sol Bek,Almanya
355,Eyjólfur Sverrisson,Stuttgart,1990,Ön Libero,İzlanda
84638,Jürgen Hartmann,Stuttgart,1990,Ön Libero,Almanya
84736,Manfred Schnalke,Stuttgart,1990,Ön Libero,Almanya
84619,Karl Allgöwer,Stuttgart,1990,Merkez Orta Saha,Almanya
84624,José Basualdo,Stuttgart,1990,Merkez Orta Saha,Arjantin
3,Andreas Buck,Stuttgart,1990,Orta Saha Sağ,Almanya
949,Jürgen Kramny,Stuttgart,1990,Orta Saha Sağ,Almanya
474,Ludwig Kögl,Stuttgart,1990,Orta Saha Sol,Almanya
9320,Maurizio Gaudino,Stuttgart,1990,On Numara,Almanya
21659,Axel Jüptner,Stuttgart,1990,On Numara,Almanya
12406,Fritz Walter,Stuttgart,1990,Santrafor,Almanya
22789,Olaf Schmäler,Stuttgart,1990,Forvet,Almanya
84666,Peter Rasmussen,Stuttgart,1990,Santrafor,Danimarka
85592,Manfred Kastl,Stuttgart,1990,Santrafor,Almanya
615,Eberhard Trautner,Stuttgart,1991,Kaleci,Almanya
73587,Eike Immel,Stuttgart,1991,Kaleci,Almanya
97060,Siegfried Grüninger,Stuttgart,1991,Kaleci,Almanya
77010,Matthias Sammer,Stuttgart,1991,Libero,Almanya
97105,Slobodan Dubajic,Stuttgart,1991,Libero,Sırbistan
97181,Nils Schmäler,Stuttgart,1991,Libero,Almanya
28,Jens Keller,Stuttgart,1991,Stoper,Almanya
452,Uwe Schneider,Stuttgart,1991,Stoper,Almanya
609,Thomas Schneider,Stuttgart,1991,Stoper,Almanya
10212,Harald Preuß,Stuttgart,1991,Stoper,Almanya
486,Alexander Strehmel,Stuttgart,1991,Stoper,Almanya
14833,Günther Schäfer,Stuttgart,1991,Stoper,Almanya
79561,Guido Buchwald,Stuttgart,1991,Stoper,Almanya
97183,Jovica Simanic,Stuttgart,1991,Stoper,Sırbistan
77398,Michael Frontzeck,Stuttgart,1991,Sol Bek,Almanya
938,Marc Kienle,Stuttgart,1991,Sağ Bek,Almanya
355,Eyjólfur Sverrisson,Stuttgart,1991,Ön Libero,İzlanda
3,Andreas Buck,Stuttgart,1991,Orta Saha Sağ,Almanya
949,Jürgen Kramny,Stuttgart,1991,Orta Saha Sağ,Almanya
474,Ludwig Kögl,Stuttgart,1991,Orta Saha Sol,Almanya
9320,Maurizio Gaudino,Stuttgart,1991,On Numara,Almanya
97154,Michael Mayer,Stuttgart,1991,On Numara,Almanya
12406,Fritz Walter,Stuttgart,1991,Santrafor,Almanya
22789,Olaf Schmäler,Stuttgart,1991,Forvet,Almanya
85592,Manfred Kastl,Stuttgart,1991,Santrafor,Almanya
987,Harald Ebertz,Stuttgart,1992,Kaleci,Almanya
615,Eberhard Trautner,Stuttgart,1992,Kaleci,Almanya
73587,Eike Immel,Stuttgart,1992,Kaleci,Almanya
97105,Slobodan Dubajic,Stuttgart,1992,Libero,Sırbistan
452,Uwe Schneider,Stuttgart,1992,Stoper,Almanya
593,Jochen Endreß,Stuttgart,1992,Stoper,Almanya
609,Thomas Schneider,Stuttgart,1992,Stoper,Almanya
10212,Harald Preuß,Stuttgart,1992,Stoper,Almanya
486,Alexander Strehmel,Stuttgart,1992,Stoper,Almanya
14833,Günther Schäfer,Stuttgart,1992,Stoper,Almanya
79561,Guido Buchwald,Stuttgart,1992,Stoper,Almanya
97183,Jovica Simanic,Stuttgart,1992,Stoper,Sırbistan
77398,Michael Frontzeck,Stuttgart,1992,Sol Bek,Almanya
938,Marc Kienle,Stuttgart,1992,Sağ Bek,Almanya
221,Thomas Strunz,Stuttgart,1992,Ön Libero,Almanya
355,Eyjólfur Sverrisson,Stuttgart,1992,Ön Libero,İzlanda
503,Oliver Otto,Stuttgart,1992,Ön Libero,Almanya
3,Andreas Buck,Stuttgart,1992,Orta Saha Sağ,Almanya
474,Ludwig Kögl,Stuttgart,1992,Orta Saha Sol,Almanya
9320,Maurizio Gaudino,Stuttgart,1992,On Numara,Almanya
17953,André Golke,Stuttgart,1992,On Numara,Almanya
546,Markus Beierle,Stuttgart,1992,Santrafor,Almanya
12406,Fritz Walter,Stuttgart,1992,Santrafor,Almanya
81280,Adrian Knup,Stuttgart,1992,Santrafor,İsviçre
97202,Marcus Ziegler,Stuttgart,1992,Forvet,Almanya
987,Harald Ebertz,Stuttgart,1993,Kaleci,Almanya
162,Marc Ziegler,Stuttgart,1993,Kaleci,Almanya
615,Eberhard Trautner,Stuttgart,1993,Kaleci,Almanya
73587,Eike Immel,Stuttgart,1993,Kaleci,Almanya
97105,Slobodan Dubajic,Stuttgart,1993,Libero,Sırbistan
452,Uwe Schneider,Stuttgart,1993,Stoper,Almanya
593,Jochen Endreß,Stuttgart,1993,Stoper,Almanya
609,Thomas Schneider,Stuttgart,1993,Stoper,Almanya
57,Thomas Berthold,Stuttgart,1993,Stoper,Almanya
443,Torsten Kracht,Stuttgart,1993,Stoper,Almanya
486,Alexander Strehmel,Stuttgart,1993,Stoper,Almanya
14833,Günther Schäfer,Stuttgart,1993,Stoper,Almanya
79561,Guido Buchwald,Stuttgart,1993,Stoper,Almanya
1852,Michael Bochtler,Stuttgart,1993,Sol Bek,Almanya
77398,Michael Frontzeck,Stuttgart,1993,Sol Bek,Almanya
938,Marc Kienle,Stuttgart,1993,Sağ Bek,Almanya
221,Thomas Strunz,Stuttgart,1993,Ön Libero,Almanya
355,Eyjólfur Sverrisson,Stuttgart,1993,Ön Libero,İzlanda
503,Oliver Otto,Stuttgart,1993,Ön Libero,Almanya
96342,Dunga,Stuttgart,1993,Ön Libero,Brezilya
3,Andreas Buck,Stuttgart,1993,Orta Saha Sağ,Almanya
474,Ludwig Kögl,Stuttgart,1993,Orta Saha Sol,Almanya
66,Thomas Brdaric,Stuttgart,1993,Santrafor,Almanya
2264,Sascha Maier,Stuttgart,1993,Forvet,Almanya
6607,Axel Kruse,Stuttgart,1993,Santrafor,Almanya
12406,Fritz Walter,Stuttgart,1993,Santrafor,Almanya
81280,Adrian Knup,Stuttgart,1993,Santrafor,İsviçre
97202,Marcus Ziegler,Stuttgart,1993,Forvet,Almanya
162,Marc Ziegler,Stuttgart,1994,Kaleci,Almanya
615,Eberhard Trautner,Stuttgart,1994,Kaleci,Almanya
73587,Eike Immel,Stuttgart,1994,Kaleci,Almanya
40461,Franco Foda,Stuttgart,1994,Libero,Almanya
97105,Slobodan Dubajic,Stuttgart,1994,Libero,Sırbistan
181895,Jochen Ruta,Stuttgart,1994,Defans,Almanya
593,Jochen Endreß,Stuttgart,1994,Stoper,Almanya
609,Thomas Schneider,Stuttgart,1994,Stoper,Almanya
6133,Frank Posch,Stuttgart,1994,Stoper,Almanya
57,Thomas Berthold,Stuttgart,1994,Stoper,Almanya
14833,Günther Schäfer,Stuttgart,1994,Stoper,Almanya
97081,Joseph Addo,Stuttgart,1994,Stoper,Gana
1852,Michael Bochtler,Stuttgart,1994,Sol Bek,Almanya
1020,Mario Wildmann,Stuttgart,1994,Sağ Bek,Almanya
938,Marc Kienle,Stuttgart,1994,Sağ Bek,Almanya
221,Thomas Strunz,Stuttgart,1994,Ön Libero,Almanya
1521,Gerhard Poschner,Stuttgart,1994,Ön Libero,Almanya
96342,Dunga,Stuttgart,1994,Ön Libero,Brezilya
3,Andreas Buck,Stuttgart,1994,Orta Saha Sağ,Almanya
621,Ante Covic,Stuttgart,1994,Orta Saha Sağ,Hırvatistan
330,Michél Dinzey,Stuttgart,1994,Orta Saha Sol,Kongo DC
474,Ludwig Kögl,Stuttgart,1994,Orta Saha Sol,Almanya
66,Thomas Brdaric,Stuttgart,1994,Santrafor,Almanya
104,Fredi Bobic,Stuttgart,1994,Santrafor,Almanya
198,Giovane Élber,Stuttgart,1994,Santrafor,Brezilya
2264,Sascha Maier,Stuttgart,1994,Forvet,Almanya
5032,Suat Türker,Stuttgart,1994,Santrafor,Türkiye
6607,Axel Kruse,Stuttgart,1994,Santrafor,Almanya
22929,Helgi Sigurdsson,Stuttgart,1994,Santrafor,İzlanda
97202,Marcus Ziegler,Stuttgart,1994,Forvet,Almanya
126022,Armin Fischer,Stuttgart,1995,Kaleci,Almanya
615,Eberhard Trautner,Stuttgart,1995,Kaleci,Almanya
162,Marc Ziegler,Stuttgart,1995,Kaleci,Almanya
97194,Thorsten Walther,Stuttgart,1995,Kaleci,Almanya
40461,Franco Foda,Stuttgart,1995,Libero,Almanya
97105,Slobodan Dubajic,Stuttgart,1995,Libero,Sırbistan
609,Thomas Schneider,Stuttgart,1995,Stoper,Almanya
593,Jochen Endreß,Stuttgart,1995,Stoper,Almanya
6133,Frank Posch,Stuttgart,1995,Stoper,Almanya
341,Hendrik Herzog,Stuttgart,1995,Stoper,Almanya
57,Thomas Berthold,Stuttgart,1995,Stoper,Almanya
541,Frank Verlaat,Stuttgart,1995,Stoper,Hollanda
14833,Günther Schäfer,Stuttgart,1995,Stoper,Almanya
1299,Marco Grimm,Stuttgart,1995,Stoper,Almanya
1852,Michael Bochtler,Stuttgart,1995,Sol Bek,Almanya
1020,Mario Wildmann,Stuttgart,1995,Sağ Bek,Almanya
469,Marco Haber,Stuttgart,1995,Ön Libero,Almanya
1521,Gerhard Poschner,Stuttgart,1995,Ön Libero,Almanya
481,Danny Schwarz,Stuttgart,1995,Ön Libero,Almanya
3,Andreas Buck,Stuttgart,1995,Orta Saha Sağ,Almanya
270,Thorsten Legat,Stuttgart,1995,Orta Saha Sol,Almanya
474,Ludwig Kögl,Stuttgart,1995,Orta Saha Sol,Almanya
11264,Tobias Büttner,Stuttgart,1995,On Numara,Almanya
584,Krasimir Balakov,Stuttgart,1995,On Numara,Bulgaristan
2360,Michael Oelkuch,Stuttgart,1995,On Numara,Almanya
198,Giovane Élber,Stuttgart,1995,Santrafor,Brezilya
104,Fredi Bobic,Stuttgart,1995,Santrafor,Almanya
6607,Axel Kruse,Stuttgart,1995,Santrafor,Almanya
1553,Radoslaw Gilewicz,Stuttgart,1995,Santrafor,Polonya
22929,Helgi Sigurdsson,Stuttgart,1995,Santrafor,İzlanda
2264,Sascha Maier,Stuttgart,1995,Forvet,Almanya
97202,Marcus Ziegler,Stuttgart,1995,Forvet,Almanya
5032,Suat Türker,Stuttgart,1995,Santrafor,Türkiye
97194,Thorsten Walther,Stuttgart,1996,Kaleci,Almanya
126022,Armin Fischer,Stuttgart,1996,Kaleci,Almanya
78563,Franz Wohlfahrt,Stuttgart,1996,Kaleci,Avusturya
162,Marc Ziegler,Stuttgart,1996,Kaleci,Almanya
615,Eberhard Trautner,Stuttgart,1996,Kaleci,Almanya
40461,Franco Foda,Stuttgart,1996,Libero,Almanya
609,Thomas Schneider,Stuttgart,1996,Stoper,Almanya
593,Jochen Endreß,Stuttgart,1996,Stoper,Almanya
6133,Frank Posch,Stuttgart,1996,Stoper,Almanya
341,Hendrik Herzog,Stuttgart,1996,Stoper,Almanya
57,Thomas Berthold,Stuttgart,1996,Stoper,Almanya
541,Frank Verlaat,Stuttgart,1996,Stoper,Hollanda
14833,Günther Schäfer,Stuttgart,1996,Stoper,Almanya
1299,Marco Grimm,Stuttgart,1996,Stoper,Almanya
1852,Michael Bochtler,Stuttgart,1996,Sol Bek,Almanya
683,Thomas Kies,Stuttgart,1996,Sağ Bek,Almanya
469,Marco Haber,Stuttgart,1996,Ön Libero,Almanya
481,Danny Schwarz,Stuttgart,1996,Ön Libero,Almanya
1521,Gerhard Poschner,Stuttgart,1996,Ön Libero,Almanya
610,Zvonimir Soldo,Stuttgart,1996,Ön Libero,Hırvatistan
3386,Sébastien Fournier,Stuttgart,1996,Ön Libero,İsviçre
798,Matthias Hagner,Stuttgart,1996,Orta Saha Sağ,Almanya
3,Andreas Buck,Stuttgart,1996,Orta Saha Sağ,Almanya
591,Kristijan Djordjevic,Stuttgart,1996,Orta Saha Sağ,Sırbistan
270,Thorsten Legat,Stuttgart,1996,Orta Saha Sol,Almanya
584,Krasimir Balakov,Stuttgart,1996,On Numara,Bulgaristan
2360,Michael Oelkuch,Stuttgart,1996,On Numara,Almanya
604,Krisztián Lisztes,Stuttgart,1996,On Numara,Macaristan
22929,Helgi Sigurdsson,Stuttgart,1996,Santrafor,İzlanda
