OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
4137,Ian Walker,Tottenham,1990,Kaleci,İngiltere
97270,Erik Thorstvedt,Tottenham,1990,Kaleci,Norveç
3268,Gudni Bergsson,Tottenham,1990,Stoper,İzlanda
109493,Gary Mabbutt,Tottenham,1990,Stoper,İngiltere
117191,Terry Fenwick,Tottenham,1990,Stoper,İngiltere
104106,Chris Hughton,Tottenham,1990,Sol Bek,İrlanda
3830,Paul Gascoigne,Tottenham,1990,On Numara,İngiltere
22256,Gary Lineker,Tottenham,1990,Santrafor,İngiltere
4137,Ian Walker,Tottenham,1991,Kaleci,İngiltere
97270,Erik Thorstvedt,Tottenham,1991,Kaleci,Norveç
3268,Gudni Bergsson,Tottenham,1991,Stoper,İzlanda
109493,Gary Mabbutt,Tottenham,1991,Stoper,İngiltere
117191,Terry Fenwick,Tottenham,1991,Stoper,İngiltere
222742,Steve Sedgley,Tottenham,1991,Stoper,İngiltere
104903,Justin Edinburgh,Tottenham,1991,Sol Bek,İngiltere
177254,Pat Van Den Hauwe,Tottenham,1991,Sol Bek,Galler
365940,Scott Houghton,Tottenham,1991,Orta Saha,İngiltere
7711,Vinny Samways,Tottenham,1991,Merkez Orta Saha,İngiltere
109492,David Howells,Tottenham,1991,Merkez Orta Saha,İngiltere
184495,Nayim,Tottenham,1991,Merkez Orta Saha,İspanya
222253,Paul Allen,Tottenham,1991,Merkez Orta Saha,İngiltere
3830,Paul Gascoigne,Tottenham,1991,On Numara,İngiltere
229830,Paul Moran,Tottenham,1991,Sağ Kanat,İngiltere
22256,Gary Lineker,Tottenham,1991,Santrafor,İngiltere
101129,Gordon Durie,Tottenham,1991,Santrafor,İskoçya
145778,Paul Stewart,Tottenham,1991,Santrafor,İngiltere
202797,Paul Walsh,Tottenham,1991,Santrafor,İngiltere
4137,Ian Walker,Tottenham,1992,Kaleci,İngiltere
97270,Erik Thorstvedt,Tottenham,1992,Kaleci,Norveç
238049,Kevin Dearden,Tottenham,1992,Kaleci,İngiltere
71885,Paul Moran,Tottenham,1992,Defans,Amerika Birleşik Devletleri
3198,Sol Campbell,Tottenham,1992,Stoper,İngiltere
3268,Gudni Bergsson,Tottenham,1992,Stoper,İzlanda
3487,Neil Ruddock,Tottenham,1992,Stoper,İngiltere
13595,Stuart Nethercott,Tottenham,1992,Stoper,İngiltere
109493,Gary Mabbutt,Tottenham,1992,Stoper,İngiltere
117191,Terry Fenwick,Tottenham,1992,Stoper,İngiltere
176789,Jason Cundy,Tottenham,1992,Stoper,İngiltere
195615,Dave Tuttle,Tottenham,1992,Stoper,İngiltere
222742,Steve Sedgley,Tottenham,1992,Stoper,İngiltere
104903,Justin Edinburgh,Tottenham,1992,Sol Bek,İngiltere
