OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
299714,Vukasin Petranovic,Trabzonspor,1990,Kaleci,Karadağ
358928,Levent Zorluer,Trabzonspor,1990,Kaleci,Türkiye
596414,Kenan Sivrikaya,Trabzonspor,1990,Kaleci,Türkiye
114991,Hamdi Aslan,Trabzonspor,1990,Libero,Türkiye
6932,Ogün Temizkanoğlu,Trabzonspor,1990,Stoper,Türkiye
115908,Kemal Serdar,Trabzonspor,1990,Stoper,Türkiye
358931,Mehmet Soykök,Trabzonspor,1990,Sol Bek,Türkiye
336217,İsmail Gökçek,Trabzonspor,1990,Sağ Bek,Türkiye
358930,Şeyhmus Suna,Trabzonspor,1990,Sağ Bek,Türkiye
114998,Lemi Çelik,Trabzonspor,1990,Ön Libero,Türkiye
576532,Kamil Ustaömer,Trabzonspor,1990,Ön Libero,Türkiye
598050,Rıfat Karahan,Trabzonspor,1990,Orta Saha,Türkiye
598396,Coşkun Yılmaz,Trabzonspor,1990,Ön Libero,Türkiye
358947,Turgut Uçar,Trabzonspor,1990,Merkez Orta Saha,Türkiye
114997,Soner Boz,Trabzonspor,1990,Orta Saha Sağ,Türkiye
7236,Abdullah Ercan,Trabzonspor,1990,Orta Saha Sol,Türkiye
103796,Orhan Çıkırıkçı,Trabzonspor,1990,Orta Saha Sol,Türkiye
115016,Ünal Karaman,Trabzonspor,1990,On Numara,Türkiye
84880,Hami Mandıralı,Trabzonspor,1990,Santrafor,Türkiye
358932,Milonja Djukic,Trabzonspor,1990,Santrafor,Sırbistan
577744,Sinan Bayraktar,Trabzonspor,1990,Santrafor,Türkiye
598144,Ahmet Korkmaz,Trabzonspor,1990,Santrafor,Türkiye
598598,İlker Erdem,Trabzonspor,1990,Santrafor,Türkiye
299714,Vukasin Petranovic,Trabzonspor,1991,Kaleci,Karadağ
324061,Mahir Günok,Trabzonspor,1991,Kaleci,Türkiye
358928,Levent Zorluer,Trabzonspor,1991,Kaleci,Türkiye
101299,Lars Olsen,Trabzonspor,1991,Libero,Danimarka
114991,Hamdi Aslan,Trabzonspor,1991,Libero,Türkiye
6932,Ogün Temizkanoğlu,Trabzonspor,1991,Stoper,Türkiye
115908,Kemal Serdar,Trabzonspor,1991,Stoper,Türkiye
358931,Mehmet Soykök,Trabzonspor,1991,Sol Bek,Türkiye
336217,İsmail Gökçek,Trabzonspor,1991,Sağ Bek,Türkiye
358930,Şeyhmus Suna,Trabzonspor,1991,Sağ Bek,Türkiye
371022,Erkan Sözeri,Trabzonspor,1991,Sağ Bek,Türkiye
114998,Lemi Çelik,Trabzonspor,1991,Ön Libero,Türkiye
115912,Tarık Yurttaş,Trabzonspor,1991,Ön Libero,Türkiye
576532,Kamil Ustaömer,Trabzonspor,1991,Ön Libero,Türkiye
598050,Rıfat Karahan,Trabzonspor,1991,Orta Saha,Türkiye
598396,Coşkun Yılmaz,Trabzonspor,1991,Ön Libero,Türkiye
621738,Mehmet Ekmekçi,Trabzonspor,1991,Orta Saha,Türkiye
358947,Turgut Uçar,Trabzonspor,1991,Merkez Orta Saha,Türkiye
114997,Soner Boz,Trabzonspor,1991,Orta Saha Sağ,Türkiye
7236,Abdullah Ercan,Trabzonspor,1991,Orta Saha Sol,Türkiye
103796,Orhan Çıkırıkçı,Trabzonspor,1991,Orta Saha Sol,Türkiye
115016,Ünal Karaman,Trabzonspor,1991,On Numara,Türkiye
84880,Hami Mandıralı,Trabzonspor,1991,Santrafor,Türkiye
115000,Jacek Cyzio,Trabzonspor,1991,Santrafor,Polonya
599535,Nail Uğur Timurcioğlu,Trabzonspor,1991,Santrafor,Türkiye
115910,Ramazan Silin,Trabzonspor,1992,Kaleci,Türkiye
116169,Viktor Gryshko,Trabzonspor,1992,Kaleci,Ukrayna
