OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
892259,Dominique Michel,Union Saint-Gilloise,1991,Kaleci,Belçika
960363,Danny Ost,Union Saint-Gilloise,1991,Defans,Belçika
1045400,Freddy Vanbeginne,Union Saint-Gilloise,1991,Defans,Belçika
1071918,Pascal Jouret,Union Saint-Gilloise,1991,Defans,Belçika
960364,Philippe Hereng,Union Saint-Gilloise,1991,Orta Saha,Belçika
1047960,François Sanchez-Castro,Union Saint-Gilloise,1991,Orta Saha,Belçika
1071648,Patrick Luyten,Union Saint-Gilloise,1991,Orta Saha,Belçika
1071917,Pietro di Sciacca,Union Saint-Gilloise,1991,Orta Saha,İtalya
1071919,Moussa Koulibaly,Union Saint-Gilloise,1991,Orta Saha,Belçika
1071920,Didier Wesse,Union Saint-Gilloise,1991,Orta Saha,Belçika
954923,Bienvenu Mandungu Boyata,Union Saint-Gilloise,1991,Forvet,Kongo DC
1023805,Jean-Pascal Flament,Union Saint-Gilloise,1991,Forvet,Belçika
1071916,Bart Van Santen,Union Saint-Gilloise,1991,Forvet,Belçika
892259,Dominique Michel,Union Saint-Gilloise,1992,Kaleci,Belçika
846979,Valeriy Andreev,Union Saint-Gilloise,1992,Defans,Rusya
944932,Luc Limpens,Union Saint-Gilloise,1992,Defans,Belçika
944933,Hervé Godtbill,Union Saint-Gilloise,1992,Defans,Belçika
960363,Danny Ost,Union Saint-Gilloise,1992,Defans,Belçika
960365,Didier Fierin,Union Saint-Gilloise,1992,Defans,Belçika
1071918,Pascal Jouret,Union Saint-Gilloise,1992,Defans,Belçika
1072045,Thierry Moraux,Union Saint-Gilloise,1992,Defans,Belçika
1071648,Patrick Luyten,Union Saint-Gilloise,1992,Orta Saha,Belçika
1071917,Pietro di Sciacca,Union Saint-Gilloise,1992,Orta Saha,İtalya
1072046,Branco Okic-Stjepana,Union Saint-Gilloise,1992,Orta Saha,Yugoslavia (SFR)
750616,Sergey Zhokhov,Union Saint-Gilloise,1992,Forvet,Rusya
954923,Bienvenu Mandungu Boyata,Union Saint-Gilloise,1992,Forvet,Kongo DC
892259,Dominique Michel,Union Saint-Gilloise,1993,Kaleci,Belçika
960331,Alain Kistenborgh,Union Saint-Gilloise,1993,Defans,Belçika
960363,Danny Ost,Union Saint-Gilloise,1993,Defans,Belçika
960365,Didier Fierin,Union Saint-Gilloise,1993,Defans,Belçika
663369,Albert Wouters,Union Saint-Gilloise,1993,Stoper,Belçika
957546,Frederic Empain,Union Saint-Gilloise,1993,Orta Saha,Belçika
960330,Alex Waes,Union Saint-Gilloise,1993,Orta Saha,Belçika
960364,Philippe Hereng,Union Saint-Gilloise,1993,Orta Saha,Belçika
960366,Mohamed El Majaoui,Union Saint-Gilloise,1993,Orta Saha,Belçika
204028,Aristide Amouzoud,Union Saint-Gilloise,1993,Forvet,Kongo
954923,Bienvenu Mandungu Boyata,Union Saint-Gilloise,1993,Forvet,Kongo DC
960313,Pascal Knaepen,Union Saint-Gilloise,1993,Forvet,Belçika
960314,Thierry Dailly,Union Saint-Gilloise,1993,Forvet,Belçika
414732,Pedro Jose Gomez Vadillo,Union Saint-Gilloise,1996,Kaleci,İspanya
1227955,Xavier Bravo Garcia,Union Saint-Gilloise,1996,Kaleci,Belçika
20331,Jules M'Bayoko,Union Saint-Gilloise,1996,Defans,Belçika
414498,Alain Van Lint,Union Saint-Gilloise,1996,Defans,Belçika
944933,Hervé Godtbill,Union Saint-Gilloise,1996,Defans,Belçika
960365,Didier Fierin,Union Saint-Gilloise,1996,Defans,Belçika
1233688,Miguel Atilio,Union Saint-Gilloise,1996,Defans,Belçika
1233691,Mirko De Laurentius,Union Saint-Gilloise,1996,Defans,Belçika
1433445,Denis Berckmans,Union Saint-Gilloise,1996,Defans,Belçika
663369,Albert Wouters,Union Saint-Gilloise,1996,Stoper,Belçika
142565,Branko Karacic,Union Saint-Gilloise,1996,Orta Saha,Hırvatistan
415008,Michel Delph,Union Saint-Gilloise,1996,Orta Saha,Belçika
416157,Roger Henuset,Union Saint-Gilloise,1996,Orta Saha,Belçika
947620,Frédéric Marteaux,Union Saint-Gilloise,1996,Orta Saha,Belçika
1227956,Denis Janssens,Union Saint-Gilloise,1996,Orta Saha,Belçika
1227957,Laurens Laevers,Union Saint-Gilloise,1996,Orta Saha,Belçika
1227959,Thierno Mamadou Sow,Union Saint-Gilloise,1996,Orta Saha,Gine
1233690,Yves Cums,Union Saint-Gilloise,1996,Ön Libero,Belçika
