OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
365084,Vicente Latorre,Villareal,1990,Orta Saha,İspanya
273565,Fernando Maestre,Villareal,1991,Sol Bek,İspanya
276637,Antonio Reyes,Villareal,1991,Orta Saha,İspanya
314799,Víctor Salvador,Villareal,1991,Orta Saha,İspanya
365084,Vicente Latorre,Villareal,1991,Orta Saha,İspanya
273476,Pedro Alcañiz,Villareal,1991,Forvet,İspanya
462527,José Antonio Navarro,Villareal,1992,Kaleci,İspanya
292387,Luis Pascual,Villareal,1992,Kaleci,İspanya
311026,Alfonso Verdés,Villareal,1992,Kaleci,İspanya
273468,Jesús Ibeas,Villareal,1992,Defans,İspanya
314787,Alfredo,Villareal,1992,Defans,İspanya
581967,Julio Pérez,Villareal,1992,Defans,İspanya
581973,Rafael Madueño,Villareal,1992,Defans,İspanya
972169,Estanis Salvador,Villareal,1992,Defans,İspanya
462532,Javi López,Villareal,1992,Stoper,İspanya
581969,Manuel Guijarro,Villareal,1992,Stoper,İspanya
273565,Fernando Maestre,Villareal,1992,Sol Bek,İspanya
254073,Pascual Llopis,Villareal,1992,Sağ Bek,İspanya
582605,Julio Algar,Villareal,1992,Sağ Bek,İspanya
353237,José Cuxart,Villareal,1992,Ön Libero,İspanya
276637,Antonio Reyes,Villareal,1992,Orta Saha,İspanya
314799,Víctor Salvador,Villareal,1992,Orta Saha,İspanya
581898,Planelles,Villareal,1992,Orta Saha,İspanya
1391909,Juan Romero,Villareal,1992,Orta Saha,İspanya
250990,Cyrille Makanaky,Villareal,1992,On Numara,Kamerun
273476,Pedro Alcañiz,Villareal,1992,Forvet,İspanya
363163,Adriano García,Villareal,1992,Forvet,İspanya
581893,Sebastián Nadal,Villareal,1992,Santrafor,İspanya
581971,José Luis Mateu,Villareal,1992,Forvet,İspanya
581972,Edu Arnau,Villareal,1992,Forvet,İspanya
462527,José Antonio Navarro,Villareal,1993,Kaleci,İspanya
7485,José Francisco Molina,Villareal,1993,Kaleci,İspanya
292387,Luis Pascual,Villareal,1993,Kaleci,İspanya
1082314,Vicente Aliaga,Villareal,1993,Kaleci,İspanya
353230,Juan José Juárez,Villareal,1993,Defans,İspanya
582160,Andrés Olaya,Villareal,1993,Defans,Fransa
1385024,Javi Moro,Villareal,1993,Defans,İspanya
1082881,Sebas Gómez,Villareal,1993,Stoper,İspanya
462532,Javi López,Villareal,1993,Stoper,İspanya
273565,Fernando Maestre,Villareal,1993,Sol Bek,İspanya
254073,Pascual Llopis,Villareal,1993,Sağ Bek,İspanya
581934,Russet,Villareal,1993,Sağ Bek,İspanya
353237,José Cuxart,Villareal,1993,Ön Libero,İspanya
581898,Planelles,Villareal,1993,Orta Saha,İspanya
656192,Francisco Javier Cornago,Villareal,1993,Orta Saha,İspanya
767263,Ricardo Sanz,Villareal,1993,Orta Saha,İspanya
975923,Juan Carlos Eres,Villareal,1993,Orta Saha,İspanya
975924,José Luis Zandio,Villareal,1993,Orta Saha,İspanya
200753,Mikel Loinaz,Villareal,1993,Santrafor,İspanya
273476,Pedro Alcañiz,Villareal,1993,Forvet,İspanya
581972,Edu Arnau,Villareal,1993,Forvet,İspanya
582550,Javi Melián,Villareal,1993,Forvet,İspanya
8210,Javier Sánchez Broto,Villareal,1994,Kaleci,İspanya
292387,Luis Pascual,Villareal,1994,Kaleci,İspanya
462532,Javi López,Villareal,1994,Stoper,İspanya
766010,Higinio Camarasa,Villareal,1994,Stoper,İspanya
1038797,Antonio Manuel Dasí,Villareal,1994,Stoper,İspanya
71906,Samuel Barrio,Villareal,1994,Sol Bek,İspanya
273565,Fernando Maestre,Villareal,1994,Sol Bek,İspanya
254073,Pascual Llopis,Villareal,1994,Sağ Bek,İspanya
581934,Russet,Villareal,1994,Sağ Bek,İspanya
353237,José Cuxart,Villareal,1994,Ön Libero,İspanya
273562,Juan Carlos Justes,Villareal,1994,Orta Saha,İspanya
314817,Jordi Vinyals,Villareal,1994,Orta Saha,İspanya
355276,Alberto Solaeta,Villareal,1994,Orta Saha,İspanya
581898,Planelles,Villareal,1994,Orta Saha,İspanya
656192,Francisco Javier Cornago,Villareal,1994,Orta Saha,İspanya
975924,José Luis Zandio,Villareal,1994,Orta Saha,İspanya
51366,Alexandre,Villareal,1994,On Numara,Brezilya
184502,Jesús Seba,Villareal,1994,Forvet Arkası,İspanya
222942,Raúl dos Santos,Villareal,1994,Santrafor,Uruguay
356748,Jesús García-Pitarch,Villareal,1994,Forvet,İspanya
505959,Ricky,Villareal,1994,Forvet,İspanya
1038798,David Chumillas,Villareal,1994,Forvet,İspanya
292387,Luis Pascual,Villareal,1995,Kaleci,İspanya
8210,Javier Sánchez Broto,Villareal,1995,Kaleci,İspanya
1386022,Alberto,Villareal,1995,Defans,İspanya
102018,Miodrag Belodedici,Villareal,1995,Libero,Romanya
462532,Javi López,Villareal,1995,Stoper,İspanya
1038797,Antonio Manuel Dasí,Villareal,1995,Stoper,İspanya
292388,Pepe Serer,Villareal,1995,Stoper,İspanya
273565,Fernando Maestre,Villareal,1995,Sol Bek,İspanya
71906,Samuel Barrio,Villareal,1995,Sol Bek,İspanya
254073,Pascual Llopis,Villareal,1995,Sağ Bek,İspanya
567201,Iván Parra,Villareal,1995,Orta Saha,İspanya
593723,Javier Claut,Villareal,1995,Orta Saha,Arjantin
656192,Francisco Javier Cornago,Villareal,1995,Orta Saha,İspanya
975924,José Luis Zandio,Villareal,1995,Orta Saha,İspanya
1386030,Pedro Cañada,Villareal,1995,Orta Saha,İspanya
273562,Juan Carlos Justes,Villareal,1995,Orta Saha,İspanya
314817,Jordi Vinyals,Villareal,1995,Orta Saha,İspanya
353416,Nebojsa Scepanovic,Villareal,1995,Orta Saha,Karadağ
355276,Alberto Solaeta,Villareal,1995,Orta Saha,İspanya
7995,Carlos Isach,Villareal,1995,Orta Saha,İspanya
215590,Robert Fernández,Villareal,1995,Merkez Orta Saha,İspanya
51366,Alexandre,Villareal,1995,On Numara,Brezilya
222942,Raúl dos Santos,Villareal,1995,Santrafor,Uruguay
356748,Jesús García-Pitarch,Villareal,1995,Forvet,İspanya
505959,Ricky,Villareal,1995,Forvet,İspanya
1386029,Diego Seoane,Villareal,1995,Forvet,Uruguay
276634,Antonio Puche,Villareal,1995,Forvet,İspanya
292387,Luis Pascual,Villareal,1996,Kaleci,İspanya
8210,Javier Sánchez Broto,Villareal,1996,Kaleci,İspanya
582181,Fernández Cuesta,Villareal,1996,Defans,İspanya
7833,Quique Medina,Villareal,1996,Stoper,İspanya
292388,Pepe Serer,Villareal,1996,Stoper,İspanya
721128,Rúbem Rocha,Villareal,1996,Sol Bek,Brezilya
648352,Óscar Valle,Villareal,1996,Sol Bek,İspanya
254073,Pascual Llopis,Villareal,1996,Sağ Bek,İspanya
253542,Antonio Díaz,Villareal,1996,Ön Libero,İspanya
8320,José Vicente Simeón,Villareal,1996,Ön Libero,İspanya
503716,José Soto,Villareal,1996,Orta Saha,İspanya
567201,Iván Parra,Villareal,1996,Orta Saha,İspanya
253918,Rafa Navarro,Villareal,1996,Orta Saha,İspanya
273477,Carlos Arroyo,Villareal,1996,Orta Saha,İspanya
7575,David Albelda,Villareal,1996,Ön Libero,İspanya
57668,Fernando,Villareal,1996,Merkez Orta Saha,Brezilya
215590,Robert Fernández,Villareal,1996,Merkez Orta Saha,İspanya
293006,Javi Prats,Villareal,1996,Orta Saha Sağ,İspanya
294160,Javi Sanchis,Villareal,1996,Orta Saha Sol,İspanya
51366,Alexandre,Villareal,1996,On Numara,Brezilya
7579,Miguel Ángel Angulo,Villareal,1996,Forvet Arkası,İspanya
1036196,Santi París,Villareal,1996,Forvet,İspanya
1038798,David Chumillas,Villareal,1996,Forvet,İspanya
253503,Paco Salillas,Villareal,1996,Santrafor,İspanya
13123,Evando,Villareal,1996,Santrafor,Brezilya
292387,Luis Pascual,Villareal,1997,Kaleci,İspanya
7563,Andrés Palop,Villareal,1997,Kaleci,İspanya
1084698,Sergio Frías,Villareal,1997,Defans,İspanya
7833,Quique Medina,Villareal,1997,Stoper,İspanya
72307,Óscar Jornet,Villareal,1997,Stoper,İspanya
292388,Pepe Serer,Villareal,1997,Stoper,İspanya
253928,Aitor Arregui,Villareal,1997,Sol Bek,İspanya
254073,Pascual Llopis,Villareal,1997,Sağ Bek,İspanya
154615,Andoni Lakabeg,Villareal,1997,Sağ Bek,İspanya
253542,Antonio Díaz,Villareal,1997,Ön Libero,İspanya
503716,José Soto,Villareal,1997,Orta Saha,İspanya
567201,Iván Parra,Villareal,1997,Orta Saha,İspanya
273477,Carlos Arroyo,Villareal,1997,Orta Saha,İspanya
217596,Goran Milojevic,Villareal,1997,Merkez Orta Saha,Sırbistan
215590,Robert Fernández,Villareal,1997,Merkez Orta Saha,İspanya
7984,Iñaki Hurtado,Villareal,1997,Orta Saha Sağ,İspanya
293006,Javi Prats,Villareal,1997,Orta Saha Sağ,İspanya
292376,Ángel Luis,Villareal,1997,Orta Saha Sağ,İspanya
294160,Javi Sanchis,Villareal,1997,Orta Saha Sol,İspanya
637964,Edison Mafla,Villareal,1997,On Numara,Kolombiya
51366,Alexandre,Villareal,1997,On Numara,Brezilya
253502,Alberto Saavedra,Villareal,1997,On Numara,İspanya
67101,Ilshat Fayzullin,Villareal,1997,Santrafor,Rusya
253503,Paco Salillas,Villareal,1997,Santrafor,İspanya
253548,Nico Hernández,Villareal,1997,Forvet,Uruguay
722,Thomas Christiansen,Villareal,1997,Santrafor,İspanya
7967,César Laínez,Villareal,1998,Kaleci,İspanya
292387,Luis Pascual,Villareal,1998,Kaleci,İspanya
7563,Andrés Palop,Villareal,1998,Kaleci,İspanya
71752,Garikoitz Basauri,Villareal,1998,Kaleci,İspanya
29194,Igor Tasevski,Villareal,1998,Stoper,Sırbistan
7833,Quique Medina,Villareal,1998,Stoper,İspanya
29078,Óscar Téllez,Villareal,1998,Stoper,İspanya
292388,Pepe Serer,Villareal,1998,Stoper,İspanya
26665,Marius Iordache,Villareal,1998,Sol Bek,Romanya
253928,Aitor Arregui,Villareal,1998,Sol Bek,İspanya
254073,Pascual Llopis,Villareal,1998,Sağ Bek,İspanya
200734,Imanol Alguacil,Villareal,1998,Sağ Bek,İspanya
7783,Gerardo García,Villareal,1998,Sağ Bek,İspanya
253542,Antonio Díaz,Villareal,1998,Ön Libero,İspanya
17369,Sandro Mendes,Villareal,1998,Ön Libero,Yeşil Burun Adaları
7575,David Albelda,Villareal,1998,Ön Libero,İspanya
184500,Jesús García Sanjuán,Villareal,1998,Merkez Orta Saha,İspanya
215590,Robert Fernández,Villareal,1998,Merkez Orta Saha,İspanya
36007,Zeljko Kalajdzic,Villareal,1998,Merkez Orta Saha,Sırbistan
293006,Javi Prats,Villareal,1998,Orta Saha Sağ,İspanya
292376,Ángel Luis,Villareal,1998,Orta Saha Sağ,İspanya
294160,Javi Sanchis,Villareal,1998,Orta Saha Sol,İspanya
53751,Walter Gaitán,Villareal,1998,On Numara,Arjantin
253502,Alberto Saavedra,Villareal,1998,On Numara,İspanya
23019,Gică Craioveanu,Villareal,1998,Santrafor,Romanya
253503,Paco Salillas,Villareal,1998,Santrafor,İspanya
722,Thomas Christiansen,Villareal,1998,Santrafor,İspanya
221878,Manolo Alfaro,Villareal,1998,Santrafor,İspanya
7716,Moisés García,Villareal,1998,Santrafor,İspanya
7824,Javier López Vallejo,Villareal,1999,Kaleci,İspanya
64421,Jesús Unanua,Villareal,1999,Kaleci,İspanya
88487,José Manuel Roca,Villareal,1999,Kaleci,İspanya
29194,Igor Tasevski,Villareal,1999,Stoper,Sırbistan
1006257,Carlos Vila,Villareal,1999,Stoper,İspanya
292388,Pepe Serer,Villareal,1999,Stoper,İspanya
7833,Quique Medina,Villareal,1999,Stoper,İspanya
70965,Jaime Ramos,Villareal,1999,Stoper,İspanya
71755,Iñaki Berruet,Villareal,1999,Stoper,İspanya
75690,Carlos Pérez,Villareal,1999,Stoper,İspanya
253928,Aitor Arregui,Villareal,1999,Sol Bek,İspanya
254073,Pascual Llopis,Villareal,1999,Sağ Bek,İspanya
200734,Imanol Alguacil,Villareal,1999,Sağ Bek,İspanya
7783,Gerardo García,Villareal,1999,Sağ Bek,İspanya
7836,Jesús Galván,Villareal,1999,Sağ Bek,İspanya
7884,Xavi Roca,Villareal,1999,Sağ Bek,İspanya
576423,Sergio Flamarique Vinues,Villareal,1999,Orta Saha,İspanya
172656,Javi Gracia,Villareal,1999,Ön Libero,İspanya
70943,Raul Caballero,Villareal,1999,Ön Libero,İspanya
7995,Carlos Isach,Villareal,1999,Orta Saha,İspanya
7581,Dennis Șerban,Villareal,1999,Merkez Orta Saha,Romanya
54764,Xavi Jiménez,Villareal,1999,Merkez Orta Saha,İspanya
19950,Diego Cagna,Villareal,1999,Orta Saha Sağ,Arjantin
294160,Javi Sanchis,Villareal,1999,Orta Saha Sol,İspanya
7842,Javier Calleja,Villareal,1999,Orta Saha Sol,İspanya
53751,Walter Gaitán,Villareal,1999,On Numara,Arjantin
8326,Líbero Parri,Villareal,1999,On Numara,İspanya
7844,Jorge López,Villareal,1999,Sağ Kanat,İspanya
23019,Gică Craioveanu,Villareal,1999,Santrafor,Romanya
7716,Moisés García,Villareal,1999,Santrafor,İspanya
221878,Manolo Alfaro,Villareal,1999,Santrafor,İspanya
7824,Javier López Vallejo,Villareal,2000,Kaleci,İspanya
64421,Jesús Unanua,Villareal,2000,Kaleci,İspanya
29194,Igor Tasevski,Villareal,2000,Stoper,Sırbistan
71755,Iñaki Berruet,Villareal,2000,Stoper,İspanya
7833,Quique Medina,Villareal,2000,Stoper,İspanya
70965,Jaime Ramos,Villareal,2000,Stoper,İspanya
7832,Quique Álvarez,Villareal,2000,Stoper,İspanya
7834,Unai Vergara,Villareal,2000,Stoper,İspanya
7827,Rodolfo Arruabarrena,Villareal,2000,Sol Bek,Arjantin
7836,Jesús Galván,Villareal,2000,Sağ Bek,İspanya
7884,Xavi Roca,Villareal,2000,Sağ Bek,İspanya
171884,David Galindo,Villareal,2000,Orta Saha,İspanya
172656,Javi Gracia,Villareal,2000,Ön Libero,İspanya
26198,Héctor Font,Villareal,2000,Merkez Orta Saha,İspanya
104046,Guillermo Amor,Villareal,2000,Merkez Orta Saha,İspanya
187794,Gustavo Barros Schelotto,Villareal,2000,Merkez Orta Saha,Arjantin
19950,Diego Cagna,Villareal,2000,Orta Saha Sağ,Arjantin
7842,Javier Calleja,Villareal,2000,Orta Saha Sol,İspanya
53751,Walter Gaitán,Villareal,2000,On Numara,Arjantin
184335,Gerard Escoda,Villareal,2000,Sol Kanat,İspanya
29465,Bruno Marioni,Villareal,2000,Sol Kanat,Arjantin
7844,Jorge López,Villareal,2000,Sağ Kanat,İspanya
23019,Gică Craioveanu,Villareal,2000,Santrafor,Romanya
7716,Moisés García,Villareal,2000,Santrafor,İspanya
7846,Víctor Fernández,Villareal,2000,Santrafor,İspanya
3412,Martín Palermo,Villareal,2000,Santrafor,Arjantin
187818,Iker Álvarez,Villareal,2001,Kaleci,İspanya
1079548,Sergio Morán,Villareal,2001,Kaleci,İspanya
7824,Javier López Vallejo,Villareal,2001,Kaleci,İspanya
64421,Jesús Unanua,Villareal,2001,Kaleci,İspanya
53245,Víctor Gutiérrez,Villareal,2001,Defans,Meksika
71755,Iñaki Berruet,Villareal,2001,Stoper,İspanya
7832,Quique Álvarez,Villareal,2001,Stoper,İspanya
7828,Sergio Ballesteros,Villareal,2001,Stoper,İspanya
7834,Unai Vergara,Villareal,2001,Stoper,İspanya
93045,Leo Bermejo,Villareal,2001,Sol Bek,İspanya
7827,Rodolfo Arruabarrena,Villareal,2001,Sol Bek,Arjantin
7836,Jesús Galván,Villareal,2001,Sağ Bek,İspanya
7884,Xavi Roca,Villareal,2001,Sağ Bek,İspanya
7835,Constantin Gâlcă,Villareal,2001,Ön Libero,Romanya
172656,Javi Gracia,Villareal,2001,Ön Libero,İspanya
104046,Guillermo Amor,Villareal,2001,Merkez Orta Saha,İspanya
19950,Diego Cagna,Villareal,2001,Orta Saha Sağ,Arjantin
7842,Javier Calleja,Villareal,2001,Orta Saha Sol,İspanya
184335,Gerard Escoda,Villareal,2001,Sol Kanat,İspanya
51493,Quique Martín,Villareal,2001,Sol Kanat,İspanya
7844,Jorge López,Villareal,2001,Sağ Kanat,İspanya
7843,Antonio Guayre,Villareal,2001,Sağ Kanat,İspanya
23019,Gică Craioveanu,Villareal,2001,Santrafor,Romanya
3412,Martín Palermo,Villareal,2001,Santrafor,Arjantin
8015,Juan Antonio Pizzi,Villareal,2001,Santrafor,İspanya
7846,Víctor Fernández,Villareal,2001,Santrafor,İspanya
7824,Javier López Vallejo,Villareal,2002,Kaleci,İspanya
64421,Jesús Unanua,Villareal,2002,Kaleci,İspanya
7825,Pepe Reina,Villareal,2002,Kaleci,İspanya
71755,Iñaki Berruet,Villareal,2002,Stoper,İspanya
7832,Quique Álvarez,Villareal,2002,Stoper,İspanya
7828,Sergio Ballesteros,Villareal,2002,Stoper,İspanya
7833,Quique Medina,Villareal,2002,Stoper,İspanya
7834,Unai Vergara,Villareal,2002,Stoper,İspanya
15798,César Arzo,Villareal,2002,Stoper,İspanya
7827,Rodolfo Arruabarrena,Villareal,2002,Sol Bek,Arjantin
7829,Juliano Belletti,Villareal,2002,Sağ Bek,Brezilya
