OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
1340793,Abdurrahman Yavuz Kalkan,Yeni Malatyaspor,1997,Santrafor,Türkiye
649550,Ali Kemal Arslan,Yeni Malatyaspor,1998,Kaleci,Türkiye
144611,Oktay Kahraman,Yeni Malatyaspor,1998,Stoper,Türkiye
952431,Şirzat Çoktur,Yeni Malatyaspor,1998,Stoper,Türkiye
101592,Tuncay Selçuk,Yeni Malatyaspor,1998,Orta Saha,Türkiye
826208,Metin Fırat,Yeni Malatyaspor,1998,Orta Saha,Türkiye
850820,Hakan Ertürk,Yeni Malatyaspor,1998,On Numara,Türkiye
826194,Metin Aydın,Yeni Malatyaspor,1998,Santrafor,Türkiye
1340793,Abdurrahman Yavuz Kalkan,Yeni Malatyaspor,1998,Santrafor,Türkiye
559953,Hakan Polat,Yeni Malatyaspor,1999,Kaleci,Türkiye
649550,Ali Kemal Arslan,Yeni Malatyaspor,1999,Kaleci,Türkiye
828135,Mehmet Balalan,Yeni Malatyaspor,1999,Kaleci,Türkiye
1542459,Zafer Yıldız,Yeni Malatyaspor,1999,Kaleci,Türkiye
1560048,Mehmet Süral,Yeni Malatyaspor,1999,Defans,Türkiye
1053382,Uskan Abdullah Bingöl,Yeni Malatyaspor,1999,Defans,Türkiye
1188768,Serdar Akkuş,Yeni Malatyaspor,1999,Defans,Türkiye
1560050,Erkan Kama,Yeni Malatyaspor,1999,Defans,Türkiye
144611,Oktay Kahraman,Yeni Malatyaspor,1999,Stoper,Türkiye
595291,Metin İlhan,Yeni Malatyaspor,1999,Stoper,Türkiye
828282,Rıza Açıkgöz,Yeni Malatyaspor,1999,Stoper,Türkiye
101592,Tuncay Selçuk,Yeni Malatyaspor,1999,Orta Saha,Türkiye
114908,Erkut Çağdaş,Yeni Malatyaspor,1999,Orta Saha,Türkiye
729144,Engin Beltekin,Yeni Malatyaspor,1999,Orta Saha,Türkiye
1542981,Zafer Yürek,Yeni Malatyaspor,1999,Orta Saha,Türkiye
1549108,Mehmet Altıok,Yeni Malatyaspor,1999,Orta Saha,Türkiye
1560051,Uğur Nal,Yeni Malatyaspor,1999,Orta Saha,Türkiye
850820,Hakan Ertürk,Yeni Malatyaspor,1999,On Numara,Türkiye
37232,Şehmus Özer,Yeni Malatyaspor,1999,Santrafor,Türkiye
656938,Erhan Koç,Yeni Malatyaspor,1999,Santrafor,Türkiye
672072,Yüksel Güler,Yeni Malatyaspor,1999,Forvet,Türkiye
729148,Sinan Alkış,Yeni Malatyaspor,1999,Forvet,Türkiye
826194,Metin Aydın,Yeni Malatyaspor,1999,Santrafor,Türkiye
1340793,Abdurrahman Yavuz Kalkan,Yeni Malatyaspor,1999,Santrafor,Türkiye
1560049,Şeyhmus Ay,Yeni Malatyaspor,1999,Forvet,Türkiye
672136,Fatih Çelik,Yeni Malatyaspor,2000,Kaleci,Türkiye
867153,Murat Uçkun,Yeni Malatyaspor,2000,Defans,Türkiye
1053382,Uskan Abdullah Bingöl,Yeni Malatyaspor,2000,Defans,Türkiye
1188768,Serdar Akkuş,Yeni Malatyaspor,2000,Defans,Türkiye
144611,Oktay Kahraman,Yeni Malatyaspor,2000,Stoper,Türkiye
583127,Yılmaz İşler,Yeni Malatyaspor,2000,Orta Saha,Türkiye
732611,Fikret Karakaş,Yeni Malatyaspor,2000,Forvet,Türkiye
826194,Metin Aydın,Yeni Malatyaspor,2000,Santrafor,Türkiye
1122553,Zafer Yavuz,Yeni Malatyaspor,2000,Forvet,Türkiye
1053369,Cihat Topgül,Yeni Malatyaspor,2001,Forvet,Türkiye
867153,Murat Uçkun,Yeni Malatyaspor,2002,Defans,Türkiye
829354,Ergün Albayrak,Yeni Malatyaspor,2002,Forvet,Türkiye
729144,Engin Beltekin,Yeni Malatyaspor,2003,Orta Saha,Türkiye
1050781,Ahmet Uslu,Yeni Malatyaspor,2004,Kaleci,Türkiye
1053382,Uskan Abdullah Bingöl,Yeni Malatyaspor,2004,Defans,Türkiye
729144,Engin Beltekin,Yeni Malatyaspor,2004,Orta Saha,Türkiye
1050781,Ahmet Uslu,Yeni Malatyaspor,2005,Kaleci,Türkiye
666945,Barış Karabıyık,Yeni Malatyaspor,2005,Defans,Türkiye
1053382,Uskan Abdullah Bingöl,Yeni Malatyaspor,2005,Defans,Türkiye
101592,Tuncay Selçuk,Yeni Malatyaspor,2005,Orta Saha,Türkiye
