OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
135618,Urs Zurbuchen,Young Boys,1990,Kaleci,İsviçre
565952,Bernard Pulver,Young Boys,1990,Kaleci,İsviçre
295825,Alfred Grossenbacher,Young Boys,1990,Defans,İsviçre
555325,Albert Hohl,Young Boys,1990,Defans,İsviçre
560177,Patrick Blumenthal,Young Boys,1990,Defans,İsviçre
560942,Hugo Streun,Young Boys,1990,Defans,İsviçre
566323,Tobias Schärli,Young Boys,1990,Defans,İsviçre
181368,Martin Weber,Young Boys,1990,Stoper,İsviçre
221349,Jürg Wittwer,Young Boys,1990,Stoper,İsviçre
4840,Erich Hänzi,Young Boys,1990,Sol Bek,İsviçre
221365,Alain Baumann,Young Boys,1990,Ön Libero,İsviçre
266197,Björn Nilsson,Young Boys,1990,Orta Saha,İsveç
467140,Antonio Pagano,Young Boys,1990,Orta Saha,İtalya
555395,Bruno Marai,Young Boys,1990,Orta Saha,İsviçre
85512,Georges Bregy,Young Boys,1990,Merkez Orta Saha,İsviçre
102503,Lars Bohinen,Young Boys,1990,Merkez Orta Saha,Norveç
221366,René Sutter,Young Boys,1990,Merkez Orta Saha,İsviçre
287379,Bent Christensen,Young Boys,1990,Merkez Orta Saha,Danimarka
5838,Guerino Gottardi,Young Boys,1990,Orta Saha Sağ,İtalya
102507,Mini Jakobsen,Young Boys,1990,Sol Kanat,Norveç
6653,Andreas Löbmann,Young Boys,1990,Forvet,Almanya
221363,Dario Zuffi,Young Boys,1990,Santrafor,İsviçre
299192,André Fimian,Young Boys,1990,Forvet,İsviçre
467141,Michel Rubli,Young Boys,1990,Forvet,İsviçre
557039,Iwan Eberhard,Young Boys,1990,Forvet,İsviçre
557864,Andreas Wenger,Young Boys,1990,Forvet,İsviçre
135618,Urs Zurbuchen,Young Boys,1991,Kaleci,İsviçre
565952,Bernard Pulver,Young Boys,1991,Kaleci,İsviçre
295825,Alfred Grossenbacher,Young Boys,1991,Defans,İsviçre
541428,Matthias Messerli,Young Boys,1991,Defans,İsviçre
560941,Rolf Rotzetter,Young Boys,1991,Defans,İsviçre
560942,Hugo Streun,Young Boys,1991,Defans,İsviçre
19246,Martin Lengen,Young Boys,1991,Stoper,İsviçre
181368,Martin Weber,Young Boys,1991,Stoper,İsviçre
4840,Erich Hänzi,Young Boys,1991,Sol Bek,İsviçre
4875,Roger Küffer,Young Boys,1991,Orta Saha,İsviçre
221365,Alain Baumann,Young Boys,1991,Ön Libero,İsviçre
245160,Marcel Meier,Young Boys,1991,Orta Saha,İsviçre
375503,Jean-Daniel Gross,Young Boys,1991,Orta Saha,İsviçre
467140,Antonio Pagano,Young Boys,1991,Orta Saha,İtalya
555244,Sascha Reich,Young Boys,1991,Orta Saha,İsviçre
85512,Georges Bregy,Young Boys,1991,Merkez Orta Saha,İsviçre
102503,Lars Bohinen,Young Boys,1991,Merkez Orta Saha,Norveç
287379,Bent Christensen,Young Boys,1991,Merkez Orta Saha,Danimarka
102507,Mini Jakobsen,Young Boys,1991,Sol Kanat,Norveç
38070,Adrian Kunz,Young Boys,1991,Santrafor,İsviçre
65854,Urs Güntensperger,Young Boys,1991,Santrafor,İsviçre
467141,Michel Rubli,Young Boys,1991,Forvet,İsviçre
557804,John Dario,Young Boys,1991,Forvet,İtalya
557842,Patrick Rahmen,Young Boys,1991,Forvet,İsviçre
2909,Peter Kobel,Young Boys,1992,Kaleci,İsviçre
135618,Urs Zurbuchen,Young Boys,1992,Kaleci,İsviçre
565952,Bernard Pulver,Young Boys,1992,Kaleci,İsviçre
560941,Rolf Rotzetter,Young Boys,1992,Defans,İsviçre
560942,Hugo Streun,Young Boys,1992,Defans,İsviçre
4865,Heinz Moser,Young Boys,1992,Stoper,İsviçre
181368,Martin Weber,Young Boys,1992,Stoper,İsviçre
4840,Erich Hänzi,Young Boys,1992,Sol Bek,İsviçre
4875,Roger Küffer,Young Boys,1992,Orta Saha,İsviçre
221365,Alain Baumann,Young Boys,1992,Ön Libero,İsviçre
245160,Marcel Meier,Young Boys,1992,Orta Saha,İsviçre
375503,Jean-Daniel Gross,Young Boys,1992,Orta Saha,İsviçre
467140,Antonio Pagano,Young Boys,1992,Orta Saha,İtalya
555244,Sascha Reich,Young Boys,1992,Orta Saha,İsviçre
85512,Georges Bregy,Young Boys,1992,Merkez Orta Saha,İsviçre
102503,Lars Bohinen,Young Boys,1992,Merkez Orta Saha,Norveç
287379,Bent Christensen,Young Boys,1992,Merkez Orta Saha,Danimarka
2862,Andres Gerber,Young Boys,1992,Orta Saha Sağ,İsviçre
6505,Piotr Nowak,Young Boys,1992,On Numara,Polonya
226540,Luca Ippoliti,Young Boys,1992,On Numara,İtalya
102507,Mini Jakobsen,Young Boys,1992,Sol Kanat,Norveç
38070,Adrian Kunz,Young Boys,1992,Santrafor,İsviçre
545,Paul Agostino,Young Boys,1992,Santrafor,Avustralya
2909,Peter Kobel,Young Boys,1993,Kaleci,İsviçre
565952,Bernard Pulver,Young Boys,1993,Kaleci,İsviçre
560941,Rolf Rotzetter,Young Boys,1993,Defans,İsviçre
560942,Hugo Streun,Young Boys,1993,Defans,İsviçre
4865,Heinz Moser,Young Boys,1993,Stoper,İsviçre
19246,Martin Lengen,Young Boys,1993,Stoper,İsviçre
181368,Martin Weber,Young Boys,1993,Stoper,İsviçre
4840,Erich Hänzi,Young Boys,1993,Sol Bek,İsviçre
4875,Roger Küffer,Young Boys,1993,Orta Saha,İsviçre
221365,Alain Baumann,Young Boys,1993,Ön Libero,İsviçre
467140,Antonio Pagano,Young Boys,1993,Orta Saha,İtalya
555244,Sascha Reich,Young Boys,1993,Orta Saha,İsviçre
560943,Luca Porfido,Young Boys,1993,Orta Saha,İsviçre
85512,Georges Bregy,Young Boys,1993,Merkez Orta Saha,İsviçre
102503,Lars Bohinen,Young Boys,1993,Merkez Orta Saha,Norveç
221366,René Sutter,Young Boys,1993,Merkez Orta Saha,İsviçre
287379,Bent Christensen,Young Boys,1993,Merkez Orta Saha,Danimarka
2862,Andres Gerber,Young Boys,1993,Orta Saha Sağ,İsviçre
5264,Ante Markovic,Young Boys,1993,On Numara,Hırvatistan
6505,Piotr Nowak,Young Boys,1993,On Numara,Polonya
226540,Luca Ippoliti,Young Boys,1993,On Numara,İtalya
38070,Adrian Kunz,Young Boys,1993,Santrafor,İsviçre
545,Paul Agostino,Young Boys,1993,Santrafor,Avustralya
557047,Thomas Hartmann,Young Boys,1993,Forvet,İsviçre
574687,Goran Musulin,Young Boys,1993,Forvet,İsviçre
888982,N. N. Quattara,Young Boys,1993,Forvet,İsviçre
2909,Peter Kobel,Young Boys,1994,Kaleci,İsviçre
565952,Bernard Pulver,Young Boys,1994,Kaleci,İsviçre
22120,Rachid Neqrouz,Young Boys,1994,Libero,Fas
560941,Rolf Rotzetter,Young Boys,1994,Defans,İsviçre
560942,Hugo Streun,Young Boys,1994,Defans,İsviçre
4865,Heinz Moser,Young Boys,1994,Stoper,İsviçre
19246,Martin Lengen,Young Boys,1994,Stoper,İsviçre
181368,Martin Weber,Young Boys,1994,Stoper,İsviçre
311240,Dominik Neff,Young Boys,1994,Orta Saha,İsviçre
1023,Godfried Aduobe,Young Boys,1994,Ön Libero,Gana
4875,Roger Küffer,Young Boys,1994,Orta Saha,İsviçre
107488,Philipp Eich,Young Boys,1994,Orta Saha,İsviçre
221365,Alain Baumann,Young Boys,1994,Ön Libero,İsviçre
467140,Antonio Pagano,Young Boys,1994,Orta Saha,İtalya
555244,Sascha Reich,Young Boys,1994,Orta Saha,İsviçre
560943,Luca Porfido,Young Boys,1994,Orta Saha,İsviçre
221366,René Sutter,Young Boys,1994,Merkez Orta Saha,İsviçre
287379,Bent Christensen,Young Boys,1994,Merkez Orta Saha,Danimarka
2862,Andres Gerber,Young Boys,1994,Orta Saha Sağ,İsviçre
226540,Luca Ippoliti,Young Boys,1994,On Numara,İtalya
545,Paul Agostino,Young Boys,1994,Santrafor,Avustralya
11521,Gaetano Giallanza,Young Boys,1994,Santrafor,İsviçre
154849,Miroslaw Trzeciak,Young Boys,1994,Santrafor,Polonya
487646,Vitalis Takawira,Young Boys,1994,Santrafor,Zimbabve
557047,Thomas Hartmann,Young Boys,1994,Forvet,İsviçre
573313,Marc Brechbühl,Young Boys,1994,Forvet,İsviçre
574687,Goran Musulin,Young Boys,1994,Forvet,İsviçre
867447,Khalil Dahhani,Young Boys,1994,Forvet,Fas
2909,Peter Kobel,Young Boys,1995,Kaleci,İsviçre
565952,Bernard Pulver,Young Boys,1995,Kaleci,İsviçre
22120,Rachid Neqrouz,Young Boys,1995,Libero,Fas
557036,Adrian Aebi,Young Boys,1995,Defans,İsviçre
560941,Rolf Rotzetter,Young Boys,1995,Defans,İsviçre
560942,Hugo Streun,Young Boys,1995,Defans,İsviçre
19246,Martin Lengen,Young Boys,1995,Stoper,İsviçre
64972,Raphael Kehrli,Young Boys,1995,Stoper,İsviçre
311240,Dominik Neff,Young Boys,1995,Orta Saha,İsviçre
1023,Godfried Aduobe,Young Boys,1995,Ön Libero,Gana
107488,Philipp Eich,Young Boys,1995,Orta Saha,İsviçre
182657,Reto Gertschen,Young Boys,1995,Orta Saha,İsviçre
221365,Alain Baumann,Young Boys,1995,Ön Libero,İsviçre
467140,Antonio Pagano,Young Boys,1995,Orta Saha,İtalya
568048,Bahram Hatef,Young Boys,1995,Orta Saha,İsviçre
568083,Lubomir Plevka,Young Boys,1995,Orta Saha,Slovakya
591207,Jann Tadorian,Young Boys,1995,Orta Saha,İsviçre
592113,Gabor Pusztai,Young Boys,1995,Orta Saha,İsviçre
112277,Robert Prytz,Young Boys,1995,Merkez Orta Saha,İsveç
221366,René Sutter,Young Boys,1995,Merkez Orta Saha,İsviçre
287379,Bent Christensen,Young Boys,1995,Merkez Orta Saha,Danimarka
2862,Andres Gerber,Young Boys,1995,Orta Saha Sağ,İsviçre
4853,Gürkan Sermeter,Young Boys,1995,Orta Saha Sağ,İsviçre
832,Marco Dittgen,Young Boys,1995,Santrafor,Almanya
156234,Michel Maiano,Young Boys,1995,Forvet,İsviçre
573313,Marc Brechbühl,Young Boys,1995,Forvet,İsviçre
591205,Luca Gianinazzi,Young Boys,1995,Forvet,İsviçre
591269,Markus Ruef,Young Boys,1995,Forvet,İsviçre
2909,Peter Kobel,Young Boys,1996,Kaleci,İsviçre
565952,Bernard Pulver,Young Boys,1996,Kaleci,İsviçre
22120,Rachid Neqrouz,Young Boys,1996,Libero,Fas
359120,Oliver Camenzind,Young Boys,1996,Defans,İsviçre
557036,Adrian Aebi,Young Boys,1996,Defans,İsviçre
560941,Rolf Rotzetter,Young Boys,1996,Defans,İsviçre
560942,Hugo Streun,Young Boys,1996,Defans,İsviçre
4917,Diango Malacarne,Young Boys,1996,Stoper,İsviçre
19246,Martin Lengen,Young Boys,1996,Stoper,İsviçre
64972,Raphael Kehrli,Young Boys,1996,Stoper,İsviçre
4373,Tomasz Rząsa,Young Boys,1996,Sol Bek,Polonya
311240,Dominik Neff,Young Boys,1996,Orta Saha,İsviçre
4875,Roger Küffer,Young Boys,1996,Orta Saha,İsviçre
106303,Admir Smajic,Young Boys,1996,Orta Saha,Bosna-Hersek
107488,Philipp Eich,Young Boys,1996,Orta Saha,İsviçre
166560,Gabriel Okolosi,Young Boys,1996,Orta Saha,Nijerya
221365,Alain Baumann,Young Boys,1996,Ön Libero,İsviçre
256291,Dominic Moser,Young Boys,1996,Orta Saha,İsviçre
568048,Bahram Hatef,Young Boys,1996,Orta Saha,İsviçre
592113,Gabor Pusztai,Young Boys,1996,Orta Saha,İsviçre
26982,Zarko Serafimovski,Young Boys,1996,Merkez Orta Saha,Kuzey Makedonya
112277,Robert Prytz,Young Boys,1996,Merkez Orta Saha,İsveç
2862,Andres Gerber,Young Boys,1996,Orta Saha Sağ,İsviçre
3005,Erol Bekir,Young Boys,1996,Sağ Kanat,İsveç
1168,Rumen Ivanov,Young Boys,1996,Santrafor,Bulgaristan
573313,Marc Brechbühl,Young Boys,1996,Forvet,İsviçre
591205,Luca Gianinazzi,Young Boys,1996,Forvet,İsviçre
4835,Adrian Lingenhag,Young Boys,1997,Kaleci,İsviçre
565952,Bernard Pulver,Young Boys,1997,Kaleci,İsviçre
22120,Rachid Neqrouz,Young Boys,1997,Libero,Fas
19261,André Niederhäuser,Young Boys,1997,Defans,İsviçre
187449,Carlos Garcia,Young Boys,1997,Defans,İsviçre
560942,Hugo Streun,Young Boys,1997,Defans,İsviçre
819,Miodrag Vukotić,Young Boys,1997,Stoper,Karadağ
4917,Diango Malacarne,Young Boys,1997,Stoper,İsviçre
19246,Martin Lengen,Young Boys,1997,Stoper,İsviçre
64972,Raphael Kehrli,Young Boys,1997,Stoper,İsviçre
4856,Martin Fryand,Young Boys,1997,Orta Saha,İsviçre
4875,Roger Küffer,Young Boys,1997,Orta Saha,İsviçre
64961,Michael Blattmann,Young Boys,1997,Orta Saha,İsviçre
106303,Admir Smajic,Young Boys,1997,Orta Saha,Bosna-Hersek
107488,Philipp Eich,Young Boys,1997,Orta Saha,İsviçre
221365,Alain Baumann,Young Boys,1997,Ön Libero,İsviçre
256291,Dominic Moser,Young Boys,1997,Orta Saha,İsviçre
26982,Zarko Serafimovski,Young Boys,1997,Merkez Orta Saha,Kuzey Makedonya
455191,Jürg Studer,Young Boys,1997,Merkez Orta Saha,İsviçre
2862,Andres Gerber,Young Boys,1997,Orta Saha Sağ,İsviçre
3005,Erol Bekir,Young Boys,1997,Sağ Kanat,İsveç
1168,Rumen Ivanov,Young Boys,1997,Santrafor,Bulgaristan
20074,Reto Burri,Young Boys,1997,Santrafor,İsviçre
113344,Ante Simundza,Young Boys,1997,Santrafor,Slovenya
573313,Marc Brechbühl,Young Boys,1997,Forvet,İsviçre
2912,Paolo Collaviti,Young Boys,1998,Kaleci,İsviçre
156222,Stefan Knutti,Young Boys,1998,Kaleci,İsviçre
