OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
576651,İhsan Derelioğlu,Çaykur Rizespor,1990,Kaleci,Türkiye
648139,Muhammet Köseoğlu,Çaykur Rizespor,1990,Kaleci,Türkiye
824880,Kazım Rakıcı,Çaykur Rizespor,1990,Kaleci,Türkiye
306101,Selami Güven,Çaykur Rizespor,1990,Defans,Türkiye
616768,Yüksel Yelkenci,Çaykur Rizespor,1990,Libero,Türkiye
824877,Hasan Ali Tek,Çaykur Rizespor,1990,Defans,Türkiye
824879,Ali Osman Çınar,Çaykur Rizespor,1990,Defans,Türkiye
918511,İbrahim Mollaibrahimağaoğlu,Çaykur Rizespor,1990,Libero,Türkiye
646605,Şükrü Şamlı,Çaykur Rizespor,1990,Sol Bek,Türkiye
824876,Nuri Şamlı,Çaykur Rizespor,1990,Sağ Bek,Türkiye
92236,Kemalettin Şentürk,Çaykur Rizespor,1990,Ön Libero,Türkiye
114634,Tuncay Köseoğlu,Çaykur Rizespor,1990,Orta Saha,Türkiye
648093,Mustafa Kalafatoğlu,Çaykur Rizespor,1990,Orta Saha,Türkiye
824944,Halil İbrahim Yılmaz,Çaykur Rizespor,1990,Orta Saha,Türkiye
917523,Ercan Altay,Çaykur Rizespor,1990,Orta Saha,Türkiye
957766,Ekrem Ahishalıoğlu,Çaykur Rizespor,1990,Orta Saha,Türkiye
957772,Ufuk Karali,Çaykur Rizespor,1990,Orta Saha,Türkiye
640584,Ergün Kolçak,Çaykur Rizespor,1990,On Numara,Türkiye
313686,Metin Bak,Çaykur Rizespor,1990,Sol Kanat,Türkiye
582614,İsmail Demirci,Çaykur Rizespor,1990,Santrafor,Türkiye
616570,Mehmet Ali Karaca,Çaykur Rizespor,1990,Forvet,Türkiye
824882,Sadık Biber,Çaykur Rizespor,1990,Forvet,Türkiye
957773,İbrahim Özcihan,Çaykur Rizespor,1990,Forvet,Türkiye
648139,Muhammet Köseoğlu,Çaykur Rizespor,1991,Kaleci,Türkiye
824880,Kazım Rakıcı,Çaykur Rizespor,1991,Kaleci,Türkiye
824921,Mehmet Avni Tümen,Çaykur Rizespor,1991,Kaleci,Türkiye
1375043,Mustafa Cengiz Kuleli,Çaykur Rizespor,1991,Kaleci,Türkiye
114623,Ayhan Bayraktar,Çaykur Rizespor,1991,Defans,Türkiye
824877,Hasan Ali Tek,Çaykur Rizespor,1991,Defans,Türkiye
824879,Ali Osman Çınar,Çaykur Rizespor,1991,Defans,Türkiye
824881,Celal Temiz,Çaykur Rizespor,1991,Defans,Türkiye
918511,İbrahim Mollaibrahimağaoğlu,Çaykur Rizespor,1991,Libero,Türkiye
646605,Şükrü Şamlı,Çaykur Rizespor,1991,Sol Bek,Türkiye
824876,Nuri Şamlı,Çaykur Rizespor,1991,Sağ Bek,Türkiye
598640,Serdar Bayer,Çaykur Rizespor,1991,Sağ Bek,Türkiye
114632,Turgut Kır,Çaykur Rizespor,1991,Ön Libero,Türkiye
114634,Tuncay Köseoğlu,Çaykur Rizespor,1991,Orta Saha,Türkiye
598050,Rıfat Karahan,Çaykur Rizespor,1991,Orta Saha,Türkiye
607196,Recep Akyıldız,Çaykur Rizespor,1991,Orta Saha,Türkiye
616767,Hasan Tuğrul,Çaykur Rizespor,1991,Orta Saha,Türkiye
648093,Mustafa Kalafatoğlu,Çaykur Rizespor,1991,Orta Saha,Türkiye
824944,Halil İbrahim Yılmaz,Çaykur Rizespor,1991,Orta Saha,Türkiye
957766,Ekrem Ahishalıoğlu,Çaykur Rizespor,1991,Orta Saha,Türkiye
576643,Engin Ülker,Çaykur Rizespor,1991,Orta Saha Sağ,Türkiye
582614,İsmail Demirci,Çaykur Rizespor,1991,Santrafor,Türkiye
824882,Sadık Biber,Çaykur Rizespor,1991,Forvet,Türkiye
825090,Mustafa Yılmaz,Çaykur Rizespor,1991,Forvet,Türkiye
825092,Hakan Çarkacı,Çaykur Rizespor,1991,Forvet,Türkiye
867128,Recep Gümüşhaneli,Çaykur Rizespor,1991,Forvet,Türkiye
957773,İbrahim Özcihan,Çaykur Rizespor,1991,Forvet,Türkiye
648139,Muhammet Köseoğlu,Çaykur Rizespor,1992,Kaleci,Türkiye
824880,Kazım Rakıcı,Çaykur Rizespor,1992,Kaleci,Türkiye
1375043,Mustafa Cengiz Kuleli,Çaykur Rizespor,1992,Kaleci,Türkiye
824877,Hasan Ali Tek,Çaykur Rizespor,1992,Defans,Türkiye
918511,İbrahim Mollaibrahimağaoğlu,Çaykur Rizespor,1992,Libero,Türkiye
961627,Yener Akpulat,Çaykur Rizespor,1992,Defans,Türkiye
646605,Şükrü Şamlı,Çaykur Rizespor,1992,Sol Bek,Türkiye
824876,Nuri Şamlı,Çaykur Rizespor,1992,Sağ Bek,Türkiye
114632,Turgut Kır,Çaykur Rizespor,1992,Ön Libero,Türkiye
582945,İbrahim Bakım,Çaykur Rizespor,1992,Orta Saha,Türkiye
648093,Mustafa Kalafatoğlu,Çaykur Rizespor,1992,Orta Saha,Türkiye
824944,Halil İbrahim Yılmaz,Çaykur Rizespor,1992,Orta Saha,Türkiye
882286,Murat Vezir,Çaykur Rizespor,1992,Orta Saha,Türkiye
917523,Ercan Altay,Çaykur Rizespor,1992,Orta Saha,Türkiye
950451,Ali Nihat Çınar,Çaykur Rizespor,1992,Orta Saha,Türkiye
957766,Ekrem Ahishalıoğlu,Çaykur Rizespor,1992,Orta Saha,Türkiye
582614,İsmail Demirci,Çaykur Rizespor,1992,Santrafor,Türkiye
825090,Mustafa Yılmaz,Çaykur Rizespor,1992,Forvet,Türkiye
825092,Hakan Çarkacı,Çaykur Rizespor,1992,Forvet,Türkiye
867128,Recep Gümüşhaneli,Çaykur Rizespor,1992,Forvet,Türkiye
648139,Muhammet Köseoğlu,Çaykur Rizespor,1993,Kaleci,Türkiye
651285,İhsan Öksüz,Çaykur Rizespor,1993,Kaleci,Türkiye
824880,Kazım Rakıcı,Çaykur Rizespor,1993,Kaleci,Türkiye
668401,Nazmi Yılmaz,Çaykur Rizespor,1993,Defans,Türkiye
824877,Hasan Ali Tek,Çaykur Rizespor,1993,Defans,Türkiye
918511,İbrahim Mollaibrahimağaoğlu,Çaykur Rizespor,1993,Libero,Türkiye
961627,Yener Akpulat,Çaykur Rizespor,1993,Defans,Türkiye
85174,Kemal Karakaş,Çaykur Rizespor,1993,Stoper,Türkiye
840709,Mete Akkaya,Çaykur Rizespor,1993,Stoper,Türkiye
646605,Şükrü Şamlı,Çaykur Rizespor,1993,Sol Bek,Türkiye
