OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
735407,Ömer Özer,Çorum FK,2010,Orta Saha,Türkiye
169827,Emrah Bıdık,Çorum FK,2011,Kaleci,Türkiye
144677,Metin Fidan,Çorum FK,2011,Orta Saha Sağ,Türkiye
247404,Halil İbrahim Karakuş,Çorum FK,2011,On Numara,Türkiye
247405,Mehmet Keleş,Çorum FK,2011,Sağ Kanat,Türkiye
247406,Emre Kızılboğa,Çorum FK,2012,Kaleci,Türkiye
169827,Emrah Bıdık,Çorum FK,2012,Kaleci,Türkiye
338117,Mustafa Afsaroglu,Çorum FK,2012,Kaleci,Türkiye
85784,İsmail Hacıhafızoğlu,Çorum FK,2012,Stoper,Türkiye
159906,Yiğitcan Gölboyu,Çorum FK,2012,Stoper,Türkiye
165712,Macit Arabacı,Çorum FK,2012,Stoper,Türkiye
291441,İmam Almas,Çorum FK,2012,Stoper,Türkiye
94966,Volkan Çekirdek,Çorum FK,2012,Sol Bek,Türkiye
247401,Eray Eren,Çorum FK,2012,Sağ Bek,Türkiye
208606,Ethem Sevinç,Çorum FK,2012,Sağ Bek,Türkiye
293644,Okan Avcı,Çorum FK,2012,Ön Libero,Türkiye
247397,Ender Acar,Çorum FK,2012,Merkez Orta Saha,Türkiye
94965,Haydar Çekirdek,Çorum FK,2012,On Numara,Türkiye
247404,Halil İbrahim Karakuş,Çorum FK,2012,On Numara,Türkiye
247412,Oguzhan Saracoglu,Çorum FK,2012,On Numara,Türkiye
247405,Mehmet Keleş,Çorum FK,2012,Sağ Kanat,Türkiye
176264,İbrahim Selen,Çorum FK,2012,Santrafor,Türkiye
78630,Serdar Karaduman,Çorum FK,2012,Santrafor,Türkiye
208682,Buğraç Han Yalçınkaya,Çorum FK,2012,Forvet,Türkiye
247398,Kaan Akar,Çorum FK,2012,Santrafor,Türkiye
139035,Çağrı Can Tanrıbilir,Çorum FK,2013,Kaleci,Türkiye
200038,Muhammed Zahid Öztaş,Çorum FK,2013,Kaleci,Türkiye
291464,Osman Kac,Çorum FK,2013,Kaleci,Türkiye
293650,Utku Bektaş,Çorum FK,2013,Kaleci,Türkiye
114504,Nedim Köseoğlu,Çorum FK,2013,Stoper,Türkiye
185761,Osman Bodur,Çorum FK,2013,Stoper,Türkiye
165712,Macit Arabacı,Çorum FK,2013,Stoper,Türkiye
291441,İmam Almas,Çorum FK,2013,Stoper,Türkiye
293664,Aydın Çolak,Çorum FK,2013,Stoper,Türkiye
293651,Emre Biçer,Çorum FK,2013,Sol Bek,Türkiye
244784,Yakup Kayış,Çorum FK,2013,Sol Bek,Türkiye
247401,Eray Eren,Çorum FK,2013,Sağ Bek,Türkiye
291508,Kadir Teril,Çorum FK,2013,Sağ Bek,Türkiye
43074,Mehmet Akif Tatlı,Çorum FK,2013,Ön Libero,Türkiye
115300,Oğuzhan Yalçın,Çorum FK,2013,Ön Libero,Türkiye
293644,Okan Avcı,Çorum FK,2013,Ön Libero,Türkiye
43067,Vedat Aşkan,Çorum FK,2013,Merkez Orta Saha,Türkiye
291440,Bilal Alkan,Çorum FK,2013,Merkez Orta Saha,Türkiye
291450,Furkan Çalışır,Çorum FK,2013,Merkez Orta Saha,Türkiye
247397,Ender Acar,Çorum FK,2013,Merkez Orta Saha,Türkiye
293646,Murat Can Aydin,Çorum FK,2013,Orta Saha Sağ,Türkiye
