OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
677625,Atilla Çebi,Ümraniyespor,1990,Kaleci,Türkiye
920680,İsmail Coşkun,Ümraniyespor,1990,Defans,Türkiye
946249,Adnan Başbuğ,Ümraniyespor,1990,Orta Saha,Türkiye
7086,İsmet Taşdemir,Ümraniyespor,1990,Ön Libero,Türkiye
633531,Salih Bozoğlu,Ümraniyespor,1990,Orta Saha,Türkiye
1253696,Kemal Yazgan,Ümraniyespor,1990,Orta Saha,Türkiye
299454,Orhan Akyüz,Ümraniyespor,1990,Merkez Orta Saha,Türkiye
607744,Soner Büyükergun,Ümraniyespor,1990,Santrafor,Türkiye
879674,Yavuz Okyar,Ümraniyespor,1990,Santrafor,Türkiye
886925,Semih Ünal,Ümraniyespor,1990,Forvet,Türkiye
1056357,Cüneyt Veziroğlu,Ümraniyespor,1990,Santrafor,Türkiye
677625,Atilla Çebi,Ümraniyespor,1991,Kaleci,Türkiye
857508,Cavit Köseoglu,Ümraniyespor,1991,Defans,Türkiye
920680,İsmail Coşkun,Ümraniyespor,1991,Defans,Türkiye
7086,İsmet Taşdemir,Ümraniyespor,1991,Ön Libero,Türkiye
633531,Salih Bozoğlu,Ümraniyespor,1991,Orta Saha,Türkiye
957419,Mehmet Yıldırım,Ümraniyespor,1991,Orta Saha,Türkiye
879674,Yavuz Okyar,Ümraniyespor,1991,Santrafor,Türkiye
1254874,Mustafa Subaşı,Ümraniyespor,1992,Kaleci,Türkiye
950116,Müslüm Gülhan,Ümraniyespor,1992,Defans,Türkiye
34958,Murat Aktaş,Ümraniyespor,1992,Santrafor,Türkiye
879673,Saffet İşler,Ümraniyespor,1992,Forvet,Türkiye
1040760,Emin Uslu,Ümraniyespor,1992,Forvet,Türkiye
1254874,Mustafa Subaşı,Ümraniyespor,1993,Kaleci,Türkiye
1339056,Tuncer Haksal,Ümraniyespor,1997,Defans,Türkiye
601767,Yetkin Akman,Ümraniyespor,1998,Kaleci,Türkiye
1339056,Tuncer Haksal,Ümraniyespor,1998,Defans,Türkiye
1488699,Keskin Çetinkaya,Ümraniyespor,1998,Defans,Türkiye
1193577,Hüsnü Ramazan Kurtez,Ümraniyespor,1998,Stoper,Türkiye
820719,Tuncay Kurt,Ümraniyespor,1998,Orta Saha,Türkiye
601767,Yetkin Akman,Ümraniyespor,2000,Kaleci,Türkiye
1488699,Keskin Çetinkaya,Ümraniyespor,2000,Defans,Türkiye
797745,Suat Okyar,Ümraniyespor,2000,Orta Saha,Türkiye
1339057,Serdar Gökalp,Ümraniyespor,2000,Orta Saha,Türkiye
825233,Murat Çınar,Ümraniyespor,2000,Forvet,Türkiye
1227572,Erdem Kodalak,Ümraniyespor,2005,Orta Saha,Türkiye
918521,Kerem Satılmış,Ümraniyespor,2006,Defans,Türkiye
1339056,Tuncer Haksal,Ümraniyespor,2006,Defans,Türkiye
1227572,Erdem Kodalak,Ümraniyespor,2006,Orta Saha,Türkiye
1342921,Kamil Beyazbulut,Ümraniyespor,2006,Forvet,Türkiye
856961,Ömer Çetinkaya,Ümraniyespor,2007,Defans,Türkiye
144353,Burak Gürsoy,Ümraniyespor,2007,Forvet,Türkiye
856961,Ömer Çetinkaya,Ümraniyespor,2008,Defans,Türkiye
1215616,Onur Adem Şenkardeş,Ümraniyespor,2008,Defans,Türkiye
99899,Onur Kılıç,Ümraniyespor,2008,Sağ Kanat,Türkiye
68222,Barış Demircan,Ümraniyespor,2008,Santrafor,Türkiye
1051530,Mustafa Ateş,Ümraniyespor,2008,Forvet,Türkiye
1219172,Fatih Mumcu,Ümraniyespor,2009,Kaleci,Türkiye
68222,Barış Demircan,Ümraniyespor,2009,Santrafor,Türkiye
144353,Burak Gürsoy,Ümraniyespor,2009,Forvet,Türkiye
29685,Özer Yüksel,Ümraniyespor,2010,Stoper,Türkiye
91944,Erdi Taşkent,Ümraniyespor,2010,Sol Bek,Türkiye
144353,Burak Gürsoy,Ümraniyespor,2010,Forvet,Türkiye
840161,Yaşar Aydın,Ümraniyespor,2010,Santrafor,Türkiye
881428,Bülent Şimşek,Ümraniyespor,2010,Forvet,Türkiye
169714,Ömer Alıcı,Ümraniyespor,2011,Kaleci,Türkiye
338232,Ercan Ezgi,Ümraniyespor,2011,Kaleci,Türkiye
