OyuncuID,Oyuncu,Takim,Sezon,Pozisyon,Uyruk
601220,Alp Pehlivan,İstanbulspor,1990,Kaleci,Türkiye
820587,Ahmet Rauf Akan,İstanbulspor,1990,Kaleci,Türkiye
819671,Kaya Çalışkan,İstanbulspor,1990,Defans,Türkiye
819777,Bektaş Uzun,İstanbulspor,1990,Defans,Türkiye
819833,Mustafa Saygılı,İstanbulspor,1990,Defans,Türkiye
953578,Yücel Özkan,İstanbulspor,1990,Defans,Türkiye
1561436,Tekin Aslıhan,İstanbulspor,1990,Stoper,Türkiye
662867,Doğan Pek,İstanbulspor,1990,Orta Saha,Türkiye
819775,Ali İrfan Buran,İstanbulspor,1990,Orta Saha,Türkiye
820546,Şenol Albayrak,İstanbulspor,1990,Orta Saha,Türkiye
827479,Ercan Ünlü,İstanbulspor,1990,Orta Saha,Türkiye
979560,İlyas Gürsoy,İstanbulspor,1990,Orta Saha,Türkiye
586738,Taner Bodur,İstanbulspor,1990,Santrafor,Türkiye
601219,Ertunç Özmusullu,İstanbulspor,1990,Santrafor,Türkiye
797751,Eyüp Tutçuoğlu,İstanbulspor,1990,Forvet,Türkiye
819774,Can Kip,İstanbulspor,1990,Forvet,Türkiye
820564,Sadettin Hazıroğlu,İstanbulspor,1990,Forvet,Türkiye
821585,Ercan Oğuz,İstanbulspor,1990,Forvet,Türkiye
821586,Fahrettin Seyhan,İstanbulspor,1990,Santrafor,Türkiye
1186963,Ümit Kandemir,İstanbulspor,1990,Santrafor,Türkiye
1488128,Yaşar Kandemir,İstanbulspor,1990,Forvet,Türkiye
601220,Alp Pehlivan,İstanbulspor,1991,Kaleci,Türkiye
819784,Ramiz Çöl,İstanbulspor,1991,Kaleci,Türkiye
820587,Ahmet Rauf Akan,İstanbulspor,1991,Kaleci,Türkiye
615056,Ufuk İskender,İstanbulspor,1991,Defans,Türkiye
819671,Kaya Çalışkan,İstanbulspor,1991,Defans,Türkiye
